COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,INV_TYPE,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,PDF_CONTENT,SF_GEN_DT,SIGNED_ENT_BY
DV008/24-25,null,8,null,null,O,INVOICE-03102024-SIETCO-SINGAPORE-H-8.pdf,46,03/10/2024 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,04/11/2024 00:00:00,null,null,null
DV010/24-25,null,10,null,null,O,INVOICE-31102024-SIETCO-SINGAPORE-H-10.pdf,201,04/11/2024 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,04/11/2024 00:00:00,null,null,null
DV012/24-25,null,12,null,null,O,INVOICE-30112024-SIETCO-SINGAPORE-H-12.pdf,113,03/12/2024 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,03/12/2024 00:00:00,null,null,null
DV015/24-25,null,15,null,null,O,INVOICE-03012025-SIETCO-SINGAPORE-H-15.pdf,46,03/01/2025 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,03/01/2025 00:00:00,null,null,null
RDV015/24-25,null,15,null,null,O,INVOICE-05022025-SIETCO-SINGAPORE-H-15.pdf,46,10/02/2025 00:00:00,null,null,null,null,null,null,null,null
DV020/24-25,null,20,null,null,O,INVOICE-28022025-SIETCO-SINGAPORE-H-20.pdf,46,04/03/2025 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,04/03/2025 00:00:00,null,null,null
DV022/24-25,null,22,null,null,O,INVOICE-31032025-SIETCO-SINGAPORE-H-22.pdf,46,21/04/2025 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,21/04/2025 00:00:00,null,null,null
2VGJ0002/25-26,null,2,null,null,O,INVOICE-30042025-SIETCO-SINGAPORE-H-2.pdf,46,02/05/2025 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,02/05/2025 00:00:00,null,null,null
2VGJ0004/25-26,null,4,null,null,O,INVOICE-31052025-SIETCO-SINGAPORE-H-4.pdf,201,04/06/2025 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,04/06/2025 00:00:00,null,null,null
2VGJ0007/25-26,null,7,null,null,O,INVOICE-30062025-SIETCO-SINGAPORE-H-7.pdf,201,03/07/2025 00:00:00,null,null,null,null,null,null,null,null
