COMPANY_CD,FINANCIAL_YEAR,BU_STATE_TIN,INVOICE_SEQ,ALLOC_QTY,SALE_PRICE,SALE_PRICE_UNIT,SALE_AMT,EXCHG_RATE_CD,EXCHG_RATE_DT,EXCHG_RATE_VALUE,INVOICE_RAISED_IN,GROSS_AMT,TAX_AMT,TAX_STRUCT_CD,INVOICE_AMT,NET_PAYABLE_AMT,TCS_TDS,TCS_AMT,TCS_FACTOR,TDS_GROSS_PERCENT,TDS_GROSS_AMT,TDS_TAX_PERCENT,TDS_TAX_AMT,TRANSPORTATION_CHARGE,TRANSPORTATION_AMOUNT,MARKET_MARGIN,MARKET_MARGIN_AMT,OTHER_CHARGES,OTHER_CHARGES_AMT,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT
AMNS&DMH006/22-23,2022-2023,69,SMH0103/22-23,38040.58,30,2,1141217.7,SBI FIRST RATE TT BUY SELL,15/11/2022,81.225,null,92978145.68,2789344.37,CST 3%,95767490.05,95767490.05,null,null,null,.1,null,null,null,null,null,null,null,null,null,49,18/11/2022,null,null
AMNS&C0001/23-24,2023-2024,C-33-11921-29-0,L00002/23-24,844867.32,.76,2,642099.16,SBI FIRST RATE TT BUY SELL,13/04/2023,81.825,null,52796604,6335592,CGST 6%-SGST 6%,59132196,59132196,null,null,null,null,null,null,null,null,null,null,null,null,null,130,23/04/2023,null,null
AMNS&C0004/23-24,2023-2024,C-33-11921-31-0,L00020/23-24,5978157.85,0,1,11956315.7,SBI FIRST RATE TT BUY SELL,null,0,null,0,2152136,CGST 9%-SGST 9%,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,23,10/07/2023,null,null
AMNS&0005/16-17,2016-2017,C-33-12017-1-0,0669@2016-2017,262836.11,.8,2,210268.89,SBI RATE BUY SELL,15/03/2017,null,null,27597791.56,4139668.73,ST 14%-SBC 0.5%-KKC 0.5%,31737460.28,31737460.28,null,null,null,null,null,null,null,null,null,null,null,null,null,23,24/03/2017,null,null
AMNS&D001/19-20,2019-2020,C-33-11719-2-0,00692/19-20,1239465.32,.78,2,966782.95,SBI RATE BUY SELL,30/01/2020,71.485,null,58007,12439886,CGST 9%-SGST 9%,68449,68449,null,null,null,null,null,null,null,null,null,null,null,null,null,6,04/02/2020,null,null
AMNS&2CRMH0006/25-26,2025-2026,,2SMH0036/25-26,6602.51,883.5,1,0,SBI RATE BUY SELL,30/06/2025,0,null,6169385.34,185081.56,CST 3%,6354466.9,6354466.9,null,null,null,null,null,null,null,null,null,null,null,null,null,46,02/07/2025,null,null
AMNS&2DRMH0012/25-26,2025-2026,SN 78,SMH0116/24-25,46.54,871.4286,1,0,SBI RATE BUY SELL,29/03/2025,0,null,0,1216.69,CST 3%,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,4,12/12/2025,null,null
AMNS&2CRAP0004/25-26,2025-2026,,2SAP0008/25-26,27000,10.2408,1,276501.6,SBI RATE BUY SELL,30/06/2025,1,null,29483889.52,842133.22,CST 5%,34049495.54,34049495.54,null,null,null,null,null,null,null,null,null,null,null,null,null,46,02/07/2025,null,null
SEMTIPL&DMH016/23-24,2023-2024,14,SMH0054/23-24,25653.8,13.29,1,340939,SBI FIRST RATE TT BUY SELL,30/06/2023,82.055,null,28035096.73,841052.9,VAT 3%,28876149.63,28876149.63,null,null,null,.1,null,null,null,null,null,null,null,null,null,113,05/07/2023,null,null
SEMTIPL&DMH028/24-25,2024-2025,SN-19,SMH0067/24-25,52933.06,13.9243,2,737055.67,SBI FIRST RATE TT SELL,15/10/2024,1,null,66224443.63,3970366.7,VAT 3%,72566211.42,72566211.42,null,null,null,.1,null,null,null,null,null,null,null,null,null,46,05/11/2024,null,null
SEMTIPL&CAP002/24-25,2024-2025,SN-19,SAP0032/24-25,38646.06,10.16,2,400496.85,SBI FIRST RATE TT BUY SELL,29/03/2025,85.525,null,34924110.52,1761663.95,VAT 5%,36994942.95,36994942.95,null,null,null,null,null,null,null,null,null,null,null,null,null,46,09/04/2025,null,null
SEMTIPL&CMH016/24-25,2024-2025,SN-19,SMH0067/24-25,162525.92,10.3632,2,1684288.61,SBI FIRST RATE TT SELL,15/10/2024,84.085,null,143055053.44,4628368.9,VAT 3%,158907332.35,158907332.35,null,null,null,null,null,null,null,null,null,null,null,null,null,46,18/10/2024,null,null
SEMTIPL&CMH014/23-24,2023-2024,14,SMH0118/23-24,27377.81,13.29,1,363851.09,SBI FIRST RATE TT BUY SELL,31/10/2023,83.285,null,0,909100.15,VAT 3%,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,23,07/11/2023,null,null
SEMTIPL&DMH013/23-24,2023-2024,14,SMH0044/23-24,16793.29,13.39,2,224862.02,SBI FIRST RATE TT BUY SELL,15/06/2023,82.175,null,18478371.15,554351.13,VAT 3%,19032722.28,19032722.28,null,null,null,.1,null,null,null,null,null,null,null,null,null,113,30/06/2023,null,null
SEMTIPL&D012/19-20,2019-2020,02,0101/19-20,30400,6.3,1,191520,SBI RATE BUY SELL,30/01/2020,71.485,null,13690807,273816.32,CST 2%,13964623.32,13964623.32,null,null,null,null,null,null,null,null,null,null,null,null,null,6,04/02/2020,null,null
SEMTIPL&2DRGJ0003/25-26,2025-2026,,2SGJ0088/25-26,23484.89,12.94,2,303894.48,SBI FIRST RATE TT SELL,31/07/2025,88.15,null,27879128.8,557582.57,CST 2%,28436711.37,28436711.37,null,null,null,.1,null,null,null,null,null,null,null,null,null,44,06/08/2025,null,null
SEMTIPL&CAP001/24-25,2024-2025,SN-19,SAP0031/24-25,38646.06,10.3632,2,400496.85,SBI FIRST RATE TT BUY SELL,29/03/2025,85.525,null,0,691233.23,CST 2%,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,219,07/04/2025,null,null
SEMTIPL&2CRAP0003/25-26,2025-2026,,2SAP0004/25-26,104947.94,10.04,2,1053677.32,SBI FIRST RATE TT BUY SELL,30/04/2025,85.175,null,0,4529327.45,VAT 5%,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,201,07/05/2025,null,null
SGIPL&D004/21-22,2021-2022,15,S0365/20-21,10800,7.17,1,77436,SBI RATE BUY SELL,31/03/2021,73.275,null,5675754.21,851118.44,CST 15%,6531766.58,6531766.58,null,null,null,null,null,null,null,null,null,null,null,null,null,48,07/04/2021,null,null
SGIPL&D005/21-22,2021-2022,15,S0366/20-21,27100,7.17,1,194307,SBI RATE BUY SELL,31/03/2021,73.275,null,14241476.08,284756.91,CST 2%,14537124.94,14537124.94,null,null,null,null,null,null,null,null,null,null,null,null,null,48,07/04/2021,null,null
SGIPL&D045/20-21,2020-2021,13,S0235/20-21,3000,4.9372,1,14811.6,SBI RATE BUY SELL,15/10/2020,73.375,null,1672108.78,-467382.36,VAT 6%,1205590.43,1205590.43,null,null,null,null,null,null,null,null,null,null,null,null,null,23,16/10/2020,null,null
SGIPL&D048/20-21,2020-2021,13,S0254/20-21,3200,4.9372,1,15799.04,SBI RATE BUY SELL,30/10/2020,74.225,null,1672192.05,-384157.82,VAT 6%,1288966.51,1288966.51,null,null,null,null,null,null,null,null,null,null,null,null,null,6,03/11/2020,null,null
SGIPL&D009/19-20,2019-2020,2-0,0098/19-20,32000,7.85,1,251200,SBI RATE BUY SELL,30/01/2020,71.485,null,17957032,359140.2,CST 2%,18316172.2,18316172.2,null,null,null,null,null,null,null,null,null,null,null,null,null,6,04/02/2020,null,null
SGIPL&D010/19-20,2019-2020,11-0,0099/19-20,7200,5.8,1,41760,SBI RATE BUY SELL,30/01/2020,71.485,null,2985214,59704.16,CST 2%,3044918.16,3044918.16,null,null,null,null,null,null,null,null,null,null,null,null,null,6,04/02/2020,null,null
PGPGPL&C012/23-24,2023-2024,06,S0083/23-24,4000,12.8057,1,51248,SBI FIRST RATE TT BUY SELL,15/07/2023,82.145,null,4211837.01,263462.22,VAT 6%,4654499.23,4654499.23,null,null,null,null,null,null,null,null,null,null,null,null,null,23,20/07/2023,null,null
PGPGPL&C013/23-24,2023-2024,06,S0084/23-24,11040,12.8057,1,141444.48,SBI FIRST RATE TT BUY SELL,15/07/2023,82.145,null,11624670.16,727155.73,VAT 6%,12846417.89,12846417.89,null,null,null,null,null,null,null,null,null,null,null,null,null,23,20/07/2023,null,null
HCG&D001/21-22,2021-2022,03,S0371/20-21,9000,4.67,1,42030,SBI RATE BUY SELL,31/03/2021,73.275,null,3090915.25,87983.97,CST 2%,4490539.26,4490539.26,null,null,null,null,null,null,null,null,null,null,null,null,null,48,07/04/2021,null,null
