COMPANY_CD,COUNTERPARTY_CD,SEQ_NO,SEQ_REV_NO,GX,FILE_TYPE,SEC_INT_REF,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT
AMNS@Q,2020-2021,A-33-17-11719-0,A010/20-21,K,PDF,A010/20-21,ADVANCE_ADVINVOICE-12102020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-10-O.pdf,23,12/10/2020 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,12/10/2020 00:00:00,null,null
AMNS@Q,2019-2020,A-33-17-11719-0,A011/2019-20,K,PDF,A011/2019-20,ADVANCE_ADVINVOICE-31122019-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-11-O.pdf,23,02/01/2020 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,28/05/2020 00:00:00,null,null
AMNS@Q,2020-2021,A-33-17-11719-0,A011/20-21,K,PDF,A011/20-21,ADVANCE_ADVINVOICE-31102020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-11-O.pdf,23,03/11/2020 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,03/11/2020 00:00:00,null,null
AMNS@Q,2019-2020,A-33-17-11719-0,A012/2019-20,K,PDF,A012/2019-20,ADVANCE_ADVINVOICE-31012020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-12-O.pdf,23,31/01/2020 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,28/05/2020 00:00:00,null,null
AMNS@Q,2020-2021,A-33-17-11719-0,A012/20-21,K,PDF,A012/20-21,ADVANCE_ADVINVOICE-30112020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-12-O.pdf,48,01/12/2020 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/12/2020 00:00:00,null,null
AMNS@Q,2020-2021,A-33-17-11719-0,A013/20-21,K,PDF,A013/20-21,ADVANCE_ADVINVOICE-30112020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-13-O.pdf,48,01/12/2020 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/12/2020 00:00:00,null,null
AMNS@Q,2019-2020,A-33-17-11719-0,A014/2019-20,K,PDF,A014/2019-20,ADVANCE_ADVINVOICE-20022020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-14-O.pdf,23,20/02/2020 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,27/03/2020 00:00:00,null,null
AMNS@Q,2019-2020,A-33-17-11719-0,A015/2019-20,K,PDF,A015/2019-20,ADVANCE_ADVINVOICE-11032020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-15-O.pdf,23,11/03/2020 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,11/03/2020 00:00:00,null,null
AMNS@Q,2019-2020,A-33-17-11719-0,A016/2019-20,K,PDF,A016/2019-20,ADVANCE_ADVINVOICE-27032020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-16-O.pdf,23,27/03/2020 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,27/03/2020 00:00:00,null,null
AMNS@Q,2020-2021,A-33-19-11921-0,A014/20-21,K,PDF,A014/20-21,ADVINVOICE-12012021-AMNS-AMNS HAZ-C-14-O.pdf,6,12/01/2021 00:00:00,null,null,null,null,null,null,null
AMNS@Q,2020-2021,A-33-19-11921-0,A014/20-21,K,PDF,A014/20-21,ADVANCE_ADVINVOICE-12012021-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-14-O.pdf,6,12/01/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,12/01/2021 00:00:00,null,null
AMNS@Q,2020-2021,A-33-19-11921-0,A015/20-21,K,PDF,A015/20-21,ADVANCE_ADVINVOICE-31012021-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-15-O.pdf,48,09/02/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,09/02/2021 00:00:00,null,null
AMNS@Q,2018-2019,A-33-7-12018-0,A001/2018-19,K,PDF,A001/2018-19,ADVANCE_ADVINVOICE-24012019-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-1-O.pdf,23,24/01/2019 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,28/05/2020 00:00:00,null,null
AMNS@Q,2018-2019,A-33-8-12019-0,A002/2018-19,K,PDF,A002/2018-19,ADVANCE_ADVINVOICE-07032019-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-2-O.pdf,23,07/03/2019 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,28/05/2020 00:00:00,null,null
AMNS@Q,2019-2020,A-33-9-12019-0,A001/2019-20,K,PDF,A001/2019-20,ADVANCE_ADVINVOICE-12042019-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-C-1-O.pdf,23,12/04/2019 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,28/05/2020 00:00:00,null,null
