COMPANY_CD,HEDGE_DT,BALANCE_QTY,ENT_BY,ENT_DT,FLAG
2,31/07/2025,4831180,0,06/08/2025 15:17:34,Y
2,30/04/2024,7276799,0,02/07/2024 14:27:11,Y
2,31/05/2024,6196765,0,02/07/2024 14:27:25,Y
2,31/07/2024,4775087,0,06/08/2024 10:02:49,Y
2,31/10/2024,3805220,0,04/11/2024 11:48:26,Y
2,30/09/2024,3378710,0,24/09/2024 10:09:56,Y
2,31/05/2025,4986062,0,03/06/2025 15:03:13,Y
2,31/08/2025,6696062,0,03/09/2025 12:44:07,Y
2,30/09/2025,3310944,0,12/09/2025 13:36:58,Y
2,30/06/2024,4155401,0,02/07/2024 14:27:49,Y
2,31/07/2023,3390000,0,21/06/2024 13:04:28,Y
2,31/08/2023,3390000,0,21/06/2024 13:04:51,Y
2,30/09/2023,3390000,0,21/06/2024 13:05:05,Y
2,31/10/2023,303030,0,25/08/2025 14:37:47,Y
2,30/11/2023,150000,0,21/06/2024 13:05:53,Y
2,31/12/2023,1145470,0,27/06/2024 18:16:07,Y
2,31/01/2024,991182,0,02/07/2024 14:23:45,Y
2,29/02/2024,3596563,0,02/07/2024 14:24:01,Y
2,31/03/2024,4087119,0,02/07/2024 14:26:57,Y
2,31/12/2024,5660236,0,30/12/2024 11:38:43,Y
2,28/02/2025,10371416,0,20/02/2025 13:31:34,Y
2,30/06/2025,3600944,0,09/07/2025 15:11:20,Y
2,31/08/2024,8926948,0,25/08/2024 11:14:15,Y
2,30/04/2025,4651180,0,16/04/2025 12:20:28,Y
2,01/04/2025,71214338,0,09/06/2025 15:54:26,L
2,30/11/2024,3675354,0,29/11/2024 13:06:54,Y
2,01/04/2024,85108223,0,12/08/2024 10:24:01,L
2,31/01/2025,8526534,0,22/01/2025 17:01:35,Y
2,31/03/2025,5836298,0,27/03/2025 12:05:28,Y
2,31/10/2025,-1575118,0,25/08/2025 14:37:45,Y
