COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_STATE_TIN,BU_CONTACT_PERSON_CD,ADDR_FLAG,CONTACT_PERSON_CD,INVOICE_TYPE,INVOICE_SEQ,INVOICE_NO,LINE_NO,LINE_DESC,UNIT,QTY,RATE,AMOUNT,ENT_BY,ENT_DT,CARGO_NO
Gail,2025-2026,A-4-7-10722-0,7,0,10722,0,Q,1,24,2LGJ0025/25-26,null,null,OR,25,2LGJ0025/25-26,1,TLU Charges (Cubal LNG dtd 09-June-25 ),INR,1768.9,90.57,160209.27,null,null,null
Gail,2025-2026,A-4-7-10722-0,7,0,10722,0,Q,1,24,2LGJ0026/25-26,null,null,OR,26,2LGJ0026/25-26,1,TLU Charges (Lobito LNG dtd 21-June-25),INR,6209.89,90.57,562429.74,null,null,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00003/23-24,null,null,DI,3,L00003/23-24,1,Deficiency Payment for Berthing Slot No. 04 dated 14-15 April 2023,USD,3200000,.76,2432000,null,null,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00009/23-24,null,null,DI,9,L00009/23-24,1,Deficiency Payment for Berthing Slot No. 05 dated 04-05 May 2023,USD,156900,.76,119244,null,null,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00022/23-24,null,null,DI,22,L00022/23-24,1,Deficiency Payment for Berthing Slot No. 07 dated 20-21 June 2023,USD,3200000,.76,2432000,null,null,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00041/23-24,null,null,DI,41,L00041/23-24,1,Deficiency Payment for Berthing Slot no.09 dated 27-28 July 2023,USD,3200000,.76,2432000,null,null,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00061/23-24,null,null,DI,61,L00061/23-24,1,Deficiency Payment for Berthing Slot No. 11 dated 26-Sep-23,USD,1640000,.76,1246400,null,null,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00066/23-24,null,null,SI,66,L00066/23-24,1,Service Charges,USD,300000,.76,228000,null,null,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00075/23-24,null,null,DI,75,L00075/23-24,1,Deficiency Payment for Berthing Slot no.13 dated 01-02 November 2023,USD,3200000,.76,2432000,null,null,null
AMNS,2022-2023,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00075/22-23,null,null,DI,75,L00075/22-23,2,Deficiency Payment for Berthing Slot no.15 dated 20-21 July 2022,USD,3200000,.76,2432000,null,null,null
AMNS,2024-2025,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00079/24-25,null,null,SI,79,L00079/24-25,1,Service Charges,USD,36200,.76,27512,null,null,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00083/23-24,null,null,DI,83,L00083/23-24,1,Service charges,USD,150000,.76,114000,null,null,null
AMNS,2024-2025,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00084/24-25,null,null,SI,84,L00084/24-25,1,Service Charges ,USD,347800,.76,264328,null,null,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00085/23-24,null,null,DI,85,L00085/23-24,1,Deficiency invoice for Berthing slot no-15 cargo dated 05-06 December 2023,USD,3200000,.76,2432000,null,null,null
AMNS,2024-2025,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00085/24-25,null,null,ST,85,L00085/24-25,2,Storage Charges For The Extended Storage Duration (30-31 Jan 2025) For Cargo Arrived on 14-01-2025,INR,4467029.58,2,8934059.16,null,null,null
AMNS,2024-2025,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00088/24-25,null,null,ST,88,L00088/24-25,1,Storage Charges For The Extended Storage Duration (01-15 Feb-25) For Cargo Arrived on 14-01-2025,INR,27677055.92,2,55354111.84,null,null,null
AMNS,2024-2025,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00089/24-25,null,null,SI,89,L00089/24-25,1,Service Charges,USD,51300,.76,38988,null,null,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00094/23-24,null,null,SI,94,L00094/23-24,1,Service Charges,USD,300000,.76,228000,null,null,null
AMNS,2022-2023,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00094/22-23,null,null,DI,94,L00094/22-23,2,Deficiency Payment for Berthing Slot no.08 dated 20-21 Aug 2022,USD,3200000,.76,2432000,null,null,null
AMNS,2024-2025,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00095/24-25,null,null,SI,95,L00095/24-25,1,Service Charges,USD,15445,.76,11738.2,null,null,null
AMNS,2023-2024,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00096/23-24,null,null,ST,96,L00096/23-24,1,Storage Charges For The Extended Storage Duration For Cargo Arrived on 23-12-2023,INR,300000,2,600000,null,null,null
AMNS,2024-2025,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00096/24-25,null,null,SI,96,L00096/24-25,2,Service Charges,USD,149255,.0076,1134.34,null,null,null
AMNS,2024-2025,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00097/24-25,null,null,ST,97,L00097/24-25,1,Storage Charges For The Extended Storage Duration (16-28 Feb-25) For Cargo Arrived on 14-01-2025,INR,13138104.05,2,26276208.1,null,null,null
AMNS,2024-2025,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00098/24-25,null,null,SI,98,L00098/24-25,1,Service Charges,USD,149255,.0684,10209.04,null,null,null
AMNS,2024-2025,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00102/24-25,null,null,ST,102,L00102/24-25,1,Storage Charges For The Extended Storage Duration (01-15 Mar-25) For Cargo Arrived on 14-01-2025,INR,3575968.29,2,7151936.58,null,null,null
AMNS,2022-2023,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00108/22-23,null,null,SI,108,L00108/22-23,1,Service Charges,USD,2200000,.76,1672000,null,null,null
AMNS,2022-2023,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00139/22-23,null,null,DI,139,L00139/22-23,1,Deficiency Payment for Berthing Slot no.16 dated 27- 28 Oct 2022,USD,3200000,.76,2432000,null,null,null
AMNS,2022-2023,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00159/22-23,null,null,DI,159,L00159/22-23,1,Deficiency Payment for Berthing Slot no.13 dated 16- 17 Dec 2022,USD,3200000,.76,2432000,null,null,null
AMNS,2022-2023,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00165/22-23,null,null,SI,165,L00165/22-23,1,Service Charges,USD,305000,.76,231800,null,null,null
AMNS,2022-2023,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00169/22-23,null,null,SI,169,L00169/22-23,1,Service Charges,USD,128500,.76,97660,null,null,null
AMNS,2022-2023,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00175/22-23,null,null,DI,175,L00175/22-23,1,Service Invoice against LNG Purchase under SP23,USD,150485.48,.76,114368.96,null,null,null
AMNS,2022-2023,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00176/22-23,null,null,DI,176,L00176/22-23,1,Deficiency Payment for Berthing Slot no.02 dated 28 Feb-01 Mar 2023,USD,3200000,.76,2432000,null,null,null
AMNS,2022-2023,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00183/22-23,null,null,SI,183,L00183/22-23,1,Service Charges,USD,181632.97,.76,138041.06,null,null,null
AMNS,2021-2022,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00207/21-22,null,null,DI,207,L00207/21-22,1,Deficiency Payment for Berthing Slot 2 dated 22-23 Nov-2021,USD,3040000,.76,2310400,null,null,null
AMNS,2021-2022,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00208/21-22,null,null,DI,208,L00208/21-22,1,Deficiency Payment for Berthing Slot 7 dated 29-Jun-2021,USD,165810,.76,126015.6,null,null,null
AMNS,2021-2022,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00209/21-22,null,null,DI,209,L00209/21-22,1,Deficiency Payment for Berthing Slot 8 dated 27-Jul-2021,USD,130000,.76,98800,null,null,null
AMNS,2021-2022,A-33-19-11921-0,19,0,11921,0,Q,1,24,L00210/21-22,null,null,DI,210,L00210/21-22,1,Deficiency Payment for Berthing Slot 9 dated 19-20 Dec-2021,USD,3040000,.76,2310400,null,null,null
