COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_STATE_TIN,BU_CONTACT_PERSON_CD,ADDR_FLAG,CONTACT_PERSON_CD,INVOICE_TYPE,INVOICE_SEQ,INVOICE_NO,LINE_NO,LINE_DESC,UNIT,QTY,RATE,AMOUNT,ENT_BY,ENT_DT,CARGO_NO,SAC_CD
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0010/23-24,null,null,LP,10,IT0010/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0647/23-24 dated 09-SEP-23,INR,874.86,12.65,11066.979,201,13/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0008/23-24,null,null,LP,8,IT0008/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0644/23-24 dated 09-SEP-23,INR,880.55,12.65,11138.9575,201,13/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0037/23-24,null,null,LP,37,IT0037/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0765/23-24 dated 30-SEP-23,INR,893.16,12.65,11298.474,113,15/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0038/23-24,null,null,LP,38,IT0038/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0766/23-24 dated 30-SEP-23,INR,773.66,12.65,9786.799,113,15/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0039/23-24,null,null,LP,39,IT0039/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0771/23-24 dated 01-OCT-23,INR,853.18,12.65,10792.727,113,15/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0040/23-24,null,null,LP,40,IT0040/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0772/23-24 dated 01-OCT-23,INR,768.61,12.65,9722.9165,113,15/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0041/23-24,null,null,LP,41,IT0041/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0773/23-24 dated 01-OCT-23,INR,891.21,12.65,11273.8065,113,15/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0042/23-24,null,null,LP,42,IT0042/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0774/23-24 dated 02-OCT-23,INR,887.87,12.65,11231.5555,113,15/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0083/23-24,null,null,LP,83,IT0083/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T1017/23-24 dated 10-NOV-23,INR,889.08,12.65,11246.862,201,27/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0084/23-24,null,null,LP,84,IT0084/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T1019/23-24 dated 11-NOV-23,INR,790.85,12.65,10004.2525,201,27/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0085/23-24,null,null,LP,85,IT0085/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T1023/23-24 dated 11-NOV-23,INR,886.37,12.65,11212.5805,201,27/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0086/23-24,null,null,LP,86,IT0086/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T1024/23-24 dated 12-NOV-23,INR,888.46,12.65,11239.019,201,27/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0087/23-24,null,null,LP,87,IT0087/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T1025/23-24 dated 12-NOV-23,INR,901.96,12.65,11409.794,201,27/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0088/23-24,null,null,LP,88,IT0088/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T1026/23-24 dated 12-NOV-23,INR,858.82,12.65,10864.073,201,27/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0089/23-24,null,null,LP,89,IT0089/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T1028/23-24 dated 12-NOV-23,INR,889.45,12.65,11251.5425,201,27/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0091/23-24,null,null,LP,91,IT0091/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T1032/23-24 dated 13-NOV-23,INR,891.24,12.65,11274.186,201,27/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0092/23-24,null,null,LP,92,IT0092/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T1034/23-24 dated 14-NOV-23,INR,886.71,12.65,11216.8815,201,27/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0093/23-24,null,null,LP,93,IT0093/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T1036/23-24 dated 14-NOV-23,INR,881.83,12.65,11155.1495,201,27/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0023/23-24,null,null,LP,23,IT0023/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0677/23-24 dated 14-SEP-23,INR,864.02,12.65,10929.853,201,13/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0024/23-24,null,null,LP,24,IT0024/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0679/23-24 dated 14-SEP-23,INR,869.1,12.65,10994.115,201,13/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0025/23-24,null,null,LP,25,IT0025/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0681/23-24 dated 14-SEP-23,INR,762.19,12.65,9641.7035,201,13/11/2023 00:00:00,0,null
VIGASLD,2023-2024,S-1-0-3-0,1,0,3,0,S,1,0,IT0026/23-24,null,null,LP,26,IT0026/23-24,1,Delayed Payment Invoice Generated Against Invoice No. T0685/23-24 dated 15-SEP-23,INR,769.14,12.65,9729.621,201,13/11/2023 00:00:00,0,null
