COMPANY_CD,FINANCIAL_YEAR,BU_STATE_TIN,INVOICE_SEQ,INVOICE_TYPE,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT
Gail,2025-2026,25,2LGJ0025/25-26,TLU,O,INVOICE-E-2025-2026-25-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,01/07/2025 00:00:00
Gail,2025-2026,25,2LGJ0025/25-26,TLU,D,INVOICE-E-2025-2026-25-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,16/07/2025 00:00:00
Gail,2025-2026,26,2LGJ0026/25-26,TLU,O,INVOICE-E-2025-2026-26-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,01/07/2025 00:00:00
Gail,2025-2026,26,2LGJ0026/25-26,TLU,D,INVOICE-E-2025-2026-26-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,16/07/2025 00:00:00
Gail,2025-2026,32,2LGJ0032/25-26,TLU,O,INVOICE-E-2025-2026-32-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,16/07/2025 00:00:00
Gail,2025-2026,32,2LGJ0032/25-26,TLU,D,INVOICE-E-2025-2026-32-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,01/08/2025 00:00:00
Gail,2025-2026,37,2LGJ0037/25-26,TLU,O,INVOICE-E-2025-2026-37-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,01/08/2025 00:00:00
Gail,2025-2026,37,2LGJ0037/25-26,TLU,D,INVOICE-E-2025-2026-37-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,01/08/2025 00:00:00
Gail,2025-2026,38,2LGJ0038/25-26,TLU,O,INVOICE-E-2025-2026-38-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,01/08/2025 00:00:00
Gail,2025-2026,38,2LGJ0038/25-26,TLU,D,INVOICE-E-2025-2026-38-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,01/08/2025 00:00:00
Gail,2025-2026,47,2LGJ0047/25-26,TLU,O,INVOICE-E-2025-2026-47-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,18/08/2025 00:00:00
Gail,2025-2026,48,2LGJ0048/25-26,TLU,O,INVOICE-E-2025-2026-48-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,18/08/2025 00:00:00
Gail,2025-2026,49,2LGJ0049/25-26,TLU,O,INVOICE-E-2025-2026-49-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,18/08/2025 00:00:00
Gail,2025-2026,50,2LGJ0050/25-26,TLU,O,INVOICE-E-2025-2026-50-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,01/09/2025 00:00:00
Gail,2025-2026,50,2LGJ0050/25-26,TLU,D,INVOICE-E-2025-2026-50-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,01/09/2025 00:00:00
MINDA,2024-2025,5,IT0005/24-25,LP,D,INVOICE-18122024-MINDA-Minda-Detroj-I-5.pdf,46,18/12/2024 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,18/12/2024 00:00:00
