COMPANY_CD,FINANCIAL_YEAR,BU_STATE_TIN,INVOICE_SEQ,ALLOC_QTY,SALE_PRICE,SALE_PRICE_UNIT,SALE_AMT,EXCHG_RATE_CD,EXCHG_RATE_DT,EXCHG_RATE_VALUE,INVOICE_RAISED_IN,GROSS_AMT,TRANSPORTATION_CHARGE,TRANSPORTATION_AMOUNT,MARKET_MARGIN,MARKET_MARGIN_AMT,OTHER_CHARGES,OTHER_CHARGES_AMT,TAX_STRUCT_CD,TAX_AMT,INVOICE_AMT,NET_PAYABLE_AMT,TCS_TDS,TCS_AMT,TCS_FACTOR,TDS_GROSS_PERCENT,TDS_GROSS_AMT,TDS_TAX_PERCENT,TDS_TAX_AMT,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT
RIL&D018/19-20,2019-2020,L-1-1-0,0115/19-20,97644.68,5.07,1,495058.53,SBI RATE BUY SELL,14/02/2020,71.925,null,35607084.48,null,null,null,null,null,null,CST 2%,712141.99,36319226.47,36319226.47,null,null,null,null,null,null,null,23,25/02/2020,null,null
RIL&null,2016-2017,C-1-3-3-0,0001@2016-2017,19978.81,0.8,2,15983.05,SBI RATE BUY SELL,13/04/2016,66.555,null,1063751.76,null,null,null,null,null,null,SBC 0.5%-ST 14%,834.32,1217995.76,1217995.76,null,null,null,null,null,null,null,27,18/04/2016,null,null
MGL&DMH014/24-25,2024-2025,33Tranche1,SMH0039/24-25,39208.88,10.0674,2,394731.48,SBI FIRST RATE TT BUY SELL,15/07/2024,83.66,null,33023235.49,null,null,null,null,null,null,VAT 3%,1091478.62,37474099.59,37474099.59,null,null,null,.1,null,null,null,219,22/07/2024,null,null
MGL&DMH015/24-25,2024-2025,33Tranche1,SMH0043/24-25,27782.13,10.0674,2,279693.82,SBI FIRST RATE TT BUY SELL,31/07/2024,83.81,null,23441138.68,null,null,null,null,null,null,VAT 3%,774644.68,26596134.03,26596134.03,null,null,null,.1,null,.1,.55,201,06/08/2024,null,null
GSPCL&C006/18-19,2018-2019,C-3-12018-12-0,00472/18-19,1199549.8,0.78,2,935648.84,SBI RATE BUY SELL,24/12/2018,69.915,null,65977279,null,null,null,null,null,null,CGST 9%-SGST 9%,11875912,77853191,77853191,null,null,null,null,null,null,null,23,03/01/2019,null,null
GSPCL&D006/19-20,2019-2020,117,0095/19-20,784414.95,6.15,1,4824151.94,SBI RATE BUY SELL,30/01/2020,71.485,null,344854501.49,null,null,null,null,null,null,VAT 15%,51728174.87,396582676.36,396582676.36,null,null,null,null,null,null,null,6,04/02/2020,null,null
Gail&C0003/23-24,2023-2024,C-4-10722-21-0,L00025/23-24,2011155.72,0.75,2,1528478.35,SBI FIRST RATE TT BUY SELL,30/06/2023,82.055,null,127069545,null,null,null,null,null,null,CGST 6%-SGST 6%,15248344,142317889,142317889,null,null,null,null,null,null,null,113,05/07/2023,null,null
Gail&D007/19-20,2019-2020,24,0096/19-20,778000.0,5.4,1,4201200,SBI RATE BUY SELL,30/01/2020,71.485,null,300322782,null,null,null,null,null,null,VAT 15%,45048417.5,345371199.5,345371199.5,null,null,null,null,null,null,null,6,04/02/2020,null,null
Gail&D0001/20-21,2020-2021,C-4-10519-1-0,L00113/20-21,1187579.68,0.76,2,902560.56,SBI RATE BUY SELL,05/06/2020,75.995,null,68590090,null,null,null,null,null,null,CGST 9%-SGST 9%,12346216,80936306,80936306,null,null,null,null,null,null,null,23,16/06/2020,null,null
KRIBHCO&C007/23-24,2023-2024,L-33-1-0,S0008/23-24,142320.0,13.23,2,1882893.6,SBI FIRST RATE TT SELL,13/04/2023,82.25,null,155621156.04,null,null,null,null,null,null,VAT 15%,24286413.44,186195836.36,186195836.36,null,null,null,null,null,null,null,130,20/04/2023,null,null
