COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,SEQ_NO,PAY_RECV_DT,PAY_RECV_AMT,PAY_REMARK,ENT_BY,ENT_DT
C,2LGJ0030/25-26,null,null,1,28/07/2025 00:00:00,2846133,null,201,28/07/2025 00:00:00
S,2SGJ0070/25-26,null,null,1,28/07/2025 00:00:00,3431957.87,null,201,28/07/2025 00:00:00
S,2SGJ0069/25-26,null,null,1,28/07/2025 00:00:00,14489226.07,null,201,28/07/2025 00:00:00
C,2LGJ0028/25-26,null,null,1,25/07/2025 00:00:00,59181346.28,null,201,25/07/2025 00:00:00
C,2LGJ0029/25-26,null,null,1,25/07/2025 00:00:00,119980135.28,null,201,25/07/2025 00:00:00
E,2LGJ0032/25-26,null,null,1,25/07/2025 00:00:00,1655560.16,null,201,25/07/2025 00:00:00
S,2SGJ0076/25-26,null,null,1,24/07/2025 00:00:00,202550488.32,null,201,24/07/2025 00:00:00
S,2SGJ0074/25-26,null,null,1,24/07/2025 00:00:00,7972883.9,null,201,24/07/2025 00:00:00
S,2SAP0011/25-26,null,null,1,24/07/2025 00:00:00,855124.09,null,201,24/07/2025 00:00:00
S,2SMH0044/25-26,null,null,1,24/07/2025 00:00:00,18308675.95,null,201,24/07/2025 00:00:00
S,2SGJ0073/25-26,null,null,1,24/07/2025 00:00:00,26143844.01,null,201,24/07/2025 00:00:00
S,2SGJ0075/25-26,null,null,1,24/07/2025 00:00:00,11931828.17,null,201,24/07/2025 00:00:00
L,2SAP0013/25-26,null,null,1,23/07/2025 00:00:00,61749772.15,null,201,23/07/2025 00:00:00
L,2SAP0012/25-26,null,null,1,23/07/2025 00:00:00,153151286.17,null,201,23/07/2025 00:00:00
L,2SGJ0077/25-26,null,null,1,23/07/2025 00:00:00,107293093.86,null,201,23/07/2025 00:00:00
L,2SMH0043/25-26,null,null,1,23/07/2025 00:00:00,117356337.99,null,201,23/07/2025 00:00:00
L,2SGJ0072/25-26,null,null,1,22/07/2025 00:00:00,30839113.58,null,201,22/07/2025 00:00:00
L,2SMH0039/25-26,null,null,1,22/07/2025 00:00:00,53725590.36,null,201,22/07/2025 00:00:00
S,2SMH0041/25-26,null,null,1,21/07/2025 00:00:00,12885078.82,null,201,21/07/2025 00:00:00
C,2LGJ0031/25-26,null,null,1,21/07/2025 00:00:00,338627.16,null,201,21/07/2025 00:00:00
S,2DRMH0010/25-26,null,null,1,21/07/2025 00:00:00,96114.45,null,201,21/07/2025 00:00:00
