COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_CONTACT_PERSON_CD,TRANS_BU_UNIT,INVOICE_TYPE,INVOICE_SEQ,INVOICE_NO,INVOICE_DT,FREQ,PERIOD_START_DT,PERIOD_END_DT,DUE_DT,ALLOC_QTY,NEG_IMB_QTY,POS_IMB_QTY,UNAUTH_OVERRUN_QTY,RATE_UNIT,TRANSPORT_RATE,POSITIVE_IMB_RATE,NEGETIVE_IMB_RATE,UNAUTH_OVERRUN_RATE,SALE_AMT,EXCHG_RATE_CD,EXCHG_RATE_DT,EXCHG_RATE_VALUE,INVOICE_RAISED_IN,GROSS_AMT,TAX_AMT,TAX_STRUCT_CD,TAX_EFF_DT,INVOICE_AMT,ADJUST_SIGN,ADJUST_AMT,NET_PAYABLE_AMT,INV_STATUS,CHECKED_FLAG,CHECKED_BY,CHECKED_DT,AUTHORIZED_FLAG,AUTHORIZED_BY,AUTHORIZED_DT,APPROVED_FLAG,APPROVED_BY,APPROVED_DT,ENT_BY,ENT_DT,FINANCIAL_YEAR,PDF_INV_DTL,PRINT_BY_ORI,PRINT_DT_ORI,NEG_IMB_AMT,POS_IMB_AMT,UNAUTH_OVERRUN_AMT,DEFICIENCY_QTY,SIP_PAY_RATE,DEFICIENCY_AMT,TRANSMISSION_AMT,SIP_PAY_FREQ,TDS_AMT,TDS_FACTOR,TDS_STRUCT_CD,TDS_EFF_DT,TCS_TDS,SAP_APPROVAL,SAP_APPROVED_BY,SAP_APPROVED_DT,SYS_INV_NO,INV_COMPONENT,PARKING_QTY,PARKING_RATE,PARKING_AMT
Gail,16-1-31-16-1604-1101,R,null,null,null,R,null,null,1,PC/PC,2022-2023,GAG2A22134000350,15/03/202300:00:00,1,01/03/2023 00:00:00,15/03/2023 00:00:00,21/03/202300:00:00,,null,null,null,1,null,null,null,null,8795,null,null,null,1,8795,null,null,null,null,null,null,null,null,Y,6,20/03/202300:00:00,Y,6,20/03/202300:00:00,Y,6,20/03/202300:00:00,113,20/03/202300:00:00,2022-2023,O,113,20/03/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-4-16-1604-1101,R,null,null,null,R,null,null,1,PC/PC,2022-2023,GAG2A22134000316,15/01/202300:00:00,1,01/01/2023 00:00:00,15/01/2023 00:00:00,20/01/202300:00:00,,null,null,null,1,null,null,null,null,220803,null,null,null,1,220803,null,null,null,null,null,null,null,null,Y,6,30/01/202300:00:00,Y,6,30/01/202300:00:00,Y,6,09/02/202300:00:00,113,19/01/202300:00:00,2022-2023,O,113,19/01/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-4-16-1604-1101,R,null,null,null,R,null,null,1,PC/PC,2022-2023,GAG2A22134000318,15/01/202300:00:00,1,01/01/2023 00:00:00,15/01/2023 00:00:00,20/01/202300:00:00,,null,null,null,1,null,null,null,null,15845,null,null,null,1,15845,null,null,null,null,null,null,null,null,Y,6,30/01/202300:00:00,Y,6,30/01/202300:00:00,Y,6,09/02/202300:00:00,113,19/01/202300:00:00,2022-2023,O,113,19/01/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-21-16-1604-92,R,null,null,null,R,null,null,1,PC/PC,2022-2023,GJG2A22103002790,15/01/202300:00:00,1,01/01/2023 00:00:00,15/01/2023 00:00:00,20/01/202300:00:00,,null,null,null,1,null,null,null,null,10133874,null,null,null,1,10133874,null,null,null,null,null,null,null,null,Y,6,08/02/202300:00:00,Y,6,08/02/202300:00:00,Y,6,09/02/202300:00:00,130,31/01/202300:00:00,2022-2023,O,130,31/01/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-15-16-1604-333,R,null,null,null,R,null,null,1,PC/PC,2022-2023,GJG2A22103003090,31/01/202300:00:00,2,16/01/2023 00:00:00,31/01/2023 00:00:00,05/02/202300:00:00,,null,null,null,1,null,null,null,null,12806438,null,null,null,1,12806438,null,null,null,null,null,null,null,null,Y,6,08/02/202300:00:00,Y,6,08/02/202300:00:00,N,null,null,130,07/02/202300:00:00,2022-2023,O,130,07/02/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-4-16-1604-1101,R,null,null,null,R,null,null,1,PC/PC,2022-2023,GAG2A22134000338,28/02/202300:00:00,2,16/02/2023 00:00:00,28/02/2023 00:00:00,06/03/202300:00:00,,null,null,null,1,null,null,null,null,189496.14,null,null,null,1,189496.14,null,null,null,null,null,null,null,null,Y,6,13/03/202300:00:00,Y,6,13/03/202300:00:00,Y,6,13/03/202300:00:00,169,13/03/202300:00:00,2022-2023,O,169,13/03/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-2-16-1604-542,R,null,null,null,R,null,null,1,PC/PC,2022-2023,HRG2A22136000772,15/03/202300:00:00,1,01/03/2023 00:00:00,15/03/2023 00:00:00,21/03/202300:00:00,,null,null,null,1,null,null,null,null,343959,null,null,null,1,343959,null,null,null,null,null,null,null,null,Y,6,20/03/202300:00:00,Y,6,20/03/202300:00:00,Y,6,20/03/202300:00:00,130,20/03/202300:00:00,2022-2023,O,130,20/03/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-30-16-1601-1001,R,null,null,null,R,null,null,1,PC/PC,2022-2023,GJG2A22103003614,15/03/202300:00:00,1,01/03/2023 00:00:00,15/03/2023 00:00:00,21/03/202300:00:00,,null,null,null,1,null,null,null,null,74958,null,null,null,1,74958,null,null,null,null,null,null,null,null,Y,6,20/03/202300:00:00,Y,6,20/03/202300:00:00,Y,6,20/03/202300:00:00,130,20/03/202300:00:00,2022-2023,O,130,20/03/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-35-16-1601-1162,R,null,null,null,R,null,null,1,PC/PC,2022-2023,BHG2A22232000498,15/03/202300:00:00,1,01/03/2023 00:00:00,15/03/2023 00:00:00,21/03/202300:00:00,,null,null,null,1,null,null,null,null,12767985,null,null,null,1,12767985,null,null,null,null,null,null,null,null,Y,6,20/03/202300:00:00,Y,6,20/03/202300:00:00,Y,6,20/03/202300:00:00,130,20/03/202300:00:00,2022-2023,O,130,20/03/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
Gail,16-1-36-16-1601-892,R,null,null,null,R,null,null,1,PC/PC,2022-2023,GJG2A22103003589,15/03/202300:00:00,1,01/03/2023 00:00:00,15/03/2023 00:00:00,21/03/202300:00:00,,null,null,null,1,null,null,null,null,11156423,null,null,null,1,11156423,null,null,null,null,null,null,null,null,Y,6,20/03/202300:00:00,Y,6,20/03/202300:00:00,Y,6,20/03/202300:00:00,130,20/03/202300:00:00,2022-2023,O,130,20/03/202300:00:00,null,null,null,null,null,null,null,null,null,2,62,01/04/202300:00:00,TDS,null,null,null,null,null,null,null,null
