COMPANY_CD,REPORT_DT,BUY_SELL,COUNTERPARTY_CD,COUNTERPARTY_NM,CONTRACT_TYPE,MAPPING_ID,CONT_REF,CONT_SIGN_DT,CONT_START_DT,CONT_END_DT,CONT_ENT_BY,CONT_ENT_DT,CONT_APRV_BY,CONT_APRV_DT,CONT_STATUS,PRICE_TYPE,CONT_PRICE,RATE_UNIT,PHYS_CURVE,FIN_CURVE,TOT_DCQ,TOT_ALLOC_QTY,TOT_ORI_EXPO_PHY,TOT_ORI_EXPO_FIN,TOT_UNR_EXPO_PHY,TOT_UNR_EXPO_FIN,TOT_R_EXPO_PHY,TOT_R_EXPO_FIN,TOT_UNR_PHY_LEG,TOT_UNR_FIN_LEG,TOT_R_FIN_LEG,TOT_MTM_TOTAL,PHYS_FWD_PRICE_DT,FIN_FWD_PRICE_DT,ENT_BY,ENT_DT,DEAL_NUM
2,23/12/2022 00:00:00,Buy,GUNSPL,Gunvor Singapore Pte. Ltd.,I,B6-9922007-0-9922007-1,GUNSPL-8-1-I-9922010-0,01/10/2022 00:00:00,01/10/2022 00:00:00,31/12/2022 00:00:00,null,null,null,null,null,null,null,null,RLNG_PHYS_INDIA,null,249999.88,0,249999.88,0,21739.12,0,228260.76,0,622869.28,0,-17007817.92,-16384948.64,null,null,4,10/10/2022 00:00:00,null
2,23/12/2022 00:00:00,Buy,GSPCL,Gujarat State Petroleum Corporation Limited,null,P3-0-0-0-0,null,24/12/2022 00:00:00,24/12/2022 00:00:00,24/12/2022 00:00:00,null,null,null,null,null,null,null,null,RLNG_PHYS_INDIA,null,0,0,0,0,0,0,0,0,0,0,0,0,null,null,0,24/12/2022 00:00:00,null
2,23/12/2022 00:00:00,Sell,AMNS,ARCELORMITTAL NIPPON STEEL INDIA LIMITED,F,E33-1-0-3-0,S-1-0-3-0,01/05/2022 00:00:00,01/04/2022 00:00:00,16/05/2023 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,-2055000,0,-2055000,0,-720000,0,-1335000,0,-18140505,0,2937024,-15203481,null,null,4,16/05/2022 00:00:00,null
2,23/12/2022 00:00:00,Sell,BPCL,Bharat Petroleum Corporation Limited,F,E24-1-0-2-0,S-1-0-2-0,24/05/2022 00:00:00,18/05/2022 00:00:00,25/03/2023 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,-1560000,0,-1560000,0,-460000,0,-1100000,0,-11871125,0,1035092,-10836033,null,null,4,25/05/2022 00:00:00,null
2,23/12/2022 00:00:00,Sell,BPCL,Bharat Petroleum Corporation Limited,F,E24-1-0-1-0,S-1-0-1-0,01/05/2022 00:00:00,01/06/2022 00:00:00,17/03/2023 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,-1450000,0,-1450000,0,-420000,0,-1030000,0,-10918045,0,1713264,-9204781,null,null,4,17/05/2022 00:00:00,null
2,23/12/2022 00:00:00,Sell,BPCL,Bharat Petroleum Corporation Limited,F,E24-1-0-3-0,S-1-0-3-0,01/06/2022 00:00:00,01/06/2022 00:00:00,30/03/2023 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,-1515000,0,-1515000,0,-485000,0,-1030000,0,-12466800,0,1091347,-11375453,null,null,4,30/06/2022 00:00:00,null
2,23/12/2022 00:00:00,Sell,BPCL,Bharat Petroleum Corporation Limited,F,E24-1-0-4-0,S-1-0-4-0,18/09/2022 00:00:00,01/09/2022 00:00:00,19/03/2023 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,-100000,-500,-100000,0,-43000,0,-57000,0,-1115631.5,0,183252.45,-932379.05,null,null,4,19/09/2022 00:00:00,null
2,23/12/2022 00:00:00,Sell,MGL,Mahanagar Gas Limited,F,E2-1-0-1-12,S-1-0-1-12,01/07/2020 00:00:00,02/06/2021 00:00:00,20/12/2022 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,-567000,0,-567000,0,0,0,-567000,0,0,0,0,0,null,null,4,05/01/2022 00:00:00,null
2,23/12/2022 00:00:00,Sell,MGL,Mahanagar Gas Limited,F,E2-1-0-4-3,S-1-0-4-3,01/01/2022 00:00:00,01/01/2022 00:00:00,01/12/2022 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,-33500,0,-33500,0,0,0,-33500,0,0,0,0,0,null,null,4,05/01/2022 00:00:00,null
2,23/12/2022 00:00:00,Sell,MGL,Mahanagar Gas Limited,F,E2-1-0-8-1,S-1-0-8-1,08/03/2022 00:00:00,08/03/2022 00:00:00,08/12/2022 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,-138000,0,-138000,0,0,0,-138000,0,0,0,0,0,null,null,4,05/05/2022 00:00:00,null
2,23/12/2022 00:00:00,Sell,GSPCL,Gujarat State Petroleum Corporation Limited,X,K3-0-0-1-1,X-0-1-1,01/05/2022 00:00:00,01/05/2022 00:00:00,31/12/2022 00:00:00,null,null,null,null,null,null,null,null,RLNG_PHYS_INDIA,null,-367500,-5450,-367500,0,-12000,0,-355500,0,-343824,0,14326.45,-329497.55,null,null,4,02/06/2022 00:00:00,null
2,23/12/2022 00:00:00,Sell,MGL,Mahanagar Gas Limited,X,K2-0-0-2-1,X-0-2-1,15/05/2022 00:00:00,15/05/2022 00:00:00,31/12/2022 00:00:00,null,null,null,null,null,null,null,null,RLNG_PHYS_INDIA,null,-4620000,-40000,-4620000,0,-160000,0,-4460000,0,-4584320,0,164200,-4420120,null,null,4,02/06/2022 00:00:00,null
2,23/12/2022 00:00:00,Sell,MGL,Mahanagar Gas Limited,X,K2-0-0-3-0,X-0-3-0,01/06/2022 00:00:00,01/06/2022 00:00:00,31/12/2022 00:00:00,null,null,null,null,null,null,null,null,RLNG_PHYS_INDIA,null,-4280000,-19549,-4280000,0,-160000,0,-4120000,0,-4584320,0,13466175,8881855,null,null,4,10/06/2022 00:00:00,null
2,23/12/2022 00:00:00,Sell,MGL,Mahanagar Gas Limited,X,K2-0-0-1-0,X-0-1-0,01/06/2022 00:00:00,01/06/2022 00:00:00,31/12/2022 00:00:00,null,null,null,null,null,null,null,null,RLNG_PHYS_INDIA,null,-321000,-2700,-321000,0,-12000,0,-309000,0,-343824,0,1102500,758676,null,null,4,01/06/2022 00:00:00,null
2,30/12/2022 00:00:00,Buy,SITME,Shell International Trading Middle East Ltd.,D,B3-22011-0-22009-1,SITME-1-1-D-22011-0,30/12/2022 00:00:00,31/12/2022 00:00:00,01/02/2023 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,15000.15,0,15000.15,0,15000.15,0,0,0,399451.32,0,-900009,-500557.68,null,null,4,31/12/2022 00:00:00,null
2,30/12/2022 00:00:00,Buy,SITME,Shell International Trading Middle East Ltd.,D,B3-22011-0-22009-2,SITME-1-2-D-22012-0,30/12/2022 00:00:00,01/01/2023 00:00:00,01/02/2023 00:00:00,null,null,null,null,null,null,null,null,LNG_PHYS_INDIA,null,20000,0,20000,0,20000,0,0,0,532320,0,-1800000,-1267680,null,null,4,31/12/2022 00:00:00,null
2,23/12/2022 00:00:00,Sell,DFPCL,DEEPAK FERTILISERS AND PETROCHEMICALS CORPORATION LTD,S,S10-2-0-1-0,S-2-0-1-0,13/09/2021 00:00:00,13/09/2021 00:00:00,30/12/2021 00:00:00,null,null,null,null,null,null,null,null,RLNG_PHYS_INDIA,null,-108891,-950,-108891,0,0,0,-108891,0,0,0,3875.24,3875.24,null,null,4,13/09/2021 00:00:00,null
2,23/12/2022 00:00:00,Sell,Gail,GAIL (India) Limited,S,S4-2-1-5-0,S-2-1-5-0,27/07/2021 00:00:00,27/07/2021 00:00:00,31/07/2021 00:00:00,null,null,null,null,null,null,null,null,RLNG_PHYS_INDIA,null,-7500,-1000,-7500,0,0,0,-7500,0,0,0,4490.2,4490.2,null,null,4,27/07/2021 00:00:00,null
2,23/12/2022 00:00:00,Sell,GSPCL,Gujarat State Petroleum Corporation Limited,S,S3-3-0-1-0,S-3-0-1-0,26/04/2022 00:00:00,26/04/2022 00:00:00,31/12/2022 00:00:00,null,null,null,null,null,null,null,null,RLNG_PHYS_INDIA,null,-124750,-499,-124750,0,-3992,0,-120758,0,-114378.8,0,18319.68,-96059.12,null,null,4,26/04/2022 00:00:00,null
2,23/12/2022 00:00:00,Sell,HSIL,AGI GREENPAC LIMITED,S,S45-1-0-4-0,S-1-0-4-0,17/07/2021 00:00:00,17/07/2021 00:00:00,31/07/2021 00:00:00,null,null,null,null,null,null,null,null,RLNG_PHYS_INDIA,null,-7485,0,-7485,0,0,0,-7485,0,0,0,0,0,null,null,4,17/07/2021 00:00:00,null
2,23/12/2022 00:00:00,Sell,MGL,Mahanagar Gas Limited,S,S2-6-0-10-0,S-6-0-10-0,15/11/2021 00:00:00,15/11/2021 00:00:00,08/05/2022 00:00:00,null,null,null,null,null,null,null,null,RLNG_PHYS_INDIA,null,-174825,0,-174825,0,0,0,-174825,0,0,0,0,0,null,null,4,15/11/2021 00:00:00,null
