COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,PLANT_SEQ,INVOICE_NO,INVOICE_SEQ,INVOICE_ID_SEQ,DR_CR_REF_NO,DR_CR_NO,CRITERIA,DR_CR_FLAG,DR_CR_SEQ,ITEM_DESCRIPTION,LINE_SEQ,ITEM_CD,ITEM_EFF_DT,ITEM_AMT,ITEM_DIFF_AMT,ITEM_DIFF_VALUE
IGL,2024-2025,X-23-51-0,0,0,51,0,X,1,2,S0134/24-25,134,134,D014/24-25,D014/24-25,6,DR,null,OTHERS,1,6,null,null,null,null
HPCL,2024-2025,34,2,0,26,0,S,1,4,S0253/24-25,253,253,D034/24-25,D034/24-25,10,DR,null, Imbalance Charges,1,10,null,null,null,null
HPCL,2024-2025,34,2,0,26,0,S,1,4,S0242/24-25,242,242,D032/24-25,D032/24-25,10,DR,null, Imbalance- Ship or Pay charges,1,10,null,null,null,null
HPCL,2024-2025,34,2,0,26,0,S,1,4,S0242/24-25,242,242,D033/24-25,D033/24-25,10,DR,null,OTHERS:OTHERS,2,10,null,null,null,null
HPCL,2023-2024,31,2,0,20,0,S,2,3,SMH0178/23-24,178,178,DMH034/23-24,DMH034/23-24,1,DR,null,null,1,1,null,83.025,83.05,-0.0250
HPCL,2023-2024,31,2,0,20,0,S,2,3,SMH0185/23-24,185,185,CMH016/23-24,CMH016/23-24,1,CR,null,null,1,1,null,82.915,82.89,0.0250
HPCL,2023-2024,29,2,0,18,0,S,1,2,S0087/23-24,87,87,C011/23-24,C011/23-24,2,CR,null,null,1,2,null,12.5024,12.488,0.0144
HPCL,2024-2025,33,2,0,24,0,S,2,3,SMH0049/24-25,49,49,CMH012/24-25,CMH012/24-25,1,CR,null,null,1,1,null,84.36,83.84,0.5200
HPCL,2024-2025,33,2,0,24,0,S,2,3,SMH0054/24-25,54,54,CMH013/24-25,CMH013/24-25,1,CR,null,null,1,1,null,84.29,83.98,0.3100
HPCL,2024-2025,32,2,1,21,0,S,2,3,SMH0014/24-25,14,14,CMH004/24-25,CMH004/24-25,1,CR,null,null,1,1,null,83.495,83.42,0.0750
HPCL,2019-2020,19,2,0,5,0,S,1,1,0005/19-20,5,5,C001/19-20,C001/19-20,10,CR,null,null,1,10,null,null,null,null
GSFC,2019-2020,3,1,0,3,0,S,1,1,0097/19-20,97,97,D008/19-20,D008/19-20,1,DR,null,null,1,1,null,71.425,71.485,-0.0600
AMNS,2021-2022,C-33-11921-9-0,11921,0,9,0,O,1,1,L00134/21-22,134,134,C0003/21-22,C0003/21-22,10,CR,null,null,1,10,null,null,null,null
AMNS,2020-2021,60,1,0,15,0,S,1,1,S0364/20-21,364,364,D003/21-22,D003/21-22,10,DR,null,null,1,10,null,null,null,null
