COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT,EMAIL_SENT,EMAIL_SENT_BY,EMAIL_SENT_DT
MINDA,2024-2025,5,IT0005/24-25,D,LATEPAY_INVOICE-18122024-MINDA-Minda-Detroj-I-5-D.pdf,46,18/12/2024 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,18/12/2024 00:00:00,null,null,null,Y,null,18/12/2024 00:00:00
MINDA,2024-2025,5,IT0005/24-25,O,LATEPAY_INVOICE-18122024-MINDA-Minda-Detroj-I-5-O.pdf,46,18/12/2024 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,18/12/2024 00:00:00,null,null,null,Y,null,18/12/2024 00:00:00
MINDA,2024-2025,5,IT0005/24-25,T,LATEPAY_INVOICE-18122024-MINDA-Minda-Detroj-I-5-T.pdf,46,18/12/2024 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,18/12/2024 00:00:00,null,null,null,Y,null,18/12/2024 00:00:00
MINDA,2024-2025,6,IT0006/24-25,D,LATEPAY_INVOICE-18122024-MINDA-Minda-Detroj-I-6-D.pdf,46,18/12/2024 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,18/12/2024 00:00:00,null,null,null,Y,null,18/12/2024 00:00:00
MINDA,2024-2025,6,IT0006/24-25,O,LATEPAY_INVOICE-18122024-MINDA-Minda-Detroj-I-6-O.pdf,46,18/12/2024 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,18/12/2024 00:00:00,null,null,null,Y,null,18/12/2024 00:00:00
MINDA,2024-2025,6,IT0006/24-25,T,LATEPAY_INVOICE-18122024-MINDA-Minda-Detroj-I-6-T.pdf,46,18/12/2024 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,18/12/2024 00:00:00,null,null,null,Y,null,18/12/2024 00:00:00
MINDA,2025-2026,9,IT0009/25-26,O,INVOICE-11092025-MINDA-Minda-Detroj-I-9-O.pdf,null,null,null,null,null,null,null,null,null,null,null,null,null
JKPAPER,2022-2023,1,IT0001/22-23,D,LATEPAY_INVOICE-29032023-JKPAPER-JKPAPER-SONGADH-I-1-D.pdf,113,29/03/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,29/03/2023 00:00:00,null,null,null,Y,null,29/03/2023 00:00:00
JKPAPER,2022-2023,1,IT0001/22-23,O,LATEPAY_INVOICE-29032023-JKPAPER-JKPAPER-SONGADH-I-1-O.pdf,113,29/03/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,29/03/2023 00:00:00,null,null,null,Y,null,29/03/2023 00:00:00
JKPAPER,2022-2023,1,IT0001/22-23,T,LATEPAY_INVOICE-29032023-JKPAPER-JKPAPER-SONGADH-I-1-T.pdf,113,29/03/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,29/03/2023 00:00:00,null,null,null,Y,null,30/03/2023 00:00:00
VIGASLD,2023-2024,2,IT0002/23-24,D,INVOICE-13112023-VIGASLD-Vishaka_Glass_-_Mundra-I-20-D.pdf,201,13/11/2023 00:00:00,null,null,null,null,null,null,null,null,null,null,null
VIGASLD,2023-2024,2,IT0002/23-24,O,INVOICE-13112023-VIGASLD-Vishaka_Glass_-_Mundra-I-20-O.pdf,201,13/11/2023 00:00:00,null,null,null,null,null,null,null,null,null,null,null
