COMPANY_CD,FINANCIAL_YEAR,BU_STATE_TIN,INVOICE_SEQ,ALLOC_QTY,SALE_PRICE,SALE_PRICE_UNIT,SALE_AMT,EXCHG_RATE_CD,EXCHG_RATE_DT,EXCHG_RATE_VALUE,INVOICE_RAISED_IN,GROSS_AMT,TAX_STRUCT_CD,TAX_AMT,INVOICE_AMT,NET_PAYABLE_AMT,TCS_TDS,TCS_AMT,TCS_FACTOR,TDS_GROSS_PERCENT,TDS_GROSS_AMT,TDS_TAX_PERCENT,TDS_TAX_AMT,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT
SGIPL&DT001/22-23,2022-2023,null,1,881.33,22.4,null,19741.79,DLNG SBI FAR,31/03/2022,75.745,null,1495341.88,VAT 6%,89720.51,1585062.39,1585062.39,null,null,null,null,null,null,null,113,05/04/2022,null,null
SGIPL&DT002/22-23,2022-2023,null,36,893.36,26.28,null,23477.50,DLNG SBI FAR,13/04/2022,76.195,null,1788868.11,VAT 6%,107332.09,1896200.20,1896200.20,null,null,null,.1,null,null,null,113,27/04/2022,null,null
SGIPL&CT004/22-23,2022-2023,null,63,0.0,26.28,null,0.00,DLNG SBI FAR,13/04/2022,76.195,null,0.00,VAT 6%,0.00,0.00,0.00,null,null,null,null,null,null,null,113,29/04/2022,null,null
SGIPL&CT006/22-23,2022-2023,null,638,814.97,21.4,null,17440.36,DLNG SBI FAR,15/11/2022,81.225,null,1416593.24,VAT 6%,84995.59,1501588.83,1501588.83,null,null,null,null,null,null,null,113,02/12/2022,null,null
RIPL&DT001/20-21,2020-2021,null,4,857.07,9.5886,null,8218.10,DLNG SBI FAR,31/12/2020,73.215,null,601688.19,CST 2%,12033.76,697914.75,697914.75,null,null,null,null,null,null,null,23,03/01/2021,null,null
CP&DT001/21-22,2021-2022,null,10,412.82,7.4345,null,3069.11,DLNG SBI FAR,31/03/2021,73.485,null,225533.57,CST 15%,33830.03,259363.60,259363.60,null,null,null,null,null,null,null,23,08/04/2021,null,null
HALHFGL&CT004/21-22,2021-2022,null,601,821.52,24.1,null,19798.63,DLNG SBI FAR,15/02/2022,75.625,null,1497271.39,VAT 6%,89836.28,1587107.67,1587107.67,null,null,null,null,null,null,null,113,01/03/2022,null,null
AGP CGD&CT008/23-24,2023-2024,null,59,916.4,17.9,null,16403.56,DLNG SBI FAR,14/04/2023,81.825,null,1342221.30,CST 2%,26844.43,1369065.73,1369065.73,null,null,null,null,null,null,null,113,28/04/2023,null,null
MINDA&CT001/23-24,2023-2024,null,52,585.42,22.0,null,12879.24,DLNG SBI FAR,14/04/2023,81.825,null,1053843.81,VAT 6%,63230.63,1117074.44,1117074.44,null,null,null,null,null,null,null,113,28/04/2023,null,null
MINDA&CT006/23-24,2023-2024,null,57,877.24,22.0,null,19299.28,DLNG SBI FAR,14/04/2023,81.825,null,1579163.59,VAT 6%,94749.82,1673913.41,1673913.41,null,null,null,null,null,null,null,113,28/04/2023,null,null
MINDA&CT010/23-24,2023-2024,null,61,587.48,22.0,null,12924.56,DLNG SBI FAR,14/04/2023,81.825,null,1057552.12,VAT 6%,63453.13,1121005.25,1121005.25,null,null,null,null,null,null,null,113,28/04/2023,null,null
MINDA&DT005/23-24,2023-2024,null,953,882.38,18.25,null,16103.44,DLNG SBI FAR,13/10/2023,83.285,null,1341175.00,VAT 6%,80470.50,1421645.50,1421645.50,null,null,null,null,null,null,null,113,08/11/2023,null,null
MINDA&DT001/24-25,2024-2025,null,484,876.74,10.8,null,9468.79,DLNG SBI FAR,29/06/2024,83.425,null,789933.81,VAT 6%,47396.03,837329.84,837329.84,null,null,null,null,null,null,null,113,12/07/2024,null,null
MINDA&DT003/24-25,2024-2025,null,1001,574.56,13.6,null,7814.02,DLNG SBI FAR,31/10/2024,84.105,null,657198.15,VAT 6%,39431.89,840053.44,840053.44,null,null,null,null,null,null,null,46,29/11/2024,null,null
LEIPL&DT002/23-24,2023-2024,null,379,447.11,12.2,null,5454.74,DLNG SBI FAR,31/07/2023,82.245,null,448625.09,VAT 15%,67293.76,532622.96,532622.96,null,null,null,null,null,null,null,113,04/08/2023,null,null
LEIPL&DT004/23-24,2023-2024,null,392,441.05,12.2,null,5380.81,DLNG SBI FAR,31/07/2023,82.245,null,442544.72,VAT 15%,66381.71,525403.95,525403.95,null,null,null,.1,null,null,null,113,07/08/2023,null,null
LEIPL&CT013/23-24,2023-2024,null,614,431.4,12.2,null,5263.08,DLNG SBI FAR,31/08/2023,82.675,null,435125.14,VAT 15%,65268.77,674912.43,674912.43,null,null,null,null,null,null,null,113,07/09/2023,null,null
SCHOTT&CT001/21-22,2021-2022,null,114,0.0,7.4,null,0.00,DLNG SBI FAR,30/04/2021,74.175,null,0.00,VAT 6%,0.00,0.00,0.00,null,null,null,null,null,null,null,23,12/05/2021,null,null
EXXARO&CT002/23-24,2023-2024,null,53,906.27,14.0,null,12687.78,DLNG SBI FAR,14/04/2023,81.825,null,1038177.60,VAT 6%,62290.66,1100468.26,1100468.26,null,null,null,null,null,null,null,113,28/04/2023,null,null
EXXARO&CT005/23-24,2023-2024,null,56,735.61,14.0,null,10298.54,DLNG SBI FAR,14/04/2023,81.825,null,842678.04,VAT 6%,50560.68,893238.72,893238.72,null,null,null,null,null,null,null,113,28/04/2023,null,null
EXXARO&CT007/23-24,2023-2024,null,58,905.04,14.0,null,12670.56,DLNG SBI FAR,14/04/2023,81.825,null,1036768.57,VAT 6%,62206.11,1098974.68,1098974.68,null,null,null,null,null,null,null,113,28/04/2023,null,null
EXXARO&CT011/23-24,2023-2024,null,62,734.12,14.0,null,10277.68,DLNG SBI FAR,14/04/2023,81.825,null,840971.17,VAT 6%,50458.27,891429.44,891429.44,null,null,null,null,null,null,null,113,28/04/2023,null,null
KAJARIA&CT002/21-22,2021-2022,null,338,823.12,10.0,null,8231.20,DLNG SBI FAR,14/10/2021,75.305,null,619850.52,CST 15%,92977.58,712828.10,712828.10,null,null,null,null,null,null,null,113,25/10/2021,null,null
KAJARIA&CT003/21-22,2021-2022,null,421,0.0,33.5394,null,0.00,DLNG SBI FAR,30/11/2021,74.965,null,0.00,CST 15%,0.00,0.00,0.00,null,null,null,null,null,null,null,113,02/12/2021,null,null
JKPAPER&CT005/21-22,2021-2022,null,720,759.93,26.0,null,19758.18,DLNG SBI FAR,15/03/2022,76.425,null,1510018.91,VAT 6%,90601.13,1600620.04,1600620.04,null,null,null,null,null,null,null,113,05/04/2022,null,null
JKPAPER&CT001/22-23,2022-2023,null,19,774.38,26.0,null,20133.88,DLNG SBI FAR,31/03/2022,75.745,null,1525040.74,VAT 6%,91502.44,1616543.18,1616543.18,null,null,null,null,null,null,null,113,27/04/2022,null,null
JKPAPER&CT003/22-23,2022-2023,null,32,767.91,26.0,null,19965.66,DLNG SBI FAR,31/03/2022,75.745,null,1512298.92,VAT 6%,90737.94,1603036.86,1603036.86,null,null,null,null,null,null,null,113,27/04/2022,null,null
JKPAPER&DT003/22-23,2022-2023,null,641,856.28,21.5,null,18410.02,DLNG SBI FAR,15/11/2022,81.225,null,1495353.87,VAT 6%,89721.23,1585075.10,1585075.10,null,null,null,null,null,null,null,113,05/12/2022,null,null
JKPAPER&CT003/23-24,2023-2024,null,54,822.96,14.7,null,12097.51,DLNG SBI FAR,14/04/2023,81.825,null,989878.76,VAT 6%,59392.73,1049271.49,1049271.49,null,null,null,null,null,null,null,113,28/04/2023,null,null
VIRGO&CT002/22-23,2022-2023,null,24,812.11,26.0,null,21114.86,DLNG SBI FAR,31/03/2022,75.745,null,1599345.07,VAT 6%,95960.70,1695305.77,1695305.77,null,null,null,null,null,null,null,113,27/04/2022,null,null
VIRGO&CT004/23-24,2023-2024,null,55,881.32,15.4,null,13572.33,DLNG SBI FAR,14/04/2023,81.825,null,1110555.90,VAT 6%,66633.35,1177189.25,1177189.25,null,null,null,null,null,null,null,113,28/04/2023,null,null
VIRGO&CT009/23-24,2023-2024,null,60,900.92,15.4,null,13874.17,DLNG SBI FAR,14/04/2023,81.825,null,1135253.96,VAT 6%,68115.24,1203369.20,1203369.20,null,null,null,null,null,null,null,113,28/04/2023,null,null
