COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,PLANT_SEQ,BU_SEQ,BASE,GCV,NCV,GAS_DT,FILL_STATION_CD,BAY_CD,SLOT_START_TIME,SLOT_END_TIME,GEN_DT,GEN_TIME,NOM_REV_NO,TRUCK_TRANS_CD,TRUCK_CD,LOAD_START_DT,LOAD_START_TIME,LOAD_END_DT,LOAD_END_TIME,NEXT_AVAIL_HRS,QTY_MMBTU,QTY_MT,GCV_MMBTU,ENT_BY,ENT_DT
SGIPL,S-1-0-1-0,35-1-0-1-0-1-5,null,null,null,S,5,null,GCV,9802.8,8831.35,18/03/2021 00:00:00,1,1,NCA-17,null,19/03/2021 00:00:00,00:00,4,NCA,17,18/03/2021 00:00:00,00:00,18/03/2021 00:00:00,00:00,24,776.1884,15.00,51.74589,68,18/03/2021 00:00:00
SGIPL,S-1-0-1-0,35-1-0-1-0-1-5,null,null,null,S,5,null,GCV,9802.8,8831.35,24/03/2021 00:00:00,1,1,NCA-23,null,25/03/2021 00:00:00,00:00,1,NCA,23,24/03/2021 00:00:00,00:00,24/03/2021 00:00:00,00:00,24,760.0941,14.67,51.81282,72,24/03/2021 00:00:00
SGIPL,S-1-0-1-0,35-1-0-1-0-1-5,null,null,null,S,5,null,GCV,9802.8,8831.35,28/03/2021 00:00:00,1,1,NCA-17,null,29/03/2021 00:00:00,00:00,1,NCA,17,28/03/2021 00:00:00,00:00,28/03/2021 00:00:00,00:00,24,761.907,14.69,51.8657,71,28/03/2021 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,16/05/2022 00:00:00,1,1,GPLPL-43,null,17/05/2022 00:00:00,00:00,1,GPLPL,43,16/05/2022 00:00:00,00:00,16/05/2022 00:00:00,00:00,24,829.521,16.00,51.84507,133,16/05/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,30/05/2022 00:00:00,1,1,GPLPL-43,null,31/05/2022 00:00:00,00:00,1,GPLPL,43,30/05/2022 00:00:00,00:00,30/05/2022 00:00:00,00:00,24,837.492,16.14,51.8892,66,30/05/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,04/06/2022 00:00:00,1,1,GPLPL-42,null,05/06/2022 00:00:00,00:00,1,GPLPL,42,04/06/2022 00:00:00,00:00,04/06/2022 00:00:00,00:00,24,833.629,16.12,51.71393,132,04/06/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,05/06/2022 00:00:00,1,1,GPLPL-43,null,06/06/2022 00:00:00,00:00,1,GPLPL,43,05/06/2022 00:00:00,00:00,05/06/2022 00:00:00,00:00,24,835.458,16.11,51.85957,132,05/06/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,08/04/2022 00:00:00,1,1,GPLPL-42,null,09/04/2022 00:00:00,00:00,1,GPLPL,42,08/04/2022 00:00:00,00:00,08/04/2022 00:00:00,00:00,24,833.878,16.11,51.76151,133,08/04/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,24/04/2022 00:00:00,1,1,GPLPL-43,null,25/04/2022 00:00:00,00:00,1,GPLPL,43,24/04/2022 00:00:00,00:00,24/04/2022 00:00:00,00:00,24,819.394,15.82,51.79481,54,24/04/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,19/05/2022 00:00:00,1,1,GPLPL-42,null,20/05/2022 00:00:00,00:00,1,GPLPL,42,19/05/2022 00:00:00,00:00,19/05/2022 00:00:00,00:00,24,842.563,16.24,51.882,132,19/05/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,27/05/2022 00:00:00,1,1,GPLPL-42,null,28/05/2022 00:00:00,00:00,1,GPLPL,42,27/05/2022 00:00:00,00:00,27/05/2022 00:00:00,00:00,24,840.302,16.19,51.90255,54,27/05/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,12/06/2022 00:00:00,1,1,GPLPL-43,null,13/06/2022 00:00:00,00:00,1,GPLPL,43,12/06/2022 00:00:00,00:00,12/06/2022 00:00:00,00:00,24,837.826,16.11,52.00655,132,12/06/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,16/06/2022 00:00:00,1,1,GPLPL-42,null,17/06/2022 00:00:00,00:00,1,GPLPL,42,16/06/2022 00:00:00,00:00,16/06/2022 00:00:00,00:00,24,834.486,16.04,52.02532,71,16/06/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,09/04/2022 00:00:00,1,1,GPLPL-43,null,10/04/2022 00:00:00,00:00,1,GPLPL,43,09/04/2022 00:00:00,00:00,09/04/2022 00:00:00,00:00,24,838.805,16.22,51.71423,132,09/04/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,28/04/2022 00:00:00,1,1,GPLPL-42,null,29/04/2022 00:00:00,00:00,1,GPLPL,42,28/04/2022 00:00:00,00:00,28/04/2022 00:00:00,00:00,24,837.95,16.25,51.56622,87,28/04/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,05/04/2022 00:00:00,1,1,GPLPL-43,null,06/04/2022 00:00:00,00:00,1,GPLPL,43,05/04/2022 00:00:00,00:00,05/04/2022 00:00:00,00:00,24,832.653,16.10,51.71757,61,05/04/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,13/04/2022 00:00:00,1,1,GPLPL-43,null,14/04/2022 00:00:00,00:00,1,GPLPL,43,13/04/2022 00:00:00,00:00,13/04/2022 00:00:00,00:00,24,831.302,16.07,51.73006,60,13/04/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,26/04/2022 00:00:00,1,1,GPLPL-43,null,27/04/2022 00:00:00,00:00,1,GPLPL,43,26/04/2022 00:00:00,00:00,26/04/2022 00:00:00,00:00,24,833.083,16.08,51.808678,132,26/04/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,29/04/2022 00:00:00,1,1,GPLPL-42,null,30/04/2022 00:00:00,00:00,1,GPLPL,42,29/04/2022 00:00:00,00:00,29/04/2022 00:00:00,00:00,24,829.441,16.01,51.8077,133,29/04/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,11/05/2022 00:00:00,1,1,GPLPL-42,null,12/05/2022 00:00:00,00:00,1,GPLPL,42,11/05/2022 00:00:00,00:00,11/05/2022 00:00:00,00:00,24,841.08,16.13,52.14382,66,11/05/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,01/06/2022 00:00:00,1,1,GPLPL-42,null,02/06/2022 00:00:00,00:00,1,GPLPL,42,01/06/2022 00:00:00,00:00,01/06/2022 00:00:00,00:00,24,835.859,16.19,51.62811,60,01/06/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,05/05/2022 00:00:00,1,1,GPLPL-43,null,06/05/2022 00:00:00,00:00,1,GPLPL,43,05/05/2022 00:00:00,00:00,05/05/2022 00:00:00,00:00,24,831.6055,16.05,51.81343,52,05/05/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,07/06/2022 00:00:00,1,1,GPLPL-43,null,08/06/2022 00:00:00,00:00,1,GPLPL,43,07/06/2022 00:00:00,00:00,07/06/2022 00:00:00,00:00,24,842.088,16.22,51.91667,87,07/06/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,09/06/2022 00:00:00,1,1,GPLPL-43,null,10/06/2022 00:00:00,00:00,1,GPLPL,43,09/06/2022 00:00:00,00:00,09/06/2022 00:00:00,00:00,24,842.1507,16.22,51.92051,52,09/06/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,14/06/2022 00:00:00,1,1,GPLPL-43,null,15/06/2022 00:00:00,00:00,1,GPLPL,43,14/06/2022 00:00:00,00:00,14/06/2022 00:00:00,00:00,24,837.005,16.09,52.02017,74,14/06/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,17/04/2022 00:00:00,1,1,GPLPL-42,null,18/04/2022 00:00:00,00:00,3,GPLPL,42,17/04/2022 00:00:00,00:00,17/04/2022 00:00:00,00:00,24,755.84,14.62,51.69907,56,17/04/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,07/05/2022 00:00:00,1,1,GPLPL-42,null,08/05/2022 00:00:00,00:00,1,GPLPL,42,07/05/2022 00:00:00,00:00,07/05/2022 00:00:00,00:00,24,847.34,16.25,52.14434,87,07/05/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,09/05/2022 00:00:00,1,1,GPLPL-42,null,10/05/2022 00:00:00,00:00,1,GPLPL,42,09/05/2022 00:00:00,00:00,09/05/2022 00:00:00,00:00,24,843.704,16.18,52.14489,133,09/05/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,14/05/2022 00:00:00,1,1,GPLPL-42,null,15/05/2022 00:00:00,00:00,1,GPLPL,42,14/05/2022 00:00:00,00:00,14/05/2022 00:00:00,00:00,24,881.043,17.00,51.82604,87,14/05/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,25/05/2022 00:00:00,1,1,GPLPL-43,null,26/05/2022 00:00:00,00:00,1,GPLPL,43,25/05/2022 00:00:00,00:00,25/05/2022 00:00:00,00:00,24,830.467,16.01,51.87175,56,25/05/2022 00:00:00
SGIPL,S-1-0-3-0,35-1-0-3-0-3-5,null,null,null,S,5,null,GCV,9802.8,8831.35,29/05/2022 00:00:00,1,1,GPLPL-43,null,30/05/2022 00:00:00,00:00,1,GPLPL,43,29/05/2022 00:00:00,00:00,29/05/2022 00:00:00,00:00,24,837.004,16.13,51.89111,66,29/05/2022 00:00:00
