COMPANY_CD,FINANCIAL_YEAR,BU_STATE_TIN,INVOICE_SEQ,INVOICE_TYPE,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT
AMNS,2022-2023,108,L00108/22-23,DI,O,INVOICE-E-2022-2023-108-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,24/09/2022 00:00:00,null,null,null
AMNS,2022-2023,108,L00108/22-23,DI,D,INVOICE-E-2022-2023-108-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,24/09/2022 00:00:00,null,null,null
AMNS,2022-2023,139,L00139/22-23,DI,O,INVOICE-E-2022-2023-139-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,01/11/2022 00:00:00,null,null,null
AMNS,2022-2023,159,L00159/22-23,DI,O,INVOICE-E-2022-2023-159-1,null,null,null,null,Y,null,19/12/2022 00:00:00,null,null,null
AMNS,2022-2023,159,L00159/22-23,DI,D,INVOICE-E-2022-2023-159-1,null,null,null,null,Y,null,19/12/2022 00:00:00,null,null,null
AMNS,2022-2023,165,L00165/22-23,DI,O,INVOICE-E-2022-2023-165-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,04/01/2023 00:00:00,null,null,null
AMNS,2022-2023,165,L00165/22-23,DI,D,INVOICE-E-2022-2023-165-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,04/01/2023 00:00:00,null,null,null
AMNS,2022-2023,169,L00169/22-23,DI,O,INVOICE-E-2022-2023-169-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,01/02/2023 00:00:00,null,null,null
AMNS,2022-2023,169,L00169/22-23,DI,D,INVOICE-E-2022-2023-169-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,01/02/2023 00:00:00,null,null,null
AMNS,2022-2023,175,L00175/22-23,DI,O,INVOICE-E-2022-2023-175-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,03/03/2023 00:00:00,null,null,null
AMNS,2022-2023,175,L00175/22-23,DI,D,INVOICE-E-2022-2023-175-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,03/03/2023 00:00:00,null,null,null
AMNS,2022-2023,176,L00176/22-23,DI,O,INVOICE-E-2022-2023-176-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,03/03/2023 00:00:00,null,null,null
AMNS,2022-2023,176,L00176/22-23,DI,D,INVOICE-E-2022-2023-176-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,03/03/2023 00:00:00,null,null,null
AMNS,2022-2023,183,L00183/22-23,DI,O,INVOICE-E-2022-2023-183-1.pdf,null,null,null,null,Y,ROHIT MALHOTRA,17/03/2023 00:00:00,null,null,null
AMNS,2022-2023,183,L00183/22-23,DI,D,INVOICE-E-2022-2023-183-1.pdf,null,null,null,null,Y,ROHIT MALHOTRA,17/03/2023 00:00:00,null,null,null
AMNS,2023-2024,3,L00003/23-24,DI,O,INVOICE-E-2023-2024-3-1.pdf,null,null,null,null,Y,NAKUL ASHOK RAHEJA,17/04/2023 00:00:00,null,null,null
