COMPANY_CD,COUNTERPARTY_CD,FINANCIAL_YEAR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_STATE_TIN,BU_CONTACT_PERSON_CD,PLANT_SEQ,CONTACT_PERSON_CD,INVOICE_SEQ,INVOICE_NO,INVOICE_DT,FREQ,PERIOD_START_DT,PERIOD_END_DT,DUE_DT,ALLOC_QTY,SALE_PRICE,SALE_PRICE_UNIT,SALE_AMT,EXCHG_RATE_CD,EXCHG_RATE_DT,EXCHG_RATE_VALUE,INVOICE_RAISED_IN,GROSS_AMT,TAX_AMT,TAX_STRUCT_CD,TAX_EFF_DT,INVOICE_AMT,NET_PAYABLE_AMT,INV_STATUS,REMARK_1,REMARK_2,CHECKED_FLAG,CHECKED_BY,CHECKED_DT,AUTHORIZED_FLAG,AUTHORIZED_BY,AUTHORIZED_DT,APPROVED_FLAG,APPROVED_BY,APPROVED_DT,ENT_BY,ENT_DT,EXCHG_RATE_TYPE,MODIFY_BY,MODIFY_DT,TCS_TDS,TCS_AMT,TCS_FACTOR,INVOICE_ID_SEQ,PAY_RECV_AMT,PAY_RECV_DT,PAY_INSERT_BY,PAY_INSERT_DT,PAY_UPDATE_BY,PAY_UPDATE_DT,PAY_REMARK,TDS_GROSS_PERCENT,TDS_GROSS_AMT,TDS_TAX_PERCENT,TDS_TAX_AMT,PDF_INV_DTL,PRINT_BY_ORI,PRINT_DT_ORI,PRINT_BY_TRI,PRINT_DT_TRI,PRINT_BY_DUP,PRINT_DT_DUP,TRANSPORTATION_CHARGE,TRANSPORTATION_AMOUNT,SAP_APPROVAL,SAP_APPROVED_BY,SAP_APPROVED_DT,TCS_STRUCT_CD,TCS_EFF_DT,TDS_STRUCT_CD,TDS_EFF_DT,MARKET_MARGIN,OTHER_CHARGES,MARKET_MARGIN_AMT,OTHER_CHARGES_AMT,CARGO_NO
RIL,1,2011-2012,2,0,28,1,S,1,null,0,3,30,17,null,16/07/2011 00:00:00,1,01/07/2011 00:00:00,15/07/2011 00:00:00,21/07/2011 00:00:00,1136265.64,13.92,2,15816817.71,SBI RATE BUY SELL,15/07/2011 00:00:00,44.495,1,703769303.95,105565395.59,7,null,809334699.54,809334699.54,null,1) Gas means any hydrocarbons or mixture of hydrocarbons and other gases consisting primarily of methane  which at (15) Degree Celsius atmospheric pressure are or is predominantly in gaseous state.,2) Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,Y,22,16/07/2011 00:00:00,null,null,null,Y,13,16/07/2011 00:00:00,6,16/07/2011 00:00:00,D,null,null,NA,null,null,17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RIL,1,2011-2012,2,0,28,1,S,1,null,0,3,30,20,null,31/07/2011 00:00:00,2,16/07/2011 00:00:00,30/07/2011 00:00:00,05/08/2011 00:00:00,1208240.55,13.92,2,16818708.46,SBI RATE BUY SELL,29/07/2011 00:00:00,44.09,1,741536855.83,111230528.38,7,null,852767384.21,852767384.21,null,1) Gas means any hydrocarbons or mixture of hydrocarbons and other gases consisting primarily of methane  which at (15) Degree Celsius atmospheric pressure are or is predominantly in gaseous state.,2) Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,Y,22,01/08/2011 00:00:00,null,null,null,Y,13,01/08/2011 00:00:00,6,01/08/2011 00:00:00,D,null,null,NA,null,null,20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RIL,1,2011-2012,2,0,28,1,S,1,null,0,4,33,18,null,16/07/2011 00:00:00,1,01/07/2011 00:00:00,15/07/2011 00:00:00,21/07/2011 00:00:00,390.17,13.92,2,5431.17,SBI RATE BUY SELL,15/07/2011 00:00:00,44.495,1,241659.75,36248.96,7,null,277908.71,277908.71,null,Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,Subject to the terms and conditions of the Framework Sales Agreement executed on 24th April 2009 and Supply Notice executed on 24th May 2011between Hazira LNG Private Limited and Reliance Industries Limited,Y,22,16/07/2011 00:00:00,null,null,null,Y,13,16/07/2011 00:00:00,22,16/07/2011 00:00:00,D,null,null,NA,null,null,18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RIL,1,2011-2012,2,0,28,1,S,1,null,0,6,31,21,null,31/07/2011 00:00:00,0,16/07/2011 00:00:00,20/07/2011 00:00:00,05/08/2011 00:00:00,403070.38,13.92,2,5610739.69,SBI RATE BUY SELL,29/07/2011 00:00:00,44.09,1,247377512.91,0,10,null,247377512.91,247377512.91,null,1) Gas means any hydrocarbons or mixture of hydrocarbons and other gases consisting primarily of methane  which at (15) Degree Celsius atmospheric pressure are or is predominantly in gaseous state.,2) Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,Y,22,01/08/2011 00:00:00,null,null,null,Y,13,01/08/2011 00:00:00,6,01/08/2011 00:00:00,D,null,null,NA,null,null,21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RIL,1,2014-2015,2,1,44,0,S,1,null,0,6,31,64,null,12/02/2015 00:00:00,0,01/02/2015 00:00:00,11/02/2015 00:00:00,18/02/2015 00:00:00,583500,8.1,2,4726350,SBI RATE BUY SELL,11/02/2015 00:00:00,62.27,1,294309814.5,0,10,null,294309814.5,294309814.5,null,Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,Subject to the terms and conditions of the Framework Gas Sales Agreement executed on 24th April 2009 and Supply Notice executed on 31st January 2015between Hazira LNG Private Limited and Reliance Industries Limited,Y,22,12/02/2015 00:00:00,null,null,null,Y,26,12/02/2015 00:00:00,23,12/02/2015 00:00:00,D,null,null,NA,null,null,64,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RIL,1,2014-2015,2,1,39,0,S,1,null,0,6,31,7,null,24/06/2014 00:00:00,0,16/06/2014 00:00:00,23/06/2014 00:00:00,28/06/2014 00:00:00,311200,14.9,2,4636880,SBI RATE BUY SELL,23/06/2014 00:00:00,60.12,1,278769225.6,0,10,null,278769225.6,278769225.6,null,Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,Subject to the terms and conditions of the Framework Sales Agreement executed on 24th April 2009 and Supply Notice executed on 6th June 2014between Hazira LNG Private Limited and Reliance Industries Limited,Y,22,24/06/2014 00:00:00,null,null,null,Y,26,24/06/2014 00:00:00,23,24/06/2014 00:00:00,D,null,null,NA,null,null,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RIL,1,2014-2015,2,1,42,0,S,1,null,0,6,31,10,null,31/07/2014 00:00:00,0,25/07/2014 00:00:00,31/07/2014 00:00:00,06/08/2014 00:00:00,255051.92,11.8,2,3009612.66,SBI RATE BUY SELL,31/07/2014 00:00:00,60.22,1,181238874.14,0,10,null,181238874.14,181238874.14,null,Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,Subject to the terms and conditions of the Framework Sales Agreement executed on 24th April 2009 and Supply Notice executed on 24th July 2014between Hazira LNG Private Limited and Reliance Industries Limited,Y,22,01/08/2014 00:00:00,null,null,null,Y,26,01/08/2014 00:00:00,23,01/08/2014 00:00:00,D,null,null,NA,null,null,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RIL,1,2014-2015,2,1,42,0,S,1,null,0,6,31,16,null,19/08/2014 00:00:00,1,01/08/2014 00:00:00,15/08/2014 00:00:00,23/08/2014 00:00:00,475107.3,11.8,2,5606266.14,SBI RATE BUY SELL,14/08/2014 00:00:00,61.07,1,342374673.17,0,10,null,342374673.17,342374673.17,null,Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,Subject to the terms and conditions of the Framework Sales Agreement executed on 24th April 2009 and Supply Notice executed on 24th July 2014between Hazira LNG Private Limited and Reliance Industries Limited,Y,22,19/08/2014 00:00:00,null,null,null,Y,26,19/08/2014 00:00:00,23,18/08/2014 00:00:00,D,null,null,NA,null,null,16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RIL,1,2014-2015,2,1,42,0,S,1,null,0,6,31,19,null,23/08/2014 00:00:00,0,16/08/2014 00:00:00,22/08/2014 00:00:00,28/08/2014 00:00:00,631340.78,11.8,2,7449821.2,SBI RATE BUY SELL,22/08/2014 00:00:00,60.47,1,450490688.21,0,10,null,450490688.21,450490688.21,null,Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,Subject to the terms and conditions of the Framework Sales Agreement executed on 24th April 2009 and Supply Notice executed on 24th July 2014between Hazira LNG Private Limited and Reliance Industries Limited,Y,22,23/08/2014 00:00:00,null,null,null,Y,26,23/08/2014 00:00:00,23,23/08/2014 00:00:00,D,null,null,NA,null,null,19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RIL,1,2013-2014,2,1,35,0,S,1,null,0,6,31,25,null,17/10/2013 00:00:00,0,04/10/2013 00:00:00,15/10/2013 00:00:00,22/10/2013 00:00:00,664000,16.9,2,11221600,SBI RATE BUY SELL,03/10/2013 00:00:00,61.99,1,695626984,0,10,null,695626984,695626984,null,Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,Subject to the terms and conditions of the Framework Sales Agreement executed on 24th April 2009 and Supply Notice executed on 3rd October 2013between Hazira LNG Private Limited and Reliance Industries Limited,Y,22,16/10/2013 00:00:00,null,null,null,Y,14,16/10/2013 00:00:00,23,16/10/2013 00:00:00,D,null,null,NA,null,null,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RIL,1,2014-2015,2,1,38,0,S,1,null,0,6,31,2,null,16/05/2014 00:00:00,0,08/05/2014 00:00:00,15/05/2014 00:00:00,21/05/2014 00:00:00,477069.48,15.4,2,7346869.99,SBI RATE BUY SELL,15/05/2014 00:00:00,59.57,1,437653045.42,0,10,null,437653045.42,437653045.42,null,Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,Subject to the terms and conditions of the Framework Sales Agreement executed on 24th April 2009 and Supply Notice executed on 6th May 2014between Hazira LNG Private Limited and Reliance Industries Limited,Y,22,16/05/2014 00:00:00,null,null,null,Y,14,16/05/2014 00:00:00,23,16/05/2014 00:00:00,D,null,null,NA,null,null,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RIL,1,2014-2015,2,1,38,0,S,1,null,0,6,31,3,null,31/05/2014 00:00:00,0,16/05/2014 00:00:00,26/05/2014 00:00:00,06/06/2014 00:00:00,106430.52,15.4,2,1639030.01,SBI RATE BUY SELL,30/05/2014 00:00:00,58.97,1,96653599.57,0,10,null,96653599.57,96653599.57,null,Please pay the invoiced amount by wire transfer at our Bank Account : Standard Chartered Bank (Ahmedabad Branch) - A/C No: 233-0-505333-1,Subject to the terms and conditions of the Framework Gas Sales Agreement executed on 24th April 2009 and Supply Notice executed on 6th May 2014between Hazira LNG Private Limited and Reliance Industries Limited,Y,22,02/06/2014 00:00:00,null,null,null,Y,26,02/06/2014 00:00:00,23,02/06/2014 00:00:00,D,null,null,NA,null,null,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
