COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,LOG_SEQ_NO,LOG_BY,LOG_DT,CONT_NAME,CONT_REF_NO,TRADE_REF_NO,SIGNING_DT,SIGNING_TIME,START_DT,END_DT,AGMT_BASE,AGMT_TYPE,TCQ,DCQ,VARIABLE_DCQ,QUANTITY_UNIT,RATE,RATE_UNIT,VARIABLE_RATE,POST_MARGIN,TRANSPORTATION_CHARGE,BUYER_NOM_FLAG,BUYER_MONTH_NOM,BUYER_WEEK_NOM,BUYER_DAILY_NOM,SELLER_NOM_FLAG,SELLER_MONTH_NOM,SELLER_WEEK_NOM,SELLER_DAILY_NOM,DAY_DEF_FLAG,DAY_START_TIME,DAY_END_TIME,MDCQ_FLAG,MDCQ_PERCENTAGE,FCC_FLAG,FCC_BY,FCC_DATE,REMARK,RENEWAL_DT,ENT_DT,ENT_BY,MODIFY_DT,MODIFY_BY,CONT_STATUS,IS_ALLOCATED,DDA_DT,DDA_TIME,BUYER_FORNGT_NOM,SELLER_FORNGT_NOM,TXN_CHARGE,BUYER_NOM_CUTOFF,TXN_UNIT,TCQ_SIGN,TCQ_REQUEST_FLAG,TCQ_REQUEST_CLOSE,TCQ_REQUEST_QTY,PRICE_REQUEST_FLAG,PRICE_APPROVE_FLAG,CHANGE_DATE_REQ,MEASUREMENT,MEASUREMENT_CLAUSE,MEAS_STANDARD,MEAS_TEMPERATURE,PRESSURE_MIN_BAR,PRESSURE_MAX_BAR,OFF_SPEC_GAS,OFF_SPEC_GAS_CLAUSE,SPEC_GAS_ENERGY_BASE,SPEC_GAS_MIN_ENERGY,SPEC_GAS_MAX_ENERGY,LIABILITY,LIABILITY_CLAUSE,BILLING_FLAG,BILLING_CLAUSE,TERMINATE_FLAG,TERMINATE_CLAUSE,TERMINATE_PLANED,TERMINATE_FORCE,SF_GEN_DT,CLOSE_EFF_DT,CLOSURE_REQUEST_FLAG,CLOSURE_ALLOC_QTY,CLOSURE_REMARK,ADV_ADJUST
RIL,1,3,0,1,0,S,1,18,01/08/2020 11:08:24,null,null,null,31/07/2020 00:00:00,null,01/08/2020 00:00:00,15/08/2020 00:00:00,X,0,116700,7780,null,1,3.5,2,null,15,null,Y,N,N,Y,Y,N,N,Y,Y,06:00,06:00,Y,105,null,null,null,100% Take or Pay   Ex- Terminal Sales  Open Credit,null,01/08/2020 11:08:24,18,null,null,Y,Y,null,null,null,null,4,null,1,null,null,null,null,null,null,null,N,null,null,null,null,null,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
RIL,1,3,0,2,0,S,1,18,02/06/2021 22:48:51,null,null,null,02/06/2021 00:00:00,null,03/06/2021 00:00:00,08/06/2021 00:00:00,X,0,389000,64833,null,1,6.8,2,null,15,null,Y,N,N,Y,Y,N,N,Y,Y,06:00,06:00,Y,105,null,null,null,Firm Supply  100% Take or Pay,null,02/06/2021 22:48:51,18,null,null,Y,Y,null,null,null,null,4,null,1,null,null,null,null,null,null,null,N,null,null,null,null,null,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
RIL,1,3,0,2,0,S,2,18,02/06/2021 22:56:35,null,null,null,02/06/2021 00:00:00,null,03/06/2021 00:00:00,08/06/2021 00:00:00,X,0,389000,64833,null,1,6.8,2,null,15,null,Y,N,N,Y,Y,N,N,Y,Y,06:00,06:00,Y,105,null,null,null,Firm Supply  100% Take or Pay,null,02/06/2021 22:56:35,18,null,null,Y,Y,null,null,null,null,4,null,1,null,null,null,null,null,null,null,N,null,null,null,null,null,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
RIL,1,3,0,2,0,S,3,18,02/06/2021 23:13:27,null,null,null,02/06/2021 00:00:00,null,03/06/2021 00:00:00,08/06/2021 00:00:00,X,0,389000,64833,null,1,6.8,2,null,15,null,Y,N,N,Y,Y,N,N,Y,Y,06:00,06:00,Y,105,Y,41,02/06/2021 00:00:00,Firm Supply  100% Take or Pay,null,02/06/2021 23:13:27,18,null,null,Y,Y,null,null,null,null,4,null,1,null,null,null,null,null,null,null,N,null,null,null,null,null,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
RIL,1,3,0,3,0,S,5,18,10/10/2024 15:37:16,null,null,null,09/10/2024 00:00:00,00:00,01/11/2024 00:00:00,30/11/2024 00:00:00,X,0,0,0,null,1,10.363,2,null,15,null,Y,N,N,Y,Y,N,N,Y,Y,06:00,06:00,Y,105,null,null,null,null,null,10/10/2024 15:37:16,18,null,null,Y,Y,09/10/2024 00:00:00,null,N,N,4,14:00,1,null,null,null,null,null,null,null,N,null,null,null,null,null,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
RIL,1,3,0,3,0,S,6,154,07/11/2024 14:12:19,null,null,null,09/10/2024 00:00:00,00:00,01/11/2024 00:00:00,31/12/2024 00:00:00,X,0,0,0,null,1,10.363,2,null,15,null,Y,N,N,Y,Y,N,N,Y,Y,06:00,06:00,Y,105,Y,153,10/10/2024 00:00:00,null,null,07/11/2024 14:12:19,154,null,null,Y,Y,09/10/2024 00:00:00,null,N,N,4,14:00,1,null,null,null,null,null,null,null,N,null,null,null,null,null,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
RIL,1,3,0,3,0,S,7,154,07/11/2024 14:12:37,null,null,null,09/10/2024 00:00:00,00:00,01/12/2024 00:00:00,31/12/2024 00:00:00,X,0,0,0,null,1,10.363,2,null,15,null,Y,N,N,Y,Y,N,N,Y,Y,06:00,06:00,Y,105,Y,153,10/10/2024 00:00:00,null,null,07/11/2024 14:12:37,154,null,null,Y,Y,09/10/2024 00:00:00,null,N,N,4,14:00,1,null,null,null,null,null,null,null,N,null,null,null,null,null,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
RIL,1,3,0,3,0,S,1,18,10/10/2024 11:11:24,null,null,null,09/10/2024 00:00:00,00:00,01/11/2024 00:00:00,30/11/2024 00:00:00,X,0,0,0,null,1,10.363,2,null,15,null,Y,N,N,Y,Y,N,N,Y,Y,06:00,06:00,Y,105,null,null,null,null,null,10/10/2024 11:11:24,18,null,null,Y,Y,09/10/2024 00:00:00,null,N,N,4,14:00,1,null,null,null,null,null,null,null,N,null,null,null,null,null,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
RIL,1,3,0,3,0,S,2,18,10/10/2024 11:34:53,null,null,null,09/10/2024 00:00:00,00:00,01/11/2024 00:00:00,30/11/2024 00:00:00,X,0,0,0,null,1,10.363,2,null,15,null,Y,N,N,Y,Y,N,N,Y,Y,06:00,06:00,Y,105,null,null,null,null,null,10/10/2024 11:34:53,18,null,null,Y,Y,09/10/2024 00:00:00,null,N,N,4,14:00,1,null,null,null,null,null,null,null,N,null,null,null,null,null,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
RIL,1,3,0,3,0,S,3,18,10/10/2024 11:36:22,null,null,null,09/10/2024 00:00:00,00:00,01/11/2024 00:00:00,30/11/2024 00:00:00,X,0,0,0,null,1,10.363,2,null,15,null,Y,N,N,Y,Y,N,N,Y,Y,06:00,06:00,Y,105,null,null,null,null,null,10/10/2024 11:36:22,18,null,null,Y,Y,09/10/2024 00:00:00,null,N,N,4,14:00,1,null,null,null,null,null,null,null,N,null,null,null,null,null,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
RIL,1,3,0,3,0,S,4,18,10/10/2024 11:37:35,null,null,null,09/10/2024 00:00:00,00:00,01/11/2024 00:00:00,30/11/2024 00:00:00,X,0,0,0,null,1,10.363,2,null,15,null,Y,N,N,Y,Y,N,N,Y,Y,06:00,06:00,Y,105,null,null,null,null,null,10/10/2024 11:37:35,18,null,null,Y,Y,09/10/2024 00:00:00,null,N,N,4,14:00,1,null,null,null,null,null,null,null,N,null,null,null,null,null,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
RIL,L-1-1-0,1,0,1,0,L,1,45,03/02/2020 11:05:26,null,L-1-1-0,null,31/01/2020 00:00:00,null,03/02/2020 00:00:00,31/03/2020 00:00:00,X,0,215635,13722,null,1,5.07,2,null,15,null,Y,N,Y,Y,Y,N,Y,Y,Y,06:00,06:00,N,null,null,null,null,Ex-Terminal Supplies,null,03/02/2020 11:05:26,45,null,null,Y,Y,null,null,null,null,4,null,1,null,null,null,null,null,null,null,N,null,null,null,null,null,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
RIL,L-1-1-0,1,0,1,0,L,2,6,03/02/2020 11:17:51,null,L-1-1-0,null,31/01/2020 00:00:00,null,03/02/2020 00:00:00,31/03/2020 00:00:00,X,0,215635,13722,null,1,5.07,2,null,15,null,Y,N,Y,Y,Y,N,Y,Y,Y,06:00,06:00,N,null,Y,41,03/02/2020 11:05:59,Ex-Terminal Supplies,null,03/02/2020 11:17:51,6,null,null,Y,Y,null,null,null,null,4,null,1,null,null,null,null,null,null,null,N,null,null,null,null,null,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
RIL,L-1-1-0,1,0,1,0,L,3,45,23/03/2020 16:14:42,null,L-1-1-0,null,31/01/2020 00:00:00,null,03/02/2020 00:00:00,19/03/2020 00:00:00,X,0,215635,13722,null,1,5.07,2,null,15,null,Y,N,Y,Y,Y,N,Y,Y,Y,06:00,06:00,N,null,Y,41,03/02/2020 11:05:59,Ex-Terminal Supplies,null,23/03/2020 16:14:42,45,null,null,Y,Y,null,null,null,null,4,null,1,null,null,null,null,null,null,null,N,null,null,null,null,null,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
RIL,L-2-1-0,2,0,1,0,L,1,6,30/04/2020 16:29:42,null,L-2-1-0,null,26/04/2020 00:00:00,null,27/04/2020 00:00:00,31/05/2020 00:00:00,X,0,201911,7670,null,1,3.53,2,null,15,null,Y,Y,Y,Y,Y,Y,N,Y,Y,06:00,06:00,Y,110,Y,41,27/04/2020 12:04:06,null,null,30/04/2020 16:29:42,6,null,null,Y,Y,null,null,null,null,4,null,1,null,null,null,null,null,null,null,N,null,null,null,null,null,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
RIL,L-5-1-0,5,0,1,0,L,1,45,14/12/2020 11:08:31,null,L-5-1-0,null,14/12/2020 00:00:00,null,14/12/2020 00:00:00,31/12/2020 00:00:00,X,0,41000,8100,null,1,9.43,2,null,15,null,Y,Y,Y,Y,Y,Y,Y,Y,Y,06:00,06:00,Y,100,null,null,null,null,null,14/12/2020 11:08:31,45,null,null,Y,Y,null,null,null,null,4,null,1,null,null,null,null,null,null,null,N,null,null,null,null,null,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
MGL,2,6,0,1,0,S,2,18,01/05/2019 11:30:27,null,null,null,30/04/2019 00:00:00,null,01/05/2019 00:00:00,03/06/2019 00:00:00,X,0,680000,20000,null,1,5.81,2,null,15,null,Y,N,N,Y,Y,N,N,Y,Y,06:00,06:00,Y,105,null,null,null,RE basis  No Take or Pay  no failure to supply,null,01/05/2019 11:30:27,18,null,null,Y,Y,null,null,null,null,4,null,1,null,null,null,null,null,null,null,Y,null,GPA2145,7,45,86,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
MGL,2,6,0,1,0,S,1,18,30/04/2019 16:52:45,null,null,null,30/04/2019 00:00:00,null,01/05/2019 00:00:00,03/06/2019 00:00:00,X,0,680000,20000,null,1,5.81,2,null,15,null,Y,N,N,Y,Y,N,N,Y,Y,06:00,06:00,Y,105,null,null,null,RE basis  No Take or Pay  no failure to supply,null,30/04/2019 16:52:45,18,null,null,Y,Y,null,null,null,null,4,null,1,null,null,null,null,null,null,null,Y,null,GPA2145,7,45,86,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
MGL,2,6,0,4,0,S,1,18,31/03/2020 18:46:41,null,null,null,31/03/2020 00:00:00,null,01/04/2020 00:00:00,03/05/2020 00:00:00,X,0,693000,21000,null,1,3.53,2,null,15,null,Y,N,N,Y,Y,N,N,Y,Y,06:00,06:00,Y,105,null,null,null,RE Basis,null,31/03/2020 18:46:41,18,null,null,Y,Y,null,null,null,null,4,null,1,null,null,null,null,null,null,null,Y,null,GPA2145,7,45,86,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
MGL,2,6,0,4,0,S,2,18,31/03/2020 19:22:16,null,null,null,31/03/2020 00:00:00,null,01/04/2020 00:00:00,03/05/2020 00:00:00,X,0,693000,21000,null,1,3.53,2,null,15,null,Y,N,N,Y,Y,N,N,Y,Y,06:00,06:00,Y,105,null,null,null,RE Basis,null,31/03/2020 19:22:16,18,null,null,Y,Y,null,null,null,null,4,null,1,null,null,null,null,null,null,null,Y,null,GPA2145,7,45,86,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
MGL,2,6,0,6,0,S,1,18,26/02/2021 17:17:42,null,null,null,25/02/2021 00:00:00,null,01/03/2021 00:00:00,03/04/2021 00:00:00,X,0,555702,18000,null,1,6.83,2,null,15,null,Y,N,N,Y,Y,N,N,Y,Y,06:00,06:00,Y,105,null,null,null,RE basis,null,26/02/2021 17:17:42,18,null,null,Y,Y,null,null,null,null,4,null,1,null,null,null,null,null,null,null,Y,null,GPA2145,7,45,86,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
MGL,2,6,0,6,0,S,2,48,09/07/2021 20:45:07,null,null,null,25/02/2021 00:00:00,null,01/03/2021 00:00:00,03/04/2021 00:00:00,X,0,555702,18000,null,1,6.83,2,null,15,null,Y,N,N,Y,Y,N,N,Y,Y,06:00,06:00,Y,105,Y,41,26/02/2021 00:00:00,RE basis,null,09/07/2021 20:45:07,48,null,null,Y,Y,null,null,null,null,4,null,1,null,null,null,null,null,null,null,Y,null,GPA2145,7,45,86,N,null,0  ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N
