COUNTERPARTY_ABBR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,BU_UNIT,PLANT_SEQ,CONTRACT_TYPE,CARGO_NO,INVOICE_NO,FINANCIAL_YEAR,INVOICE_ID_SEQ,TDS_GROSS_PERCENT,TDS_GROSS_AMT,TDS_TAX_PERCENT,TDS_TAX_AMT,PAY_RECV_AMT
RIL,L-3-1-0,0,1,0,null,15,L,null,D035/20-21,2020-2021,201,null,19621311.9,null,null,15010.3
GSPCL,,3,107,0,null,1,S,null,D022/20-21,2020-2021,219,null,207576569,null,null,179035
Gail,A-4-5-10519-0,0,10519,0,2,1,Q,null,L00139/20-21 ,2020-2021,139,3.5,514460,null,null,589055.9
DFPCL,,0,6,0,2,1,S,null,SMH0018/23-24,2023-2024,18,.1,109211290,null,null,112378417.71
HPCL,2,9-0,9,0,1,1,I,0,I0011/21-22,2021-2022,11,null,27496.14,null,null,27496.14
GSFC,,2,5,2,null,1,S,null,D023/20-21,2020-2021,211,null,33286441.02,null,null,26463
AMNS,11719,A-33-17-11719-0,9,0,1,1,M,0,L00331/20-21,2020-2021,331,1.5,502,null,null,584.47
AMNS,11719,A-33-17-11719-0,10,0,1,1,M,0,L00332/20-21,2020-2021,332,1.5,869,null,null,1011.96
AMNS,11719,A-33-17-11719-0,11,0,1,1,M,0,L00333/20-21,2020-2021,333,1.5,6242,null,null,7272.37
AMNS,11719,A-33-17-11719-0,12,0,1,1,M,0,L00334/20-21,2020-2021,334,1.5,4371,null,null,5091.43
AMNS,11921,A-33-19-11921-0,7,0,1,1,M,0,L00144/21-22,2021-2022,144,2,23022.65,null,null,26706.28
AMNS,11921,A-33-19-11921-0,25,0,1,1,M,0,L00155/22-23,2022-2023,155,10,15302.12,null,null,16526.29
AMNS,11921,A-33-19-11921-0,22,0,1,1,M,0,L00073/22-23,2022-2023,73,10,15644.98,null,null,16896.58
AMNS,11921,A-33-19-11921-0,22,0,1,1,M,0,L00074/22-23,2022-2023,74,10,4125.57,null,null,4455.61
AMNS,11921,A-33-19-11921-0,15,0,1,1,M,0,L00228/21-22,2021-2022,228,10,17835.19,null,null,19261
AMNS,11921,A-33-19-11921-0,22,0,1,1,M,0,L00084/22-23,2022-2023,84,10,3016.93,null,null,3258.29
AMNS,11921,A-33-19-11921-0,23,0,1,1,M,0,L00086/22-23,2022-2023,86,10,17135.78,null,null,18506.64
AMNS,1,21,23,0,1,1,I,0,I0001/22-23,2022-2023,1,null,1550012.83,null,null,1550012.83
AMNS,11921,A-33-19-11921-0,25,0,1,1,M,0,L00160/22-23,2022-2023,160,10,778120.63,null,null,840370.28
AMNS,11921,A-33-19-11921-0,15,0,1,1,M,0,L00213/21-22,2021-2022,213,10,298078,null,null,321924
AMNS,11921,A-33-19-11921-0,32,0,1,1,M,0,L00043/23-24,2023-2024,43,10,12667.09,null,null,12920.43
AMNS,11921,A-33-19-11921-0,17,0,1,1,M,0,L00236/21-22,2021-2022,236,10,44924.14,null,null,48517
AMNS,11921,A-33-19-11921-0,17,0,1,1,M,0,L00237/21-22,2021-2022,237,10,15352.94,null,null,16580
AMNS,11921,A-33-19-11921-0,25,0,1,1,M,0,L00147/22-23,2022-2023,147,10,283245,null,null,305904.5
AMNS,11921,A-33-19-11921-0,13,0,1,1,M,0,L00203/21-22,2021-2022,203,10,90782,null,null,98043
AMNS,1,20,21,0,1,2,I,0,I0028/21-22,2021-2022,28,null,79048.85,null,null,79048.85
AMNS,11921,A-33-19-11921-0,15,0,1,1,M,0,L00219/21-22,2021-2022,219,10,32348,null,null,34935
AMNS,11921,A-33-19-11921-0,21,0,1,1,M,0,L00047/22-23,2022-2023,47,10,61510.27,null,null,66430
AMNS,11921,A-33-19-11921-0,28,0,1,1,M,0,L00173/22-23,2022-2023,173,10,5902,null,null,6019.8
AMNS,11921,A-33-19-11921-0,19,0,1,1,M,0,L00019/22-23,2022-2023,19,10,845.43,null,null,913
AMNS,11921,A-33-19-11921-0,25,0,1,1,M,0,L00156/22-23,2022-2023,156,10,56423,null,null,60936.7
AMNS,11921,A-33-19-11921-0,26,0,1,1,M,0,L00157/22-23,2022-2023,157,10,4745,null,null,5124.5
AMNS,11921,A-33-19-11921-0,24,0,1,1,M,0,L00135/22-23,2022-2023,135,10,7549.45,null,null,8153.4
AMNS,11921,A-33-19-11921-0,24,0,1,1,M,0,L00136/22-23,2022-2023,136,10,2524.72,null,null,2726.7
AMNS,11921,A-33-19-11921-0,24,0,1,1,M,0,L00137/22-23,2022-2023,137,10,2457,null,null,2653.3
AMNS,11921,A-33-19-11921-0,23,0,1,1,M,0,L00093/22-23,2022-2023,93,10,21910.36,null,null,23663.18
AMNS,11921,A-33-19-11921-0,23,0,1,1,M,0,L00121/22-23,2022-2023,121,10,3573.53,null,null,3859.42
AMNS,11921,A-33-19-11921-0,23,0,1,1,M,0,L00122/22-23,2022-2023,122,10,2311.48,null,null,2496.39
AMNS,11921,A-33-19-11921-0,23,0,1,1,M,0,L00123/22-23,2022-2023,123,10,580.74,null,null,627.21
AMNS,11921,A-33-19-11921-0,24,0,1,1,M,0,L00124/22-23,2022-2023,124,10,15528.6,null,null,16770.89
AMNS,1,20,21,0,1,2,I,0,I0026/21-22,2021-2022,26,null,68128.8,null,null,68128.8
AMNS,11921,A-33-19-11921-0,12,0,1,1,M,0,L00205/21-22,2021-2022,205,10,335281.88,null,null,362104
AMNS,11921,A-33-19-11921-0,11,0,1,1,M,0,L00206/21-22,2021-2022,206,10,234664,null,null,253437
AMNS,11921,A-33-19-11921-0,15,0,1,1,M,0,L00217/21-22,2021-2022,217,10,21996,null,null,23756
AMNS,11921,A-33-19-11921-0,22,0,1,1,M,0,L00085/22-23,2022-2023,85,10,62705,null,null,67720.5
AMNS,11921,A-33-19-11921-0,22,0,1,1,M,0,L00069/22-23,2022-2023,69,10,17975.24,null,null,19413
AMNS,11921,A-33-19-11921-0,23,0,1,1,M,0,L00118/22-23,2022-2023,118,10,27358.38,null,null,29547.04
AMNS,11921,A-33-19-11921-0,24,0,1,1,M,0,L00119/22-23,2022-2023,119,10,12128,null,null,13099.2
AMNS,11921,A-33-19-11921-0,23,0,1,1,M,0,L00120/22-23,2022-2023,120,10,55081.06,null,null,59487.54
AMNS,1,SN 78,38,1,1,1,I,0,2LPAP0001/25-26,2025-2026,1,null,62445.66,null,null,null
AMNS,1,SN 78,38,1,1,1,I,0,2LPMH0001/25-26,2025-2026,1,null,46.01,null,null,null
AMNS,11921,A-33-19-11921-0,35,0,1,1,M,0,L00074/23-24,2023-2024,74,10,39511,null,null,40301.9
AMNS,11921,A-33-19-11921-0,19,0,1,1,M,0,L00011/22-23,2022-2023,11,10,47097.7,null,null,50865
