COMPANY_CD,FINANCIAL_YEAR,BU_STATE_TIN,INVOICE_SEQ,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT
RIL@O,2021-2022@C0002/21-22,36@L00036/21-22,L00036/21-22,C,CREDIT-INVOICE-13052021-RIL-Dahej Manufacturing Division-B-36.pdf,49,13/05/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,17/05/2021 00:00:00,null,null,null
RIL@L,2019-2020@D018/19-20,115@0115/19-20,0115/19-20,1,DEBIT-INVOICE-15022020-RIL-RIL Gadimoga-L-115.pdf,23,26/02/2020 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,26/02/2020 00:00:00,null,null,null
RIL@L,2019-2020@D018/19-20,115@0115/19-20,0115/19-20,d,DEBIT-INVOICE-15022020-RIL-RIL Gadimoga-L-115.pdf,23,17/02/2020 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,26/02/2020 00:00:00,null,null,null
RIL@L,2019-2020@D018/19-20,115@0115/19-20,0115/19-20,1,DEBIT-INVOICE-15022020-RIL-RIL Gadimoga-L-115.pdf,23,26/02/2020 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,26/02/2020 00:00:00,null,null,null
RIL@L,2019-2020@D018/19-20,115@0115/19-20,0115/19-20,d,DEBIT-INVOICE-15022020-RIL-RIL Gadimoga-L-115.pdf,23,17/02/2020 00:00:00,null,null,Y,ASHWANI KUMAR DUDEJA,26/02/2020 00:00:00,null,null,null
RIL@O,2016-2017@0001/16-17,228@null,null,C,CREDIT-INVOICE-24072016-RIL-Hazira-C-228.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2016-2017@0002/16-17,229@null,null,C,CREDIT-INVOICE-24072016-RIL-Jamnagar-C-229.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2016-2017@0003/16-17,230@null,null,C,CREDIT-INVOICE-24072016-RIL-Vadodara-C-230.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2016-2017@0004/16-17,239@null,null,C,CREDIT-INVOICE-24072016-RIL-Gandhar-C-239.pdf,null,null,null,null,null,null,null,null,null,null
RIL@O,2020-2021@C0005/20-21,528@L00528/20-21,L00528/20-21,1,CREDIT-INVOICE-04032021-RIL-Patalganga Manufacturing Division-C-528.pdf,23,17/03/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,19/03/2021 00:00:00,null,null,null
