COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,CONTRACT_TYPE,INVOICE_DT,INVOICE_NO,INVOICE_SEQ,CRITERIA,DR_CR_FLAG,DR_CR_REF_NO,DR_CR_SEQ,ENT_BY,ENT_DT,REMARK
HSIL,2024-2025,45,S,15/03/2025 00:00:00,SMH0111/24-25,111,10,DR,DMH044/24-25,null,46,18/03/2025 00:00:00,Imbalance charges
HSIL,2024-2025,45,S,15/03/2025 00:00:00,SMH0026/22-23,26,10,DR,DAP007/24-25,null,46,18/03/2025 00:00:00,Imbalance charges
HSIL,2024-2025,45,S,28/02/2025 00:00:00,SAP0024/24-25,24,10,DR,DAP006/24-25,null,46,04/03/2025 00:00:00,Imbalance charges
HSIL,2024-2025,45,S,28/02/2025 00:00:00,SMH0107/24-25,107,10,CR,CMH022/24-25,null,201,04/03/2025 00:00:00,SHIP OR PAY CHARGES
HSIL,2024-2025,45,S,31/03/2025 00:00:00,SAP0030/24-25,30,10,DR,DAP008/24-25,null,46,02/04/2025 00:00:00,Imbalance charges
KFL,2020-2021,47,L,31/12/2020 00:00:00,S0313/20-21,313,10,DR,D049/20-21,null,48,04/01/2021 00:00:00,Ship or Pay Invoice
KFL,2023-2024,47,L,15/04/2023 00:00:00,S0001/23-24,1,1,CR,C001/23-24,null,130,20/04/2023 00:00:00,Exchange Rate date was revised to 15 Apr23 from 13th Apr23
MINDA,2022-2023,54,S,31/10/2022 00:00:00,SMH0091/22-23,91,10,DR,DMH003/22-23,null,130,03/11/2022 00:00:00,GAIL ship or pay and Imbalance charges for transmission service for Oct2FN 2022
MINDA,2022-2023,54,S,31/03/2023 00:00:00,SMH0197/22-23,197,10,DR,DMH029/22-23,null,49,03/04/2023 00:00:00,Ship or Pay and Imbalance Charges
MINDA,2023-2024,54,S,15/05/2023 00:00:00,SMH0024/23-24,24,2,CR,CMH009/23-24,null,49,18/05/2023 00:00:00,Change in Price
MINDA,2022-2023,54,S,28/02/2023 00:00:00,SMH0172/22-23,172,10,DR,DMH023/22-23,null,153,03/03/2023 00:00:00,GAIL Imbalance and Ship or Pay charges for transmission service for Feb 2023
MINDA,2022-2023,54,S,31/01/2023 00:00:00,SMH0154/22-23,154,10,DR,DMH014/22-23,null,23,02/02/2023 00:00:00,Imbalance charges
MINDA,2022-2023,54,S,15/03/2023 00:00:00,SMH0187/22-23,187,10,DR,DMH024/22-23,null,49,17/03/2023 00:00:00,Imbalance charges for transmission service
MINDA,2022-2023,54,S,15/11/2022 00:00:00,SMH0097/22-23,97,10,DR,DMH005/22-23,null,49,17/11/2022 00:00:00,Imbalance Charges on account of lower off take
MINDA,2022-2023,54,S,31/12/2022 00:00:00,SMH0140/22-23,140,10,DR,DMH010/22-23,null,153,03/01/2023 00:00:00,GAIL Imbalance and Ship or Pay charges for transmission service for Dec 2022
MINDA,2022-2023,54,S,15/01/2023 00:00:00,SMH0144/22-23,144,10,DR,DMH012/22-23,null,49,17/01/2023 00:00:00,Imbalance Charges on account of lower off take
MINDA,2023-2024,54,S,15/04/2023 00:00:00,SMH0001/23-24,1,10,DR,DMH001/23-24,null,130,19/04/2023 00:00:00,GAIL Imbalance  Charges on account of off-take variation
HCGD-B,2024-2025,58,S,15/07/2024 00:00:00,S0129/24-25,129,1,DR,D012/24-25,null,219,22/07/2024 00:00:00,Difference in Exchange rate payment which is made to supplier
HCGD-B,2024-2025,58,S,31/07/2024 00:00:00,S0146/24-25,146,1,DR,D016/24-25,null,46,07/08/2024 00:00:00,Difference in Exchange rate payment which is made to supplier
HCGD-B,2024-2025,58,S,31/08/2024 00:00:00,S0182/24-25,182,10,DR,D023/24-25,null,46,03/09/2024 00:00:00,IMBALANCE CH
HCGD-B,2024-2025,58,S,31/10/2024 00:00:00,S0219/24-25,219,10,DR,D027/24-25,null,46,05/11/2024 00:00:00,Imbalance charges
HCGD-B,2024-2025,58,S,15/11/2024 00:00:00,S0228/24-25,228,10,DR,D029/24-25,null,201,19/11/2024 00:00:00,Imbalance charges
SISECAM,2021-2022,70,S,31/08/2021 00:00:00,S0121/21-22,121,10,DR,D018/21-22,null,23,02/09/2021 00:00:00,Imbalance charges
SISECAM,2021-2022,70,S,15/03/2022 00:00:00,S0223/21-22,223,10,DR,D035/21-22,null,23,17/03/2022 00:00:00,Imbalance charges
SISECAM,2022-2023,70,S,15/04/2022 00:00:00,S0003/22-23,3,10,DR,D001/22-23,null,23,19/04/2022 00:00:00,Imbalance charges
SISECAM,2022-2023,70,S,15/09/2022 00:00:00,S0088/22-23,88,10,DR,D016/22-23,null,23,20/09/2022 00:00:00,Ship or pay and imbalance charges
SISECAM,2022-2023,70,S,15/11/2022 00:00:00,S0135/22-23,135,10,DR,D020/22-23,null,23,17/11/2022 00:00:00,Ship or pay charges
SISECAM,2022-2023,70,S,31/01/2023 00:00:00,S0222/22-23,222,10,DR,D025/22-23,null,23,02/02/2023 00:00:00,Imbalance charges and ship or pay charges
SISECAM,2022-2023,70,S,28/02/2023 00:00:00,S0255/22-23,255,10,DR,D027/22-23,null,153,03/03/2023 00:00:00,GSPL Imbalance for transmission service for Feb2FN 2023
SISECAM,2023-2024,70,S,15/10/2023 00:00:00,S0161/21-22,161,10,DR,D009/23-24,null,201,17/10/2023 00:00:00,Unauthorized overrun and negative imbalance charges
SISECAM,2021-2022,70,S,31/07/2021 00:00:00,S0103/21-22,103,10,DR,D015/21-22,null,49,03/08/2021 00:00:00,GSPL Imbalance charges for transmission service during July 2FN 2021
SISECAM,2021-2022,70,S,15/10/2021 00:00:00,S0145/21-22,145,10,DR,D022/21-22,null,23,18/10/2021 00:00:00,Imbalance charges
SISECAM,2022-2023,70,S,31/05/2022 00:00:00,S0015/22-23,15,10,DR,D002/22-23,null,23,02/06/2022 00:00:00,Imbalance charges
SISECAM,2022-2023,70,S,30/06/2022 00:00:00,S0042/22-23,42,10,DR,D005/22-23,null,23,12/07/2022 00:00:00,Ship or pay monthly charge invoice
SISECAM,2022-2023,70,S,15/08/2022 00:00:00,S0072/22-23,72,10,DR,D010/22-23,null,23,18/08/2022 00:00:00,Imbalance charges and ship or pay charges
SISECAM,2022-2023,70,S,30/09/2022 00:00:00,S0091/22-23,91,10,DR,D017/22-23,null,49,04/10/2022 00:00:00,Ship or Pay and Imbalance Charges
SISECAM,2022-2023,70,S,15/10/2022 00:00:00,S0099/22-23,99,10,DR,D018/22-23,null,153,18/10/2022 00:00:00,GSPL Ship or Pay Charges for Transmission service for Oct1FN 2022
SISECAM,2022-2023,70,S,30/11/2022 00:00:00,S0171/22-23,171,10,DR,D021/22-23,null,49,02/12/2022 00:00:00,Ship or Pay and Imbalance Charges
SISECAM,2023-2024,70,S,31/10/2023 00:00:00,S0178/21-22,178,10,N,S0178/21-22,null,201,03/11/2023 00:00:00,IMBALANCE QTY
SISECAM,2023-2024,70,S,31/10/2023 00:00:00,S0170/21-22,170,10,DR,D012/23-24,null,201,03/11/2023 00:00:00,IMBALANCE QTY 
SISECAM,2022-2023,70,S,15/01/2023 00:00:00,S0210/22-23,210,10,DR,D024/22-23,null,49,17/01/2023 00:00:00,Ship or Pay and Imbalance Charges
SISECAM,2021-2022,70,S,15/07/2021 00:00:00,S0092/21-22,92,10,DR,D013/21-22,null,49,19/07/2021 00:00:00,Imbalance charges for transmission service during July 1FN 2021
SISECAM,2021-2022,70,S,15/02/2022 00:00:00,S0208/21-22,208,10,DR,D031/21-22,null,23,17/02/2022 00:00:00,Imbalance charges
SISECAM,2022-2023,70,S,31/07/2022 00:00:00,S0058/22-23,58,10,DR,D008/22-23,null,23,03/08/2022 00:00:00,Imbalance and Ship or Pay for 16-31 July 2022
SISECAM,2022-2023,70,S,31/10/2022 00:00:00,S0122/22-23,122,10,DR,D019/22-23,null,130,03/11/2022 00:00:00,GSPL ship or pay charges for transmission service for Oct2FN 2022
SISECAM,2022-2023,70,S,31/08/2022 00:00:00,S0078/22-23,78,10,DR,D014/22-23,null,23,05/09/2022 00:00:00,Ship or pay charges
SISECAM,2022-2023,70,S,15/02/2023 00:00:00,S0225/22-23,225,10,DR,D026/22-23,null,130,17/02/2023 00:00:00,GSPL ship or pay charges for transmission service for Feb1FN 2023
SISECAM,2021-2022,70,S,15/01/2022 00:00:00,S0197/21-22,197,10,DR,D029/21-22,null,23,18/01/2022 00:00:00,Imbalance charges
SISECAM,2022-2023,70,S,15/07/2022 00:00:00,S0050/22-23,50,10,DR,D006/22-23,null,23,19/07/2022 00:00:00,Imbalance and Ship or pay for 01-15 July 2022
SISECAM,2022-2023,70,S,15/12/2022 00:00:00,S0194/22-23,194,10,DR,D022/22-23,null,153,20/12/2022 00:00:00,GSPL Imbalance and Ship or pay charges for transmission service for Dec1FN 2022
SISECAM,2022-2023,70,S,31/12/2022 00:00:00,S0201/22-23,201,10,DR,D023/22-23,null,153,03/01/2023 00:00:00,GSPL Imbalance and Ship or pay charges for transmission service for Dec2FN 2022
SISECAM,2023-2024,70,S,15/04/2023 00:00:00,S0010/23-24,10,1,CR,C009/23-24,null,130,20/04/2023 00:00:00,Exchange Rate date was revised to 15 Apr23 from 13th Apr23
SISECAM,2023-2024,70,S,30/11/2023 00:00:00,S0218/23-24,218,10,DR,D023/23-24,null,113,04/12/2023 00:00:00,Imbalance Charges
SISECAM,2023-2024,70,S,15/03/2024 00:00:00,S0414/23-24,414,10,DR,D043/23-24,null,201,19/03/2024 00:00:00,IMBALANCE CHARGES 
SISECAM,2024-2025,70,S,30/06/2024 00:00:00,S0112/24-25,112,10,DR,D008/24-25,null,219,04/07/2024 00:00:00,Imbalance Charges
SISECAM,2024-2025,70,S,15/07/2024 00:00:00,S0130/21-22,130,10,DR,D009/24-25,null,201,17/07/2024 00:00:00,imbalance charges
SISECAM,2024-2025,70,S,31/07/2024 00:00:00,S0147/24-25,147,10,DR,D015/24-25,null,46,02/08/2024 00:00:00,imbalance charges
SISECAM,2024-2025,70,S,15/08/2024 00:00:00,S0163/24-25,163,10,DR,D019/24-25,null,201,20/08/2024 00:00:00,IMBALANCE CHARGES
SISECAM,2024-2025,70,S,31/08/2024 00:00:00,S0173/24-25,173,10,DR,D025/24-25,null,46,04/09/2024 00:00:00,Overrun Charges
OPAL,2023-2024,72,L,15/05/2023 00:00:00,SMH0028/22-23,28,2,DR,DMH008/23-24,null,113,02/06/2023 00:00:00,Change in Price
OPAL,2021-2022,72,L,15/08/2021 00:00:00,SMH0112/24-25,112,10,CR,C004/21-22,null,23,18/08/2021 00:00:00,Change of SEIPL BU
OPAL,2022-2023,72,L,15/08/2022 00:00:00,SMH0039/22-23,39,1,CR,CMH004/22-23,null,130,11/10/2022 00:00:00,Change of exchange rate
OPAL,2023-2024,72,L,15/04/2023 00:00:00,SMH0007/23-24,7,10,N,SMH0007/23-24,null,130,20/04/2023 00:00:00,Exchange Rate date was revised to 15 Apr23 from 13th Apr23
OPAL,2024-2025,72,L,15/05/2024 00:00:00,SMH0018/21-22,18,1,DR,DMH005/24-25,null,201,04/06/2024 00:00:00,Ex rate difference
OPAL,2024-2025,72,L,15/03/2025 00:00:00,S0330/24-25,330,10,N,S0330/24-25,null,46,19/03/2025 00:00:00,SPLIT QNT
RCF,2023-2024,78,L,15/04/2023 00:00:00,SMH0005/23-24,5,1,CR,CMH004/23-24,null,130,20/04/2023 00:00:00,Exchange Rate date was revised to 15 Apr23 from 13th Apr23
RCF,2023-2024,78,L,30/09/2023 00:00:00,SMH0108/23-24,108,1,DR,DMH019/23-24,null,23,09/10/2023 00:00:00,Ex rt Diff_ Ex rt applicable of RIL BP purchase invoice payment
TGLPL,2022-2023,84,S,15/08/2022 00:00:00,S0074/22-23,74,10,DR,D012/22-23,null,23,05/09/2022 00:00:00,Ship or pay charges for 01-15 Aug-22
TGBPL,2023-2024,85,S,15/02/2024 00:00:00,S0365/23-24,365,1,DR,D040/23-24,null,46,21/02/2024 00:00:00,Difference in exchange rate
TGBPL,2023-2024,85,S,29/02/2024 00:00:00,S0386/23-24,386,1,CR,C039/23-24,null,201,05/03/2024 00:00:00,Ex rate difference
TGBPL,2023-2024,85,S,15/01/2024 00:00:00,S0324/23-24,324,1,DR,D031/23-24,null,113,21/01/2024 00:00:00,Ex rate diff as per contract
TGBPL,2023-2024,85,S,31/01/2024 00:00:00,S0349/23-24,349,1,CR,C030/23-24,null,201,07/02/2024 00:00:00,Ex rate Difference
TGBPL,2023-2024,85,S,15/04/2023 00:00:00,S0005/23-24,5,1,CR,C003/23-24,null,130,20/04/2023 00:00:00,Exchange Rate date was revised to 15 Apr23 from 13th Apr23
VVF India,2022-2023,88,S,15/02/2023 00:00:00,SMH0166/22-23,166,10,DR,DMH018/22-23,null,153,17/02/2023 00:00:00,GAIL Imbalance & Overrun Charges for Transmission service for Feb1FN 2023
VVF India,2022-2023,88,S,28/02/2023 00:00:00,SMH0176/22-23,176,10,DR,DMH021/22-23,null,153,03/03/2023 00:00:00,GAIL Imbalance & Overrun Charges for Transmission service for Feb2FN 2023
VVF India,2022-2023,88,S,31/03/2023 00:00:00,SMH0198/22-23,198,10,DR,DMH033/22-23,null,49,03/04/2023 00:00:00,Ship or Pay_ Overrun and Imbalance Charges
VVF India,2023-2024,88,S,30/06/2023 00:00:00,SMH0048/23-24,48,10,DR,DMH014/23-24,null,113,05/07/2023 00:00:00,GAIL Imbalance_ Overrun Charges on account of off-take variation
VVF India,2023-2024,88,S,31/07/2023 00:00:00,SMH0078/23-24,78,10,DR,DMH018/23-24,null,113,02/08/2023 00:00:00,Imbalance Charges/SOP
VVF India,2023-2024,88,S,15/04/2023 00:00:00,SMH0008/23-24,8,10,DR,DMH003/23-24,null,130,19/04/2023 00:00:00,GAIL Imbalance_ Overrun Charges on account of off-take variation
VVF India,2022-2023,88,S,15/03/2023 00:00:00,SMH0182/22-23,182,10,DR,DMH025/22-23,null,49,17/03/2023 00:00:00,Imbalance / Unauthorized over run charges for transmission service
VVF India,2023-2024,88,S,30/04/2023 00:00:00,SMH0016/22-23,16,10,DR,DMH005/23-24,null,130,03/05/2023 00:00:00,GAIL Overrun and Imbalance charges for transmission service
VVF India,2023-2024,88,S,15/07/2023 00:00:00,SMH0063/23-24,63,10,DR,DMH017/23-24,null,113,17/07/2023 00:00:00,Imbalance Charges
VVF India,2023-2024,88,S,15/06/2023 00:00:00,SMH0040/23-24,40,10,DR,DMH011/23-24,null,23,20/06/2023 00:00:00,Imbalance charges
GNFC,2023-2024,89,S,15/11/2023 00:00:00,S0191/23-24,191,3,DR,D018/23-24,null,113,20/11/2023 00:00:00,Qty Diff
GFCL,2022-2023,100,S,31/07/2022 00:00:00,S0060/22-23,60,10,DR,D007/22-23,null,23,03/08/2022 00:00:00,Imbalance and Ship or Pay
GFCL,2022-2023,100,S,31/08/2022 00:00:00,S0081/22-23,81,10,DR,D011/22-23,null,23,02/09/2022 00:00:00,Imbalance charges
GFCL,2022-2023,100,S,15/08/2022 00:00:00,S0070/22-23,70,10,DR,D009/22-23,null,23,18/08/2022 00:00:00,Imbalance charges
GFCL,2023-2024,100,S,15/04/2023 00:00:00,S0007/23-24,7,1,CR,C006/23-24,null,130,20/04/2023 00:00:00,Exchange Rate date was revised to 15 Apr23 from 13th Apr23
CPL,2023-2024,101,S,15/02/2024 00:00:00,SMH0179/23-24,179,1,DR,DMH035/23-24,null,201,21/02/2024 00:00:00,Ex rate Difference
CPL,2023-2024,101,S,29/02/2024 00:00:00,SMH0186/23-24,186,1,CR,CMH017/23-24,null,201,06/03/2024 00:00:00,Ex rate Difference 
CPL,2023-2024,101,S,31/03/2024 00:00:00,SMH0204/23-24,204,1,DR,DMH001/24-25,null,201,04/04/2024 00:00:00,Ex rate Difference 
CPL,2024-2025,101,S,30/06/2024 00:00:00,SMH0035/24-25,35,1,DR,DMH008/24-25,null,219,05/07/2024 00:00:00,Exchange Rate Difference  
CPL,2024-2025,101,S,15/07/2024 00:00:00,SMH0040/24-25,40,1,DR,DMH010/24-25,null,219,22/07/2024 00:00:00,Difference in Exchange rate payment which is made to supplier
CPL,2024-2025,101,S,15/07/2024 00:00:00,SMH0038/24-25,38,1,DR,DMH011/24-25,null,219,22/07/2024 00:00:00,Difference in Exchange rate payment which is made to supplier
CPL,2024-2025,101,S,15/08/2024 00:00:00,SMH0051/24-25,51,1,CR,CMH011/24-25,null,201,21/08/2024 00:00:00,EX RATE DIFF
CPL,2024-2025,101,S,30/09/2024 00:00:00,SMH0062/24-25,62,1,DR,DMH023/24-25,null,46,07/10/2024 00:00:00,EX RATE DIFFERENCE
CPL,2024-2025,101,S,15/10/2024 00:00:00,SMH0066/24-25,66,1,DR,DMH026/24-25,null,46,21/10/2024 00:00:00,DIFF IN EX RATE
CPL,2024-2025,101,S,31/10/2024 00:00:00,SMH0069/24-25,69,1,DR,DMH030/24-25,null,46,07/11/2024 00:00:00,Diff in exchange rate
CPL,2024-2025,101,S,15/11/2024 00:00:00,SMH0072/24-25,72,1,DR,DMH032/24-25,null,201,22/11/2024 00:00:00,Ex rate difference
CPL,2024-2025,101,S,30/11/2024 00:00:00,SMH0075/24-25,75,1,DR,DMH034/24-25,null,46,05/12/2024 00:00:00,Ex rate diff
CPL,2024-2025,101,S,15/01/2025 00:00:00,SMH0083/24-25,83,1,CR,CMH017/24-25,null,46,21/01/2025 00:00:00,Diff in exchange rate
CPL,2024-2025,101,S,31/01/2025 00:00:00,SMH0086/24-25,86,1,DR,DMH041/24-25,null,201,05/02/2025 00:00:00,EX RATE DIFFERENCE
CPL,2024-2025,101,S,28/02/2025 00:00:00,SMH0103/24-25,103,1,CR,CMH021/24-25,null,46,06/03/2025 00:00:00,Diff in ex rate
CPL,2024-2025,101,S,15/03/2025 00:00:00,SMH0108/24-25,108,1,CR,CMH023/24-25,null,46,20/03/2025 00:00:00,DIFF IN EX RATE
CPL,2023-2024,101,S,15/03/2024 00:00:00,SMH0191/23-24,191,1,CR,CMH018/23-24,null,201,20/03/2024 00:00:00,Ex rate difference
CPL,2024-2025,101,S,15/04/2024 00:00:00,SMH0007/24-25,7,1,DR,DMH004/24-25,null,46,22/04/2024 00:00:00,DIFF IN EX RATE
CPL,2024-2025,101,S,30/04/2024 00:00:00,SMH0013/24-25,13,1,CR,CMH003/24-25,null,201,06/05/2024 00:00:00,Ex rate difference
CPL,2024-2025,101,S,15/06/2024 00:00:00,SMH0023/24-25,23,1,CR,CMH008/24-25,null,219,20/06/2024 00:00:00,Difference in Exchange Rate 
CPL,2024-2025,101,S,31/07/2024 00:00:00,SMH0046/22-23,46,1,DR,DMH017/24-25,null,46,06/08/2024 00:00:00,Difference in Exchange rate payment which is made to supplier
CPL,2024-2025,101,S,31/07/2024 00:00:00,SMH0047/24-25,47,1,DR,DMH019/24-25,null,46,06/08/2024 00:00:00,Difference in Exchange rate payment which is made to supplier
CPL,2024-2025,101,S,31/08/2024 00:00:00,SMH0056/24-25,56,1,DR,DMH021/24-25,null,46,05/09/2024 00:00:00,DIFF IN EX RATE
CPL,2024-2025,101,S,15/09/2024 00:00:00,SMH0059/24-25,59,1,CR,CMH015/24-25,null,201,20/09/2024 00:00:00,EX RATE DIFFERENCE
CPL,2024-2025,101,S,15/12/2024 00:00:00,SMH0076/24-25,76,1,DR,DMH036/24-25,null,46,19/12/2024 00:00:00,Diff in ex rate
CPL,2024-2025,101,S,31/12/2024 00:00:00,SMH0080/24-25,80,1,DR,DMH038/24-25,null,201,06/01/2025 00:00:00,Ex rate difference
CPL,2024-2025,101,S,15/02/2025 00:00:00,SMH0091/24-25,91,1,CR,CMH020/24-25,null,46,24/02/2025 00:00:00,Diff in ex rate
CPL,2024-2025,101,S,31/03/2025 00:00:00,SMH0114/24-25,114,1,DR,2DRMH0002/25-26,null,201,09/04/2025 00:00:00,EX RATE DIFFERENCE
INPEROX,2023-2024,105,S,29/02/2024 00:00:00,S0392/23-24,392,1,CR,C038/23-24,null,201,05/03/2024 00:00:00,Ex rate difference
INPEROX,2023-2024,105,S,15/09/2023 00:00:00,S0140/23-24,140,10,DR,D003/23-24,null,23,20/09/2023 00:00:00,Debit note for Other charges
INPEROX,2023-2024,105,S,31/10/2023 00:00:00,S0172/23-24,172,1,CR,C020/23-24,null,113,07/11/2023 00:00:00,Credit Note as per contract
INPEROX,2023-2024,105,S,15/10/2023 00:00:00,S0162/23-24,162,1,CR,C019/23-24,null,113,07/11/2023 00:00:00,Credit Note as per contract
INPEROX,2023-2024,105,S,15/11/2023 00:00:00,S0193/23-24,193,1,DR,D017/23-24,null,113,20/11/2023 00:00:00,Upstream supplier Payment exchange rate
INPEROX,2023-2024,105,S,31/12/2023 00:00:00,S0257/23-24,257,1,DR,D025/23-24,null,201,04/01/2024 00:00:00,Ex Rate Difference 
INPEROX,2023-2024,105,S,15/12/2023 00:00:00,S0232/23-24,232,1,CR,C029/23-24,null,201,20/12/2023 00:00:00,Ex Rate Difference 
INPEROX,2023-2024,105,S,30/11/2023 00:00:00,S0217/23-24,217,1,CR,C027/23-24,null,201,05/12/2023 00:00:00,Exchange rate diff 
INPEROX,2023-2024,105,S,31/01/2024 00:00:00,S0355/23-24,355,1,CR,C034/23-24,null,201,07/02/2024 00:00:00,Ex rate difference 
INPEROX,2023-2024,105,S,30/09/2023 00:00:00,S0152/23-24,152,1,DR,D004/23-24,null,23,09/10/2023 00:00:00,Diff in ex rt_ Ex rt to be used same as purchase of gas payment
INPEROX,2023-2024,105,S,15/01/2024 00:00:00,S0325/23-24,325,1,DR,D028/23-24,null,201,19/01/2024 00:00:00,EX RATE DIFF
INPEROX,2023-2024,105,S,15/02/2024 00:00:00,S0366/23-24,366,1,DR,D038/23-24,null,46,21/02/2024 00:00:00,Difference in exchange rate
INPEROX,2023-2024,105,S,31/03/2024 00:00:00,S0434/23-24,434,1,DR,D001/24-25,null,201,04/04/2024 00:00:00,Ex rate Difference
INPEROX,2023-2024,105,S,15/03/2024 00:00:00,S0409/23-24,409,1,CR,C041/23-24,null,46,20/03/2024 00:00:00,Diff in ex rate
RAFECHL,2024-2025,106,L,15/01/2025 00:00:00,SMH0085/24-25,85,10,N,SMH0085/24-25,null,46,14/02/2025 00:00:00,Compression charges
RAFECHL,2024-2025,106,L,31/01/2025 00:00:00,SMH0090/24-25,90,10,N,SMH0090/24-25,null,46,14/02/2025 00:00:00,Compression charges
HINDURV,2023-2024,116,L,15/04/2023 00:00:00,S0003/23-24,3,1,CR,C004/23-24,null,130,20/04/2023 00:00:00,Exchange Rate date was revised to 15 Apr23 from 13th Apr23
HINDURV,2022-2023,116,L,21/03/2023 00:00:00,S0280/22-23,280,10,N,S0280/22-23,null,23,09/10/2023 00:00:00,To charge TCS amount for inv no. 61_ 63_80
GOAGLSF,2022-2023,110,S,15/02/2023 00:00:00,SMH0165/22-23,165,10,DR,DMH019/22-23,null,130,17/02/2023 00:00:00,GAIL Imbalance and Overrun Charges on account of off-take variation
GOAGLSF,2022-2023,110,S,28/02/2023 00:00:00,SMH0170/22-23,170,10,DR,DMH022/22-23,null,153,03/03/2023 00:00:00,GAIL Imbalance Charges for Transmission service for Feb2FN 2023
GOAGLSF,2022-2023,110,S,31/03/2023 00:00:00,SMH0199/22-23,199,10,DR,DMH030/22-23,null,23,03/04/2023 00:00:00,Imbalance charges
GOAGLSF,2022-2023,110,S,15/01/2023 00:00:00,SMH0145/22-23,145,10,DR,DMH013/22-23,null,49,17/01/2023 00:00:00,Imbalance / Unauthorized over run charges for transmission service
GOAGLSF,2022-2023,110,S,15/12/2022 00:00:00,SMH0130/22-23,130,10,DR,DMH007/22-23,null,23,19/12/2022 00:00:00,Imbalance and overrun charges
GOAGLSF,2022-2023,110,S,31/01/2023 00:00:00,SMH0155/22-23,155,10,DR,DMH015/22-23,null,23,02/02/2023 00:00:00,Imbalance charges
GOAGLSF,2022-2023,110,S,15/03/2023 00:00:00,SMH0188/22-23,188,10,DR,DMH026/22-23,null,49,17/03/2023 00:00:00,Imbalance / Unauthorized over run charges for transmission service
GOAGLSF,2022-2023,110,S,31/12/2022 00:00:00,SMH0131/22-23,131,10,DR,DMH009/22-23,null,153,03/01/2023 00:00:00,GAIL Imbalance and Overrun charges for transmission service for Dec2FN 2022
GOAGLSF,2023-2024,110,S,15/04/2023 00:00:00,SMH0006/23-24,6,1,CR,CMH002/23-24,null,130,20/04/2023 00:00:00,Exchange Rate date was revised to 15 Apr23 from 13th Apr23
GOAGLSF,2025-2026,110,S,15/05/2025 00:00:00,2SMH0018/25-26,18,10,DR,2DRMH0006/25-26,null,201,19/05/2025 00:00:00,IMBALANCE CHARGES
GOAGLSF,2025-2026,110,S,30/06/2025 00:00:00,2SMH0035/25-26,35,10,DR,2DRMH0009/25-26,null,201,03/07/2025 00:00:00,Ship or Pay charges
GOAGLSF,2025-2026,110,S,15/07/2025 00:00:00,2SMH0041/25-26,41,10,DR,2DRMH0010/25-26,null,46,18/07/2025 00:00:00,Imbalance charges
GOAGLSF,2025-2026,110,S,31/07/2025 00:00:00,2SMH0048/25-26,48,10,DR,2DRMH0011/25-26,null,46,04/08/2025 00:00:00,IMBALANCE CHARGES
GOAGLSF,2024-2025,110,S,15/10/2024 00:00:00,SMH0064/24-25,64,10,DR,DMH024/24-25,null,201,18/10/2024 00:00:00,Imbalance charges
GOAGLSF,2024-2025,110,S,31/10/2024 00:00:00,SMH0068/24-25,68,10,DR,DMH027/24-25,null,46,05/11/2024 00:00:00,Imbalance charges
GOAGLSF,2024-2025,110,S,15/11/2024 00:00:00,SMH0073/24-25,73,10,DR,DMH031/24-25,null,201,19/11/2024 00:00:00,Imbalance charges
GOAGLSF,2024-2025,110,S,30/11/2024 00:00:00,SMH0074/24-25,74,10,DR,DMH033/24-25,null,201,02/12/2024 00:00:00,Imbalance charges
GOAGLSF,2024-2025,110,S,15/12/2024 00:00:00,SMH0077/24-25,77,10,DR,DMH035/24-25,null,46,18/12/2024 00:00:00,Imbalance charges
GOAGLSF,2024-2025,110,S,31/12/2024 00:00:00,SMH0081/24-25,81,10,DR,DMH037/24-25,null,46,03/01/2025 00:00:00,IMBALANCE CHARGES
GOAGLSF,2025-2026,110,S,15/04/2025 00:00:00,2SMH0003/25-26,3,10,DR,2DRMH0004/25-26,null,201,22/04/2025 00:00:00,IMBALA
GOAGLSF,2025-2026,110,S,30/04/2025 00:00:00,2SMH0009/25-26,9,10,DR,2DRMH0005/25-26,null,46,02/05/2025 00:00:00,IMBALANCE CHARGES
GOAGLSF,2025-2026,110,S,31/05/2025 00:00:00,2SMH0022/25-26,22,10,DR,2DRMH0007/25-26,null,46,03/06/2025 00:00:00,IMBALANCE CHARGES
GOAGLSF,2025-2026,110,S,15/06/2025 00:00:00,2SMH0031/25-26,31,10,DR,2DRMH0008/25-26,null,46,18/06/2025 00:00:00,Imbalance charges
PEFORCV,2023-2024,112,S,15/04/2023 00:00:00,SMH0009/23-24,9,1,CR,CMH003/23-24,null,130,20/04/2023 00:00:00,Exchange Rate date was revised to 15 Apr23 from 13th Apr23
DCMSHRI,2023-2024,121,L,15/04/2023 00:00:00,S0002/23-24,2,1,CR,C002/23-24,null,130,20/04/2023 00:00:00,Exchange Rate date was revised to 15 Apr23 from 13th Apr23
HINAGIL,2024-2025,147,S,30/04/2024 00:00:00,SMH0011/24-25,11,1,CR,CMH005/24-25,null,201,06/05/2024 00:00:00,Ex rate difference
NEL,2023-2024,117,S,15/07/2023 00:00:00,S0089/23-24,89,2,DR,D002/23-24,null,113,17/07/2023 00:00:00,Diff in TT
TASTELI,2022-2023,114,S,31/03/2023 00:00:00,SMH0201/22-23,201,10,DR,DMH032/22-23,null,23,03/04/2023 00:00:00,Imbalance charges
