COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,CONTRACT_TYPE,INVOICE_DT,INVOICE_NO,INVOICE_SEQ,CRITERIA,DR_CR_FLAG,DR_CR_REF_NO,DR_CR_SEQ,ENT_BY,ENT_DT,REMARK
HCG,2023-2024,38,S,15/02/2024 00:00:00,S0370/20-21,370,10,DR,D007/21-22,null,46,21/02/2024 00:00:00,Difference in exchange rate
HCG,2023-2024,38,S,31/01/2024 00:00:00,S0350/20-21,350,3,DR,D032/23-24,null,113,02/02/2024 00:00:00,Qty Change
HCG,2023-2024,38,S,31/10/2023 00:00:00,S0175/23-24,175,10,DR,D010/23-24,null,201,03/11/2023 00:00:00,IMBALANCE QTY
HCG,2023-2024,38,S,15/11/2023 00:00:00,S0190/23-24,190,10,DR,D014/23-24,null,113,17/11/2023 00:00:00,Imbalance Charges
HCG,2020-2021,38,S,31/03/2021 00:00:00,S0370/20-21,370,10,DR,D007/21-22,null,48,07/04/2021 00:00:00,TCS Debit Note
HCG,2020-2021,38,S,31/03/2021 00:00:00,S0369/20-21,369,10,DR,D006/21-22,null,48,07/04/2021 00:00:00,TCS Debit Note
HCG,2023-2024,38,S,15/06/2023 00:00:00,S0061/23-24,61,10,DR,D001/23-24,null,23,20/06/2023 00:00:00,Imbalance charges
HCG,2023-2024,38,S,15/12/2023 00:00:00,S0228/23-24,228,1,CR,C028/23-24,null,201,20/12/2023 00:00:00,Ex Rate Difference 
HCG,2023-2024,38,S,31/03/2024 00:00:00,S0438/23-24,438,1,DR,D002/24-25,null,46,04/04/2024 00:00:00,Diff in exchange rate
HCG,2024-2025,38,S,31/05/2024 00:00:00,S0065/21-22,65,10,DR,D007/24-25,null,46,04/06/2024 00:00:00,Imbalance charges
HCG,2024-2025,38,S,15/08/2024 00:00:00,S0161/24-25,161,10,DR,D020/24-25,null,201,20/08/2024 00:00:00,IMBALANCE CHARGES
HCG,2024-2025,38,S,15/08/2024 00:00:00,S0160/24-25,160,1,CR,C004/24-25,null,46,21/08/2024 00:00:00,Diff in ex rate
HCG,2024-2025,38,S,31/08/2024 00:00:00,S0179/21-22,179,10,DR,D022/24-25,null,46,03/09/2024 00:00:00,IMBALANCE CHARGES
HCG,2024-2025,38,S,31/08/2024 00:00:00,S0180/24-25,180,1,CR,C005/24-25,null,201,05/09/2024 00:00:00,Ex rate difference
HCG,2024-2025,38,S,15/09/2024 00:00:00,S0193/24-25,193,1,CR,C006/24-25,null,201,20/09/2024 00:00:00,EX RATE DIFFERENCE
HCG,2024-2025,38,S,30/09/2024 00:00:00,S0201/24-25,201,1,CR,C008/24-25,null,46,07/10/2024 00:00:00,EX RATE DIFFERENCE
HCG,2023-2024,38,S,15/03/2024 00:00:00,S0403/23-24,403,1,CR,C040/23-24,null,46,20/03/2024 00:00:00,C040/23-24-Diff in exchange rate
HCG,2024-2025,38,S,01/04/2024 00:00:00,S0001/24-25,1,10,N,S0001/24-25,null,113,05/04/2024 00:00:00,FOR Diff in exchange rate
HCG,2024-2025,38,S,31/07/2024 00:00:00,S0145/24-25,145,1,CR,C003/24-25,null,46,06/08/2024 00:00:00,Diff in ex rate
GGL,2021-2022,39,S,15/10/2021 00:00:00,S0146/21-22,146,3,CR,C005/21-22,null,23,20/10/2021 00:00:00,Change in billing qty
GGL,2022-2023,39,S,15/03/2023 00:00:00,S0268/22-23,268,10,DR,D028/22-23,null,49,17/03/2023 00:00:00,Transportation Charge
