COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_STATE_TIN,SVC_INVOICE_SEQ,SVC_INVOICE_NO,INVOICE_SEQ,INVOICE_NO,TRUCK_TRANS_CD,TRUCK_CD,MAPPING_ID,PERIOD_START_DT,PERIOD_END_DT,QTY_MMBTU,DISTANCE,ENT_BY,ENT_DT
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,10,TMS00010/22-23,T0098/22-23,T0098/22-23,null,null,null,null,null,841.08,null,36,16/05/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,10,TMS00010/22-23,T0105/22-23,T0105/22-23,null,null,null,null,null,881.04,null,36,16/05/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,13,TMS00013/22-23,T0114/22-23,T0114/22-23,null,null,null,null,null,829.52,null,6,01/06/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,13,TMS00013/22-23,T0125/22-23,T0125/22-23,null,null,null,null,null,842.56,null,6,01/06/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,13,TMS00013/22-23,T0140/22-23,T0140/22-23,null,null,null,null,null,844.64,null,6,01/06/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,13,TMS00013/22-23,T0145/22-23,T0145/22-23,null,null,null,null,null,830.47,null,6,01/06/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,13,TMS00013/22-23,T0153/22-23,T0153/22-23,null,null,null,null,null,840.30,null,6,01/06/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,13,TMS00013/22-23,T0160/22-23,T0160/22-23,null,null,null,null,null,837.00,null,6,01/06/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,13,TMS00013/22-23,T0165/22-23,T0165/22-23,null,null,null,null,null,837.49,null,6,01/06/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,17,TMS00017/22-23,T0187/22-23,T0187/22-23,null,null,null,null,null,833.63,null,36,16/06/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,17,TMS00017/22-23,T0189/22-23,T0189/22-23,null,null,null,null,null,835.46,null,36,16/06/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,17,TMS00017/22-23,T0198/22-23,T0198/22-23,null,null,null,null,null,842.09,null,36,16/06/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,17,TMS00017/22-23,T0208/22-23,T0208/22-23,null,null,null,null,null,842.15,null,36,16/06/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,17,TMS00017/22-23,T0171/22-23,T0171/22-23,null,null,null,null,null,835.86,null,36,16/06/2022 00:00:00
SGIPL,2022-2023,SGIPL-1-0-5-3-0,1,0,3,0,B,1,null,17,TMS00017/22-23,T0216/22-23,T0216/22-23,null,null,null,null,null,837.83,null,36,16/06/2022 00:00:00
