COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT,EMAIL_SENT,EMAIL_SENT_BY,EMAIL_SENT_DT
2,24,CT012/23-24,2023-2024,O,CREDIT-INVOICE-31082023-AGP CGD-AGP CGD Chennai-S-580-C.pdf,185,31/08/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/09/2023 00:00:00,null,null,null,Y,null,01/09/2023 00:00:00
2,24,CT012/23-24,2023-2024,D,CREDIT-INVOICE-31082023-AGP CGD-AGP CGD Chennai-S-580-1.pdf,185,31/08/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/09/2023 00:00:00,null,null,null,Y,null,01/09/2023 00:00:00
2,24,CT012/23-24,2023-2024,T,CREDIT-INVOICE-31082023-AGP CGD-AGP CGD Chennai-S-580-2.pdf,185,31/08/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/09/2023 00:00:00,null,null,null,Y,null,01/09/2023 00:00:00
2,24,CT001/23-24,2023-2024,O,CREDIT-INVOICE-16042023-MINDA-Minda-Detroj-S-52-C.pdf,83,16/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2023 00:00:00,null,null,null,Y,null,28/04/2023 00:00:00
2,24,CT001/23-24,2023-2024,D,CREDIT-INVOICE-16042023-MINDA-Minda-Detroj-S-52-1.pdf,83,16/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2023 00:00:00,null,null,null,Y,null,28/04/2023 00:00:00
2,24,CT001/23-24,2023-2024,T,CREDIT-INVOICE-16042023-MINDA-Minda-Detroj-S-52-2.pdf,83,16/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2023 00:00:00,null,null,null,Y,null,28/04/2023 00:00:00
2,24,CT006/23-24,2023-2024,O,CREDIT-INVOICE-18042023-MINDA-Minda-Detroj-S-57-C.pdf,66,18/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2023 00:00:00,null,null,null,Y,null,28/04/2023 00:00:00
2,24,CT006/23-24,2023-2024,D,CREDIT-INVOICE-18042023-MINDA-Minda-Detroj-S-57-1.pdf,66,18/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2023 00:00:00,null,null,null,Y,null,28/04/2023 00:00:00
2,24,CT006/23-24,2023-2024,T,CREDIT-INVOICE-18042023-MINDA-Minda-Detroj-S-57-2.pdf,66,18/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2023 00:00:00,null,null,null,Y,null,28/04/2023 00:00:00
2,24,CT010/23-24,2023-2024,O,CREDIT-INVOICE-19042023-MINDA-Minda-Detroj-S-61-C.pdf,66,19/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2023 00:00:00,null,null,null,Y,null,28/04/2023 00:00:00
2,24,CT010/23-24,2023-2024,D,CREDIT-INVOICE-19042023-MINDA-Minda-Detroj-S-61-1.pdf,66,19/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2023 00:00:00,null,null,null,Y,null,28/04/2023 00:00:00
2,24,CT010/23-24,2023-2024,T,CREDIT-INVOICE-19042023-MINDA-Minda-Detroj-S-61-2.pdf,66,19/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,28/04/2023 00:00:00,null,null,null,Y,null,28/04/2023 00:00:00
2,24,DT005/23-24,2023-2024,O,DEBIT-INVOICE-01112023-MINDA-Minda-Detroj-S-953-d.pdf,61,01/11/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,09/11/2023 00:00:00,null,null,null,Y,null,22/11/2023 00:00:00
2,24,DT005/23-24,2023-2024,D,DEBIT-INVOICE-01112023-MINDA-Minda-Detroj-S-953-1.pdf,201,09/11/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,09/11/2023 00:00:00,null,null,null,Y,null,22/11/2023 00:00:00
