COMPANY_CD,COUNTERPARTY_CD,FINANCIAL_YEAR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,BU_STATE_TIN,BU_CONTACT_PERSON_CD,PLANT_SEQ,CONTACT_PERSON_CD,INVOICE_SEQ,INVOICE_NO,INVOICE_DT,INVOICE_REF_NO,INV_TYPE,FREQ,PERIOD_START_DT,PERIOD_END_DT,DUE_DT,ALLOC_QTY,SALE_PRICE,SALE_PRICE_UNIT,SALE_AMT,BUY_PRICE,BUY_PRICE_UNIT,BUY_AMT,INVOICE_RAISED_IN,INVOICE_AMT,NET_PAYABLE_AMT,INV_STATUS,REMARK_1,REMARK_2,CHECKED_FLAG,CHECKED_BY,CHECKED_DT,AUTHORIZED_FLAG,AUTHORIZED_BY,AUTHORIZED_DT,APPROVED_FLAG,APPROVED_BY,APPROVED_DT,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,INVOICE_ID_SEQ,PAY_RECV_AMT,PAY_RECV_DT,PAY_INSERT_BY,PAY_INSERT_DT,PAY_UPDATE_BY,PAY_UPDATE_DT,PAY_REMARK,PDF_INV_DTL,PRINT_BY_ORI,PRINT_DT_ORI,PRINT_BY_TRI,PRINT_DT_TRI,PRINT_BY_DUP,PRINT_DT_DUP,SAP_APPROVAL,SAP_APPROVED_BY,SAP_APPROVED_DT,INSTRUMENT_NO
SPSSETL1,29-124 (7334324),2024-2025,1,0,124,0,V,1,null,null,1,null,4,DV004/24-25,22/07/2024 00:00:00,null,I,12,24/05/2024 00:00:00,07/06/2024 00:00:00,05/08/2024 00:00:00,150000,12.321,2,1848150,11.51,2,-1726500,2,207290,207290,null,Please pay the invoiced amount by wire transfer at Bank Name: ICICI Bank Limited  SWIFT Code: ICICINBBXXX  Beneficiary Name : Shell Energy India Private Limited  A/C No: 195605001819,null,Y,113,22/07/2024 00:00:00,null,null,null,Y,6,22/07/2024 00:00:00,113,19/07/2024 00:00:00,null,null,4,207290,05/08/2024 00:00:00,164,27/01/2025 00:00:00,null,null,null,O,113,22/07/2024 00:00:00,null,null,null,null,null,null,null,1
SPSSETL1,29-125 (7334325),2024-2025,1,0,124,0,V,1,null,null,1,null,4,DV004/24-25,22/07/2024 00:00:00,null,I,12,24/05/2024 00:00:00,07/06/2024 00:00:00,05/08/2024 00:00:00,100000,12.321,2,1232100,11.56,2,-1156000,2,207290,207290,null,Please pay the invoiced amount by wire transfer at Bank Name: ICICI Bank Limited  SWIFT Code: ICICINBBXXX  Beneficiary Name : Shell Energy India Private Limited  A/C No: 195605001819,null,Y,113,22/07/2024 00:00:00,null,null,null,Y,6,22/07/2024 00:00:00,113,19/07/2024 00:00:00,null,null,4,207290,05/08/2024 00:00:00,164,27/01/2025 00:00:00,null,null,null,O,113,22/07/2024 00:00:00,null,null,null,null,null,null,null,1
SPSSETL1,29-155 (7339205),2024-2025,1,0,124,0,V,1,null,null,1,null,4,DV004/24-25,22/07/2024 00:00:00,null,I,12,24/05/2024 00:00:00,07/06/2024 00:00:00,05/08/2024 00:00:00,100000,12.321,2,1232100,12.35,2,-1235000,2,207290,207290,null,Please pay the invoiced amount by wire transfer at Bank Name: ICICI Bank Limited  SWIFT Code: ICICINBBXXX  Beneficiary Name : Shell Energy India Private Limited  A/C No: 195605001819,null,Y,113,22/07/2024 00:00:00,null,null,null,Y,6,22/07/2024 00:00:00,113,19/07/2024 00:00:00,null,null,4,207290,05/08/2024 00:00:00,164,27/01/2025 00:00:00,null,null,null,O,113,22/07/2024 00:00:00,null,null,null,null,null,null,null,1
SPSSETL1,29-156 (7346218 ),2024-2025,1,0,124,0,V,1,null,null,1,null,4,DV004/24-25,22/07/2024 00:00:00,null,I,12,24/05/2024 00:00:00,07/06/2024 00:00:00,05/08/2024 00:00:00,40000,12.321,2,492840,12.01,2,-480400,2,207290,207290,null,Please pay the invoiced amount by wire transfer at Bank Name: ICICI Bank Limited  SWIFT Code: ICICINBBXXX  Beneficiary Name : Shell Energy India Private Limited  A/C No: 195605001819,null,Y,113,22/07/2024 00:00:00,null,null,null,Y,6,22/07/2024 00:00:00,113,19/07/2024 00:00:00,null,null,4,207290,05/08/2024 00:00:00,164,27/01/2025 00:00:00,null,null,null,O,113,22/07/2024 00:00:00,null,null,null,null,null,null,null,1
SPSSETL1,29-1(,2023-2024,1,0,1,0,V,1,null,null,1,null,1,DV001/23-24,02/11/2023 00:00:00,null,I,12,07/07/2023 00:00:00,12/07/2023 00:00:00,09/11/2023 00:00:00,1200000,15.67,2,18804000,14.475,2,-17370000,2,3977850,3977850,null,Please pay the invoiced amount by wire transfer at Bank Name: ICICI Bank Limited  SWIFT Code: ICICINBBXXX  Beneficiary Name : Shell Energy India Private Limited  A/C No: 195605001819,null,Y,113,18/12/2023 00:00:00,null,null,null,null,null,null,113,13/12/2023 00:00:00,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
SPSSETL1,29-3(,2023-2024,1,0,1,0,V,1,null,null,1,null,1,DV001/23-24,02/11/2023 00:00:00,null,I,12,07/07/2023 00:00:00,12/07/2023 00:00:00,09/11/2023 00:00:00,1000000,15.75,2,15750000,14.475,2,-14475000,2,3977850,3977850,null,Please pay the invoiced amount by wire transfer at Bank Name: ICICI Bank Limited  SWIFT Code: ICICINBBXXX  Beneficiary Name : Shell Energy India Private Limited  A/C No: 195605001819,null,Y,113,18/12/2023 00:00:00,null,null,null,null,null,null,113,13/12/2023 00:00:00,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
SPSSETL1,29-4(,2023-2024,1,0,1,0,V,1,null,null,1,null,1,DV001/23-24,02/11/2023 00:00:00,null,I,12,07/07/2023 00:00:00,12/07/2023 00:00:00,09/11/2023 00:00:00,500000,15.88,2,7940000,14.475,2,-7237500,2,3977850,3977850,null,Please pay the invoiced amount by wire transfer at Bank Name: ICICI Bank Limited  SWIFT Code: ICICINBBXXX  Beneficiary Name : Shell Energy India Private Limited  A/C No: 195605001819,null,Y,113,18/12/2023 00:00:00,null,null,null,null,null,null,113,13/12/2023 00:00:00,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
SPSSETL1,29-5(,2023-2024,1,0,1,0,V,1,null,null,1,null,1,DV001/23-24,02/11/2023 00:00:00,null,I,12,07/07/2023 00:00:00,12/07/2023 00:00:00,09/11/2023 00:00:00,400000,15.88,2,6352000,14.475,2,-5790000,2,3977850,3977850,null,Please pay the invoiced amount by wire transfer at Bank Name: ICICI Bank Limited  SWIFT Code: ICICINBBXXX  Beneficiary Name : Shell Energy India Private Limited  A/C No: 195605001819,null,Y,113,18/12/2023 00:00:00,null,null,null,null,null,null,113,13/12/2023 00:00:00,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
SPSSETL1,29-6(,2023-2024,1,0,1,0,V,1,null,null,1,null,1,DV001/23-24,02/11/2023 00:00:00,null,I,12,07/07/2023 00:00:00,12/07/2023 00:00:00,09/11/2023 00:00:00,290000,14.49,2,4202100,14.475,2,-4197750,2,3977850,3977850,null,Please pay the invoiced amount by wire transfer at Bank Name: ICICI Bank Limited  SWIFT Code: ICICINBBXXX  Beneficiary Name : Shell Energy India Private Limited  A/C No: 195605001819,null,Y,113,18/12/2023 00:00:00,null,null,null,null,null,null,113,13/12/2023 00:00:00,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
SPSSETL1,29-59 (7266925 ),2023-2024,1,0,59,0,V,1,null,null,1,null,7,DV007/23-24,31/03/2024 00:00:00,null,I,12,27/02/2024 00:00:00,27/02/2024 00:00:00,05/04/2024 00:00:00,140000,8.521,2,1192940,8.21,2,-1149400,2,43540,43540,null,Please pay the invoiced amount by wire transfer at Bank Name: ICICI Bank Limited  SWIFT Code: ICICINBBXXX  Beneficiary Name : Shell Energy India Private Limited  A/C No: 195605001819,null,Y,113,02/04/2024 00:00:00,null,null,null,Y,6,02/04/2024 00:00:00,113,01/04/2024 00:00:00,null,null,7,43540,05/04/2024 00:00:00,164,27/01/2025 00:00:00,null,null,null,O,113,02/04/2024 00:00:00,null,null,null,null,Y,164,03/04/2024 00:00:00,1
SPSSETL1,29-60 ( 7266929 ),2024-2025,1,0,60,0,V,1,null,null,1,null,2,DV002/24-25,29/04/2024 00:00:00,null,I,12,27/02/2024 00:00:00,27/02/2024 00:00:00,06/05/2024 00:00:00,400000,9.687,2,3874800,8.16,2,-3264000,2,610800,610800,null,Please pay the invoiced amount by wire transfer at Bank Name: ICICI Bank Limited  SWIFT Code: ICICINBBXXX  Beneficiary Name : Shell Energy India Private Limited  A/C No: 195605001819,null,Y,113,29/04/2024 00:00:00,null,null,null,Y,6,29/04/2024 00:00:00,113,29/04/2024 00:00:00,null,null,2,610800,07/05/2024 00:00:00,164,27/01/2025 00:00:00,null,null,null,O,113,29/04/2024 00:00:00,null,null,null,null,Y,164,30/04/2024 00:00:00,1
SPSSETL1,29-321 (7500947),2025-2026,1,0,321,0,V,1,null,null,1,null,2,2VD0002/25-26,19/05/2025 00:00:00,null,R,12,27/11/2024 00:00:00,26/03/2025 00:00:00,06/06/2025 00:00:00,10000,14.05,2,140500,11.498,2,-114980,2,49580,49580,null,Please pay the invoiced amount by wire transfer at Bank Name: ICICI Bank Limited  SWIFT Code: ICICINBBXXX  Beneficiary Name : Shell Energy India Private Limited  A/C No: 195605001819,null,Y,44,19/05/2025 00:00:00,null,null,null,Y,44,28/05/2025 00:00:00,44,19/05/2025 00:00:00,null,null,2,null,null,null,null,null,null,null,O,46,28/05/2025 00:00:00,null,null,null,null,Y,46,28/05/2025 00:00:00,1
SPSSETL1,29-472 (7640708),2025-2026,1,0,321,0,V,1,null,null,1,null,2,2VD0002/25-26,19/05/2025 00:00:00,null,R,12,27/11/2024 00:00:00,26/03/2025 00:00:00,06/06/2025 00:00:00,50000,11.498,2,574900,13,2,-650000,2,49580,49580,null,Please pay the invoiced amount by wire transfer at Bank Name: ICICI Bank Limited  SWIFT Code: ICICINBBXXX  Beneficiary Name : Shell Energy India Private Limited  A/C No: 195605001819,null,Y,44,19/05/2025 00:00:00,null,null,null,Y,44,28/05/2025 00:00:00,44,19/05/2025 00:00:00,null,null,2,null,null,null,null,null,null,null,O,46,28/05/2025 00:00:00,null,null,null,null,Y,46,28/05/2025 00:00:00,1
SPSSETL1,29-322 (7500947),2025-2026,1,0,322,0,V,1,null,null,1,null,6,2VGJ0006/25-26,15/06/2025 00:00:00,null,I,12,27/11/2024 00:00:00,27/11/2024 00:00:00,08/07/2025 00:00:00,10000,14.05,2,140500,12.504,2,-125040,2,15460,15460,null,Please pay the invoiced amount by wire transfer at Bank Name: ICICI Bank Limited  SWIFT Code: ICICINBBXXX  Beneficiary Name : Shell Energy India Private Limited  A/C No: 195605001819,null,Y,44,16/06/2025 00:00:00,null,null,null,Y,44,16/06/2025 00:00:00,44,16/06/2025 00:00:00,null,null,6,15460,09/07/2025 00:00:00,46,17/07/2025 00:00:00,null,null,Payment received on 09/07/2025,O,46,16/06/2025 00:00:00,null,null,null,null,Y,46,18/06/2025 00:00:00,1
SPSSETL1,29-323 (7500947),2025-2026,1,0,323,0,V,1,null,null,1,null,8,2VGJ0008/25-26,15/07/2025 00:00:00,null,I,12,27/11/2024 00:00:00,27/11/2024 00:00:00,07/08/2025 00:00:00,10000,14.05,2,140500,13.105,2,-131050,2,9450,9450,null,Please pay the invoiced amount by wire transfer at Bank Name: ICICI Bank Limited  SWIFT Code: ICICINBBXXX  Beneficiary Name : Shell Energy India Private Limited  A/C No: 195605001819,null,Y,23,16/07/2025 00:00:00,null,null,null,Y,6,16/07/2025 00:00:00,23,16/07/2025 00:00:00,null,null,8,null,null,null,null,null,null,null,O,46,16/07/2025 00:00:00,null,null,null,null,Y,46,17/07/2025 00:00:00,1
SPSSETL1,29-270 (7474994),2024-2025,1,0,270,0,V,1,null,null,1,null,13,DV013/24-25,18/12/2024 00:00:00,null,I,12,30/10/2024 00:00:00,30/10/2024 00:00:00,08/01/2025 00:00:00,20000,14.877,2,297540,13.86,2,-277200,2,20340,20340,null,Please pay the invoiced amount by wire transfer at Bank Name: ICICI Bank Limited  SWIFT Code: ICICINBBXXX  Beneficiary Name : Shell Energy India Private Limited  A/C No: 195605001819,null,Y,23,18/12/2024 00:00:00,null,null,null,Y,6,18/12/2024 00:00:00,23,18/12/2024 00:00:00,null,null,13,20340,08/01/2025 00:00:00,164,27/01/2025 00:00:00,null,null,null,O,46,18/12/2024 00:00:00,null,null,null,null,Y,164,18/12/2024 00:00:00,1
SPSSETL1,29-272 (7474994),2024-2025,1,0,272,0,V,1,null,null,1,null,19,DV019/24-25,15/02/2025 00:00:00,null,I,12,30/10/2024 00:00:00,16/12/2024 00:00:00,07/03/2025 00:00:00,20000,14.95,2,299000,13.86,2,-277200,2,229300,229300,null,Please pay the invoiced amount by wire transfer at Bank Name: ICICI Bank Limited  SWIFT Code: ICICINBBXXX  Beneficiary Name : Shell Energy India Private Limited  A/C No: 195605001819,null,Y,23,18/02/2025 00:00:00,null,null,null,Y,6,18/02/2025 00:00:00,23,18/02/2025 00:00:00,null,null,19,229300,07/03/2025 00:00:00,201,27/03/2025 00:00:00,null,null,null,O,46,18/02/2025 00:00:00,null,null,null,null,Y,164,20/02/2025 00:00:00,1
