COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,SEC_INT_REF,INV_COMPONENT,AMOUNT,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,TAX_AMT,TAX_STRUCT_CD,TDS_STRUCT_CD,TDS_TAX_AMT,BU_UNIT,PLANT_SEQ,GROSS_AMT
2018-2019,00600/18-19,600,2018-2019,A002/2018-19,CGST,391197,null,16/03/2019 14:30:51,18,null,782394,CGST 9%@ SGST 9%,TDS 0.0%,null,1,1,4346632
2018-2019,00600/18-19,600,2018-2019,A002/2018-19,SGST,391197,null,16/03/2019 14:30:51,18,null,782394,CGST 9%@ SGST 9%,TDS 0.0%,null,1,1,4346632
2019-2020,00189/19-20,189,2019-2020,A002/2019-20,GROSS,13259167,null,06/06/2019 13:02:33,18,null,2386650,CGST 9%@ SGST 9%,TDS 2.0%,265183.34,1,1,13259167
2019-2020,00189/19-20,189,2019-2020,A002/2019-20,CGST,1193325,null,06/06/2019 13:02:33,18,null,2386650,CGST 9%@ SGST 9%,TDS 2.0%,265183.34,1,1,13259167
2019-2020,00189/19-20,189,2019-2020,A002/2019-20,SGST,1193325,null,06/06/2019 13:02:33,18,null,2386650,CGST 9%@ SGST 9%,TDS 2.0%,265183.34,1,1,13259167
2019-2020,00313/19-20,313,2019-2020,A004/2019-20,GROSS,141511328,null,02/08/2019 16:51:21,18,null,25472040,CGST 9%@ SGST 9%,TDS 2.0%,2830226.56,1,1,141511328
2019-2020,00313/19-20,313,2019-2020,A004/2019-20,CGST,12736020,null,02/08/2019 16:51:21,18,null,25472040,CGST 9%@ SGST 9%,TDS 2.0%,2830226.56,1,1,141511328
2019-2020,00313/19-20,313,2019-2020,A004/2019-20,SGST,12736020,null,02/08/2019 16:51:21,18,null,25472040,CGST 9%@ SGST 9%,TDS 2.0%,2830226.56,1,1,141511328
2019-2020,00213/19-20,213,2019-2020,A003/2019-20,GROSS,7636773,null,17/06/2019 16:01:54,18,null,1374620,CGST 9%@ SGST 9%,TDS 2.0%,152735.46,1,1,7636773
2019-2020,00213/19-20,213,2019-2020,A003/2019-20,CGST,687310,null,17/06/2019 16:01:54,18,null,1374620,CGST 9%@ SGST 9%,TDS 2.0%,152735.46,1,1,7636773
2019-2020,00213/19-20,213,2019-2020,A003/2019-20,SGST,687310,null,17/06/2019 16:01:54,18,null,1374620,CGST 9%@ SGST 9%,TDS 2.0%,152735.46,1,1,7636773
2019-2020,00072/19-20,72,2019-2020,A001/2019-20,GROSS,79473239,null,01/05/2019 13:23:42,18,null,14305184,CGST 9%@ SGST 9%,TDS 2.0%,1589464.78,1,1,79473239
2019-2020,00072/19-20,72,2019-2020,A001/2019-20,CGST,7152592,null,01/05/2019 13:23:42,18,null,14305184,CGST 9%@ SGST 9%,TDS 2.0%,1589464.78,1,1,79473239
2019-2020,00072/19-20,72,2019-2020,A001/2019-20,SGST,7152592,null,01/05/2019 13:23:42,18,null,14305184,CGST 9%@ SGST 9%,TDS 2.0%,1589464.78,1,1,79473239
2019-2020,00257/19-20,257,2019-2020,A003/2019-20,GROSS,31957639,null,09/07/2019 10:58:35,18,null,5752376,CGST 9%@ SGST 9%,TDS 2.0%,639152.78,1,1,31957639
2019-2020,00257/19-20,257,2019-2020,A003/2019-20,CGST,2876188,null,09/07/2019 10:58:35,18,null,5752376,CGST 9%@ SGST 9%,TDS 2.0%,639152.78,1,1,31957639
2019-2020,00257/19-20,257,2019-2020,A003/2019-20,SGST,2876188,null,09/07/2019 10:58:35,18,null,5752376,CGST 9%@ SGST 9%,TDS 2.0%,639152.78,1,1,31957639
2019-2020,00429/19-20,429,2019-2020,A007/2019-20,GROSS,86743025,null,01/10/2019 14:38:04,18,null,15613744,CGST 9%@ SGST 9%,TDS 2.0%,1734860.5,1,1,86743025
2019-2020,00429/19-20,429,2019-2020,A007/2019-20,CGST,7806872,null,01/10/2019 14:38:04,18,null,15613744,CGST 9%@ SGST 9%,TDS 2.0%,1734860.5,1,1,86743025
2019-2020,00429/19-20,429,2019-2020,A007/2019-20,SGST,7806872,null,01/10/2019 14:38:04,18,null,15613744,CGST 9%@ SGST 9%,TDS 2.0%,1734860.5,1,1,86743025
2019-2020,00406/19-20,406,2019-2020,A006/2019-20,GROSS,143090494,null,16/09/2019 12:43:28,18,null,25756288,CGST 9%@ SGST 9%,TDS 2.0%,2861809.88,1,1,143090494
2019-2020,00406/19-20,406,2019-2020,A006/2019-20,CGST,12878144,null,16/09/2019 12:43:28,18,null,25756288,CGST 9%@ SGST 9%,TDS 2.0%,2861809.88,1,1,143090494
2019-2020,00406/19-20,406,2019-2020,A006/2019-20,SGST,12878144,null,16/09/2019 12:43:28,18,null,25756288,CGST 9%@ SGST 9%,TDS 2.0%,2861809.88,1,1,143090494
2019-2020,00408/19-20,408,2019-2020,A006/2019-20,GROSS,11958155,null,17/09/2019 15:45:30,18,null,2152468,CGST 9%@ SGST 9%,TDS 2.0%,239163.1,1,1,11958155
2019-2020,00408/19-20,408,2019-2020,A006/2019-20,CGST,1076234,null,17/09/2019 15:45:30,18,null,2152468,CGST 9%@ SGST 9%,TDS 2.0%,239163.1,1,1,11958155
2019-2020,00408/19-20,408,2019-2020,A006/2019-20,SGST,1076234,null,17/09/2019 15:45:30,18,null,2152468,CGST 9%@ SGST 9%,TDS 2.0%,239163.1,1,1,11958155
2019-2020,00010/19-20,10,2019-2020,A001/2019-20,GROSS,9799671,null,16/04/2019 12:44:12,18,null,1763940,CGST 9%@ SGST 9%,TDS 2.0%,195993.42,1,1,9799671
2019-2020,00010/19-20,10,2019-2020,A001/2019-20,CGST,881970,null,16/04/2019 12:44:12,18,null,1763940,CGST 9%@ SGST 9%,TDS 2.0%,195993.42,1,1,9799671
2019-2020,00010/19-20,10,2019-2020,A001/2019-20,SGST,881970,null,16/04/2019 12:44:12,18,null,1763940,CGST 9%@ SGST 9%,TDS 2.0%,195993.42,1,1,9799671
2019-2020,00002/19-20,2,2019-2020,A002/2018-19,GROSS,74521620,null,15/04/2019 17:29:34,18,null,13413892,CGST 9%@ SGST 9%,TDS 0.0%,0,1,1,74521620
2019-2020,00002/19-20,2,2019-2020,A002/2018-19,CGST,6706946,null,15/04/2019 17:29:34,18,null,13413892,CGST 9%@ SGST 9%,TDS 0.0%,0,1,1,74521620
2019-2020,00002/19-20,2,2019-2020,A002/2018-19,SGST,6706946,null,15/04/2019 17:29:34,18,null,13413892,CGST 9%@ SGST 9%,TDS 0.0%,0,1,1,74521620
2019-2020,00239/19-20,239,2019-2020,A003/2019-20,GROSS,132860285,null,01/07/2019 15:09:26,18,null,23914852,CGST 9%@ SGST 9%,TDS 2.0%,2657205.7,1,1,132860285
2019-2020,00239/19-20,239,2019-2020,A003/2019-20,CGST,11957426,null,01/07/2019 15:09:26,18,null,23914852,CGST 9%@ SGST 9%,TDS 2.0%,2657205.7,1,1,132860285
2019-2020,00239/19-20,239,2019-2020,A003/2019-20,SGST,11957426,null,01/07/2019 15:09:26,18,null,23914852,CGST 9%@ SGST 9%,TDS 2.0%,2657205.7,1,1,132860285
2018-2019,00622/18-19,622,2018-2019,A002/2018-19,GROSS,81407551,null,01/04/2019 17:50:45,18,null,14653360,CGST 9%@ SGST 9%,TDS 0.0%,null,1,1,81407551
2018-2019,00622/18-19,622,2018-2019,A002/2018-19,CGST,7326680,null,01/04/2019 17:50:45,18,null,14653360,CGST 9%@ SGST 9%,TDS 0.0%,null,1,1,81407551
2018-2019,00622/18-19,622,2018-2019,A002/2018-19,SGST,7326680,null,01/04/2019 17:50:45,18,null,14653360,CGST 9%@ SGST 9%,TDS 0.0%,null,1,1,81407551
2019-2020,00315/19-20,315,2019-2020,A004/2019-20,GROSS,29806820,null,07/08/2019 16:01:13,18,null,5365228,CGST 9%@ SGST 9%,TDS 2.0%,596136.4,1,1,29806820
2019-2020,00315/19-20,315,2019-2020,A004/2019-20,CGST,2682614,null,07/08/2019 16:01:13,18,null,5365228,CGST 9%@ SGST 9%,TDS 2.0%,596136.4,1,1,29806820
2019-2020,00315/19-20,315,2019-2020,A004/2019-20,SGST,2682614,null,07/08/2019 16:01:13,18,null,5365228,CGST 9%@ SGST 9%,TDS 2.0%,596136.4,1,1,29806820
2019-2020,00171/19-20,171,2019-2020,A002/2019-20,GROSS,88131531,null,01/06/2019 14:26:02,18,null,15863676,CGST 9%@ SGST 9%,TDS 2.0%,1762630.62,1,1,88131531
2019-2020,00171/19-20,171,2019-2020,A002/2019-20,CGST,7931838,null,01/06/2019 14:26:02,18,null,15863676,CGST 9%@ SGST 9%,TDS 2.0%,1762630.62,1,1,88131531
2019-2020,00171/19-20,171,2019-2020,A002/2019-20,SGST,7931838,null,01/06/2019 14:26:02,18,null,15863676,CGST 9%@ SGST 9%,TDS 2.0%,1762630.62,1,1,88131531
2019-2020,00135/19-20,135,2019-2020,A002/2019-20,GROSS,34242903,null,17/05/2019 17:08:28,18,null,6163722,CGST 9%@ SGST 9%,TDS 2.0%,684858.06,1,1,34242903
2019-2020,00135/19-20,135,2019-2020,A002/2019-20,CGST,3081861,null,17/05/2019 17:08:28,18,null,6163722,CGST 9%@ SGST 9%,TDS 2.0%,684858.06,1,1,34242903
2019-2020,00135/19-20,135,2019-2020,A002/2019-20,SGST,3081861,null,17/05/2019 17:08:28,18,null,6163722,CGST 9%@ SGST 9%,TDS 2.0%,684858.06,1,1,34242903
2019-2020,00347/19-20,347,2019-2020,A006/2019-20,GROSS,14597030,null,03/09/2019 12:43:59,18,null,2627466,CGST 9%@ SGST 9%,TDS 2.0%,291940.6,1,1,14597030
2019-2020,00347/19-20,347,2019-2020,A006/2019-20,CGST,1313733,null,03/09/2019 12:43:59,18,null,2627466,CGST 9%@ SGST 9%,TDS 2.0%,291940.6,1,1,14597030
2019-2020,00347/19-20,347,2019-2020,A006/2019-20,SGST,1313733,null,03/09/2019 12:43:59,18,null,2627466,CGST 9%@ SGST 9%,TDS 2.0%,291940.6,1,1,14597030
2019-2020,00665/19-20,665,2019-2020,A011/2019-20,GROSS,139303867,null,16/01/2020 12:39:15,18,null,25074696,CGST 9%@ SGST 9%,TDS 2.0%,2786077.34,1,1,139303867
