COMPANY_CD,FINANCIAL_YEAR,BU_STATE_TIN,INVOICE_SEQ,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT
RIL,2016-2017,520,null,O,INVOICE-15012017-RIL-Patalganga-C-520,23,16/01/2017 00:00:00,null,null,null,null,null,null,null,null
RIL,2016-2017,520,null,D,INVOICE-15012017-RIL-Patalganga-C-520,23,16/01/2017 00:00:00,null,null,null,null,null,null,null,null
RIL,2016-2017,520,null,T,INVOICE-15012017-RIL-Patalganga-C-520,23,16/01/2017 00:00:00,null,null,null,null,null,null,null,null
RIL,2016-2017,516,null,O,INVOICE-15012017-RIL-Hazira-C-516,23,16/01/2017 00:00:00,null,null,null,null,null,null,null,null
RIL,2016-2017,516,null,D,INVOICE-15012017-RIL-Hazira-C-516,23,16/01/2017 00:00:00,null,null,null,null,null,null,null,null
RIL,2016-2017,516,null,T,INVOICE-15012017-RIL-Hazira-C-516,23,16/01/2017 00:00:00,null,null,null,null,null,null,null,null
RIL,2016-2017,517,null,O,INVOICE-15012017-RIL-Jamnagar-C-517,23,16/01/2017 00:00:00,null,null,null,null,null,null,null,null
RIL,2016-2017,517,null,D,INVOICE-15012017-RIL-Jamnagar-C-517,23,16/01/2017 00:00:00,null,null,null,null,null,null,null,null
RIL,2016-2017,517,null,T,INVOICE-15012017-RIL-Jamnagar-C-517,23,16/01/2017 00:00:00,null,null,null,null,null,null,null,null
RIL,2016-2017,521,null,O,INVOICE-15012017-RIL-Naroda-C-521,23,16/01/2017 00:00:00,null,null,null,null,null,null,null,null
RIL,2016-2017,521,null,D,INVOICE-15012017-RIL-Naroda-C-521,23,16/01/2017 00:00:00,null,null,null,null,null,null,null,null
RIL,2016-2017,521,null,T,INVOICE-15012017-RIL-Naroda-C-521,23,16/01/2017 00:00:00,null,null,null,null,null,null,null,null
RIL,2016-2017,518,null,O,INVOICE-15012017-RIL-Vadodara-C-518,23,16/01/2017 00:00:00,null,null,null,null,null,null,null,null
RIL,2016-2017,518,null,D,INVOICE-15012017-RIL-Vadodara-C-518,23,16/01/2017 00:00:00,null,null,null,null,null,null,null,null
RIL,2016-2017,518,null,T,INVOICE-15012017-RIL-Vadodara-C-518,23,16/01/2017 00:00:00,null,null,null,null,null,null,null,null
RIL,2016-2017,519,null,O,INVOICE-15012017-RIL-RCP-C-519,23,16/01/2017 00:00:00,null,null,null,null,null,null,null,null
