COMPANY_CD,INVOICE_SEQ,INVOICE_TYPE,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,PDF_CONTENT,SF_GEN_DT,SIGNED_ENT_BY,SUPPLIER_CD
2,RCP0003/2018-19,COSTR,2018-2019,O,INVOICE-X-2018-2019-3-2-O.pdf,null,11/06/2018,null,null,null,null,null,null,null,null,1
2,RCL0003/2018-19,COSTR,2018-2019,D,INVOICE-X-2018-2019-3-1-D.pdf,null,18/05/2018,null,null,null,null,null,null,null,null,2
2,RCL0003/2018-19,COSTR,2018-2019,O,INVOICE-X-2018-2019-3-1-O.pdf,null,18/05/2018,null,null,null,null,null,null,null,null,2
2,RCP0003/2019-20,COSTR,2019-2020,D,INVOICE-X-2019-2020-3-2-D.pdf,null,29/05/2019,null,null,null,null,null,null,null,null,1
2,RCP0003/2019-20,COSTR,2019-2020,O,INVOICE-X-2019-2020-3-2-O.pdf,null,29/05/2019,null,null,null,null,null,null,null,null,1
2,RCL0003/2019-20,COSTR,2019-2020,D,INVOICE-X-2019-2020-3-1-D.pdf,null,29/05/2019,null,null,null,null,null,null,null,null,2
2,RCL0003/2019-20,COSTR,2019-2020,O,INVOICE-X-2019-2020-3-1-O.pdf,null,29/05/2019,null,null,null,null,null,null,null,null,2
2,RCP0003/24-25,COSTR,2024-2025,O,INVOICE-X-2024-2025-3-2-O.pdf,null,12/02/2025,null,null,null,null,null,null,null,null,1
2,00030/19-20,SFA,2019-2020,D,INVOICE-Z-2019-2020-30-1-D.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00030/19-20,SFA,2019-2020,O,INVOICE-Z-2019-2020-30-1-O.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00030/19-20,SFA,2019-2020,T,INVOICE-Z-2019-2020-30-1-T.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00030/2017-18/P,SFA,2017-2018,D,INVOICE-Z-2017-2018-30-2-D.pdf,null,21/12/2017,null,null,null,null,null,null,null,null,1
2,00030/2017-18/P,SFA,2017-2018,O,INVOICE-Z-2017-2018-30-2-O.pdf,null,21/12/2017,null,null,null,null,null,null,null,null,1
2,00030/2017-18/P,SFA,2017-2018,T,INVOICE-Z-2017-2018-30-2-T.pdf,null,21/12/2017,null,null,null,null,null,null,null,null,1
2,00030/2018-19/P,HS,2018-2019,D,INVOICE-2-2018-2019-30-2-D.pdf,null,01/08/2018,null,null,null,null,null,null,null,null,1
2,00030/2018-19/P,HS,2018-2019,O,INVOICE-2-2018-2019-30-2-O.pdf,null,01/08/2018,null,null,null,null,null,null,null,null,1
2,00030/2019-20/P,HSA,2019-2020,D,INVOICE-1-2019-2020-30-2-D.pdf,null,08/07/2019,null,null,null,null,null,null,null,null,1
2,00030/2019-20/P,HSA,2019-2020,O,INVOICE-1-2019-2020-30-2-O.pdf,null,08/07/2019,null,null,null,null,null,null,null,null,1
2,00031/19-20,SFA,2019-2020,D,INVOICE-Z-2019-2020-31-1-D.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00031/19-20,SFA,2019-2020,O,INVOICE-Z-2019-2020-31-1-O.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00031/19-20,SFA,2019-2020,T,INVOICE-Z-2019-2020-31-1-T.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00031/2017-18/P,HSA,2017-2018,D,INVOICE-1-2017-2018-31-2-D.pdf,null,28/12/2017,null,null,null,null,null,null,null,null,1
2,00031/2017-18/P,HSA,2017-2018,O,INVOICE-1-2017-2018-31-2-O.pdf,null,28/12/2017,null,null,null,null,null,null,null,null,1
2,00031/2018-19/P,HSA,2018-2019,D,INVOICE-1-2018-2019-31-2-D.pdf,null,01/08/2018,null,null,null,null,null,null,null,null,1
2,00031/2018-19/P,HSA,2018-2019,O,INVOICE-1-2018-2019-31-2-O.pdf,null,01/08/2018,null,null,null,null,null,null,null,null,1
2,00031/2019-20/P,HSA,2019-2020,D,INVOICE-1-2019-2020-31-2-D.pdf,null,08/07/2019,null,null,null,null,null,null,null,null,1
2,00031/2019-20/P,HSA,2019-2020,O,INVOICE-1-2019-2020-31-2-O.pdf,null,08/07/2019,null,null,null,null,null,null,null,null,1
2,00032/19-20,SFA,2019-2020,D,INVOICE-Z-2019-2020-32-1-D.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
