

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(06-FEB-2025 11:27:12)
 
COMPANY_CD,CD,ABBR,SEQ,TIMESTAMP
2 ,6 , RIL , 1, 	(06-FEB-2025 11:27:14)
2 ,6 , RIL , 2, 	(06-FEB-2025 11:27:14)
2 ,5 , MGL , 1, 	(06-FEB-2025 11:27:14)
2 ,9 , GSPCL , 1, 	(06-FEB-2025 11:27:14)
2 ,10 , Gail , 1, 	(06-FEB-2025 11:27:14)
2 ,10 , Gail , 2, 	(06-FEB-2025 11:27:14)
2 ,11 , BPL , 1, 	(06-FEB-2025 11:27:14)
2 ,12 , EPL , 1, 	(06-FEB-2025 11:27:14)
2 ,13 , ESL , 1, 	(06-FEB-2025 11:27:14)
2 ,14 , NTPC , 1, 	(06-FEB-2025 11:27:14)
2 ,15 , KRIBHCO , 1, 	(06-FEB-2025 11:27:14)
2 ,16 , DFPCL , 1, 	(06-FEB-2025 11:27:14)
2 ,17 , AIGL , 1, 	(06-FEB-2025 11:27:14)
2 ,18 , ESEZ , 1, 	(06-FEB-2025 11:27:14)
2 ,19 , KSFL , 1, 	(06-FEB-2025 11:27:14)
2 ,20 , MAHAGENCO , 1, 	(06-FEB-2025 11:27:14)
2 ,21 , NPL , 1, 	(06-FEB-2025 11:27:14)
2 ,22 , SIGIL , 1, 	(06-FEB-2025 11:27:14)
2 ,24 , VIL , 1, 	(06-FEB-2025 11:27:14)
2 ,25 , VSIL , 1, 	(06-FEB-2025 11:27:14)
2 ,26 , GGCL , 1, 	(06-FEB-2025 11:27:14)
2 ,27 , TPL , 1, 	(06-FEB-2025 11:27:14)
2 ,28 , WMSL , 1, 	(06-FEB-2025 11:27:14)
2 ,29 , MNGL , 1, 	(06-FEB-2025 11:27:14)
2 ,30 , IGL , 1, 	(06-FEB-2025 11:27:14)
2 ,31 , BPCL , 1, 	(06-FEB-2025 11:27:14)
2 ,31 , BPCL , 2, 	(06-FEB-2025 11:27:14)
2 ,32 , TEL , 1, 	(06-FEB-2025 11:27:14)
2 ,33 , HPCL , 1, 	(06-FEB-2025 11:27:14)
2 ,33 , HPCL , 2, 	(06-FEB-2025 11:27:14)
2 ,34 , JSW , 1, 	(06-FEB-2025 11:27:14)
2 ,3 , BGL , 1, 	(06-FEB-2025 11:27:14)
2 ,  , GSFC , 1, 	(06-FEB-2025 11:27:14)	 (Not Inserted)
2 ,37 , H-Energy , 1, 	(06-FEB-2025 11:27:14)
2 ,38 , SIMPL , 1, 	(06-FEB-2025 11:27:14)
2 ,40 , ATGL , 1, 	(06-FEB-2025 11:27:14)
2 ,42 , AMNS , 1, 	(06-FEB-2025 11:27:14)
2 ,42 , AMNS , 2, 	(06-FEB-2025 11:27:14)
2 ,43 , SEMTIPL , 1, 	(06-FEB-2025 11:27:14)
2 ,43 , SEMTIPL , 2, 	(06-FEB-2025 11:27:14)
2 ,44 , SGIPL , 1, 	(06-FEB-2025 11:27:14)
2 ,45 , VGL , 1, 	(06-FEB-2025 11:27:14)
2 ,46 , PGPGPL , 1, 	(06-FEB-2025 11:27:14)
2 ,49 , HCG , 1, 	(06-FEB-2025 11:27:14)
2 ,50 , GGL , 1, 	(06-FEB-2025 11:27:14)
2 ,51 , CFC , 1, 	(06-FEB-2025 11:27:14)
2 ,52 , IFFCO , 1, 	(06-FEB-2025 11:27:14)
2 ,53 , HGL-RLNG , 1, 	(06-FEB-2025 11:27:14)
2 ,54 , PipeInfra , 1, 	(06-FEB-2025 11:27:14)
2 ,54 , PipeInfra , 2, 	(06-FEB-2025 11:27:14)
2 ,56 , NFL-Nangal , 1, 	(06-FEB-2025 11:27:14)
2 ,57 , HSIL , 1, 	(06-FEB-2025 11:27:14)
2 ,58 , VVF , 1, 	(06-FEB-2025 11:27:14)
2 ,59 , KFL , 1, 	(06-FEB-2025 11:27:14)
2 ,60 , BIL , 1, 	(06-FEB-2025 11:27:14)
2 ,61 , RIPL , 1, 	(06-FEB-2025 11:27:14)
2 ,62 , CP , 1, 	(06-FEB-2025 11:27:14)
2 ,63 , HHFG DLNG , 1, 	(06-FEB-2025 11:27:14)
2 ,64 , VWPL , 1, 	(06-FEB-2025 11:27:14)
