

<<ROLLBACK_START>>,<<FMS_SUPPLY_CONT_PLANT_CHRG>>,,,,,,, 	(19-MAY-2025 14:08:24)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,PLANT_SEQ_NO,EFF_DT,CHARGE_ABBR, TIMESTAMP

TOTAL DATA DELETED :, 0,,,,,,, 	(19-MAY-2025 14:08:24)
 
<<ROLLBACK_END>>,<<FMS_SUPPLY_CONT_PLANT_CHRG()>>,,,,,,, 	(19-MAY-2025 14:08:24)
 

<<ROLLBACK_START>>,<<FMS_SUPPLY_CONT_DCQ_DTL>>,,,,,,, 	(19-MAY-2025 14:08:24)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,SEQ_NO, TIMESTAMP

TOTAL DATA DELETED :, 0,,,,,,, 	(19-MAY-2025 14:08:24)
 
<<ROLLBACK_END>>,<<FMS_SUPPLY_CONT_DCQ_DTL()>>,,,,,,, 	(19-MAY-2025 14:08:24)
 

<<ROLLBACK_START>>,<<FMS_SUPPLY_BILLING_DTL>>,,,,,,,, 	(19-MAY-2025 14:08:24)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,EFF_DT, PLANT_SEQ_NO,TIMESTAMP

TOTAL DATA DELETED :, 0,,,,,,,, 	(19-MAY-2025 14:08:26)
 
<<ROLLBACK_END>>,<<FMS_SUPPLY_BILLING_DTL()>>,,,,,,,, 	(19-MAY-2025 14:08:26)
 
