

<<ROLLBACK_START>>,<<FMS_HOLIDAY_DTL()>>,, 	(15-MAR-2025 17:28:41)
 
HOLIDAY_DATE,HOLIDAY_NAME,STATE_TIN,TIMESTAMP
16/02/2025 00:00:00,SUNDAY,12, 	(15-MAR-2025 17:28:41)
14/01/2022 00:00:00,Makar Sankranti/ Pongal,27, 	(15-MAR-2025 17:28:41)
26/01/2022 00:00:00,Republic Day,27, 	(15-MAR-2025 17:28:41)
01/03/2022 00:00:00,Mahashivratri,27, 	(15-MAR-2025 17:28:41)
18/03/2022 00:00:00,Holi,27, 	(15-MAR-2025 17:28:41)
15/04/2022 00:00:00,Good Friday,27, 	(15-MAR-2025 17:28:41)
03/05/2022 00:00:00,Id-Ul-Fitr*/Ramadan,27, 	(15-MAR-2025 17:28:41)
15/08/2022 00:00:00,Independance Day,27, 	(15-MAR-2025 17:28:41)
19/08/2022 00:00:00,Krishna Jayanthi/ Janmashtami,27, 	(15-MAR-2025 17:28:41)
31/08/2022 00:00:00,Ganesh Chaturthi,27, 	(15-MAR-2025 17:28:41)
05/10/2022 00:00:00,Durga Puja (Vijay Dashmi)/ Dussehra,27, 	(15-MAR-2025 17:28:41)
24/10/2022 00:00:00,Naraka Chaturdashi/ Diwali,27, 	(15-MAR-2025 17:28:41)
26/10/2022 00:00:00,Diwali - Bhai Duj,27, 	(15-MAR-2025 17:28:41)
10/08/2021 00:00:00,Ganesh Chaturthi,27, 	(15-MAR-2025 17:28:41)
15/10/2021 00:00:00,Durga Puja / Dasera,27, 	(15-MAR-2025 17:28:41)
10/09/2021 00:00:00,Ganesh Chaturthi,27, 	(15-MAR-2025 17:28:41)
04/11/2021 00:00:00,Diwali,27, 	(15-MAR-2025 17:28:41)
05/11/2021 00:00:00,Balipadyami Deepavali,27, 	(15-MAR-2025 17:28:41)

TOTAL DATA DELETED : ,18,, 	(15-MAR-2025 17:28:41)
 
<<ROLLBACK_END>>,<<FMS_HOLIDAY_DTL()>>,, 	(15-MAR-2025 17:28:41)
 
