

<<ROLLBACK_START>>,<<FMS_COUNTERPARTY_BU_TAX()>>,,,, 	(18-FEB-2025 10:46:46)
 
COMPANY_CD,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,STAT_CD,TIMESTAMP
2,232,S,1,1001, 	(18-FEB-2025 10:46:46)
2,264,S,1,1001, 	(18-FEB-2025 10:46:46)
2,232,V,1,1001, 	(18-FEB-2025 10:46:46)
2,265,H,1,1001, 	(18-FEB-2025 10:46:46)

TOTAL DATA DELETED : ,4,,,, 	(18-FEB-2025 10:46:46)
 

<<ROLLBACK_END>>,<<FMS_COUNTERPARTY_BU_TAX()>>,,,, 	(18-FEB-2025 10:46:46)
 
