

<<ROLLBACK_START>>,<<FMS_ENTITY_TAX_STRUCT_DTL()>>,,,,, 	(26-FEB-2025 11:50:51)
 
COMPANY_CD,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,BU_UNIT,EFF_DT,TIMESTAMP
2,9,C,1,1,01/04/2009 00:00:00, 	(26-FEB-2025 11:50:51)
2,280,C,1,1,31/05/2011 00:00:00, 	(26-FEB-2025 11:50:51)
2,12,C,1,1,20/06/2013 00:00:00, 	(26-FEB-2025 11:50:51)
2,269,C,1,1,06/08/2014 00:00:00, 	(26-FEB-2025 11:50:51)
1,2,C,1,3,01/01/2024 00:00:00, 	(26-FEB-2025 11:50:51)	 (Not Deleted)
1,2,C,2,3,01/01/2024 00:00:00, 	(26-FEB-2025 11:50:51)	 (Not Deleted)
1,2,T,1,3,01/10/2024 00:00:00, 	(26-FEB-2025 11:50:51)	 (Not Deleted)
1,5,C,1,3,01/01/2024 00:00:00, 	(26-FEB-2025 11:50:51)	 (Not Deleted)
1,5,C,2,3,01/01/2024 00:00:00, 	(26-FEB-2025 11:50:51)	 (Not Deleted)
1,6,C,1,3,28/02/2024 00:00:00, 	(26-FEB-2025 11:50:51)	 (Not Deleted)
1,6,C,2,3,10/04/2024 00:00:00, 	(26-FEB-2025 11:50:51)	 (Not Deleted)
1,6,T,1,3,01/10/2024 00:00:00, 	(26-FEB-2025 11:50:51)	 (Not Deleted)
1,8,T,1,3,01/12/2023 00:00:00, 	(26-FEB-2025 11:50:51)	 (Not Deleted)
1,8,T,2,3,01/12/2023 00:00:00, 	(26-FEB-2025 11:50:51)	 (Not Deleted)
2,25,C,3,2,09/12/2019 00:00:00, 	(26-FEB-2025 11:50:51)	 (Not Deleted)

TOTAL DATA DELETED : ,4,,,,, 	(26-FEB-2025 11:50:51)
 

<<ROLLBACK_END>>,<<FMS_ENTITY_TAX_STRUCT_DTL()>>,,,,, 	(26-FEB-2025 11:50:51)
 
