

<<ROLLBACK_START>>,<<FMS_ENTITY_TAX_STRUCT_DTL()>>,,,,, 	(26-FEB-2025 11:52:38)
 
COMPANY_CD,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,BU_UNIT,EFF_DT,TIMESTAMP
1,2,C,1,3,01/01/2024 00:00:00, 	(26-FEB-2025 11:52:38)	 (Not Deleted)
1,2,C,2,3,01/01/2024 00:00:00, 	(26-FEB-2025 11:52:38)	 (Not Deleted)
1,2,T,1,3,01/10/2024 00:00:00, 	(26-FEB-2025 11:52:38)	 (Not Deleted)
1,5,C,1,3,01/01/2024 00:00:00, 	(26-FEB-2025 11:52:38)	 (Not Deleted)
1,5,C,2,3,01/01/2024 00:00:00, 	(26-FEB-2025 11:52:38)	 (Not Deleted)
1,6,C,1,3,28/02/2024 00:00:00, 	(26-FEB-2025 11:52:38)	 (Not Deleted)
1,6,C,2,3,10/04/2024 00:00:00, 	(26-FEB-2025 11:52:38)	 (Not Deleted)
1,6,T,1,3,01/10/2024 00:00:00, 	(26-FEB-2025 11:52:38)	 (Not Deleted)
1,8,T,1,3,01/12/2023 00:00:00, 	(26-FEB-2025 11:52:38)	 (Not Deleted)
1,8,T,2,3,01/12/2023 00:00:00, 	(26-FEB-2025 11:52:38)	 (Not Deleted)
2,25,C,3,2,09/12/2019 00:00:00, 	(26-FEB-2025 11:52:38)	 (Not Deleted)

TOTAL DATA DELETED : ,0,,,,, 	(26-FEB-2025 11:52:38)
 

<<ROLLBACK_END>>,<<FMS_ENTITY_TAX_STRUCT_DTL()>>,,,,, 	(26-FEB-2025 11:52:38)
 
