

<<ROLLBACK_START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(26-FEB-2025 12:05:04)
 
COMPANY_CD,COUNTERPARTY_CD,SEQ_NO,ENTIY,TIMESTAMP
2,284,1,C, 	(26-FEB-2025 12:05:04)
2,291,1,T, 	(26-FEB-2025 12:05:04)
2,324,1,H, 	(26-FEB-2025 12:05:04)
2,325,1,H, 	(26-FEB-2025 12:05:04)
2,232,1,V, 	(26-FEB-2025 12:05:04)
2,126,1,S, 	(26-FEB-2025 12:05:04)
2,264,1,S, 	(26-FEB-2025 12:05:04)
1,264,1,S, 	(26-FEB-2025 12:05:04)	 (Not Deleted)

TOTAL DATA DELETED : ,7,,, 	(26-FEB-2025 12:05:04)
 
<<ROLLBACK_END>>,<<FMS_ENTITY_REQ_DTL()>>,,, 	(26-FEB-2025 12:05:04)
 
