

<<ROLLBACK_START>>,<<FMS_METER_MST()>>,,,, 	(10-MAR-2025 11:38:38)
 
COMPANY_CD,COUNTERPARTY_CD,PLANT_SEQ,METER_TYPE,METER_SEQ,TIMESTAMP
2,29,1,R,1, 	(10-MAR-2025 11:38:38)
2,29,1,R,2, 	(10-MAR-2025 11:38:38)
2,45,1,R,1, 	(10-MAR-2025 11:38:38)
2,45,2,R,1, 	(10-MAR-2025 11:38:38)
2,45,3,R,1, 	(10-MAR-2025 11:38:38)
2,45,4,R,1, 	(10-MAR-2025 11:38:38)
2,45,4,R,2, 	(10-MAR-2025 11:38:38)
2,4,1,R,1, 	(10-MAR-2025 11:38:38)
2,29,3,R,3, 	(10-MAR-2025 11:38:38)
2,53,1,R,1, 	(10-MAR-2025 11:38:38)
2,4,2,R,1, 	(10-MAR-2025 11:38:38)
2,4,2,R,2, 	(10-MAR-2025 11:38:38)
2,4,3,R,1, 	(10-MAR-2025 11:38:38)
2,4,3,R,2, 	(10-MAR-2025 11:38:38)
2,4,4,R,1, 	(10-MAR-2025 11:38:38)
2,4,4,R,2, 	(10-MAR-2025 11:38:38)
2,4,5,R,1, 	(10-MAR-2025 11:38:38)
2,4,7,R,1, 	(10-MAR-2025 11:38:38)
2,4,7,R,2, 	(10-MAR-2025 11:38:38)
2,4,8,R,1, 	(10-MAR-2025 11:38:38)
2,4,8,R,2, 	(10-MAR-2025 11:38:38)
2,53,1,R,2, 	(10-MAR-2025 11:38:38)
2,29,3,R,4, 	(10-MAR-2025 11:38:38)
2,29,3,R,5, 	(10-MAR-2025 11:38:38)
2,29,4,R,1, 	(10-MAR-2025 11:38:38)
2,29,4,R,2, 	(10-MAR-2025 11:38:38)
2,29,6,R,1, 	(10-MAR-2025 11:38:38)
2,29,6,R,2, 	(10-MAR-2025 11:38:38)
2,29,7,R,1, 	(10-MAR-2025 11:38:38)
2,29,8,R,1, 	(10-MAR-2025 11:38:38)
2,29,8,R,2, 	(10-MAR-2025 11:38:38)
2,168,1,R,1, 	(10-MAR-2025 11:38:38)
2,168,2,R,1, 	(10-MAR-2025 11:38:38)
2,134,1,R,1, 	(10-MAR-2025 11:38:38)
2,134,1,R,2, 	(10-MAR-2025 11:38:38)
1,3,1,R,1, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
1,4,1,R,1, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
1,4,2,R,1, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
1,4,3,R,1, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
1,5,1,R,1, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
1,6,1,R,1, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,4,1,R,2, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,4,1,R,3, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,4,1,R,4, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,4,1,R,5, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,4,1,R,6, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,4,6,R,1, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,4,6,R,2, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,4,6,R,3, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,4,6,R,4, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,4,6,R,5, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,4,9,R,1, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,4,9,R,2, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,4,9,R,3, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,4,9,R,4, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,4,10,R,1, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,4,11,R,1, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,4,11,R,2, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,4,12,R,1, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,4,13,R,1, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
2,29,1,R,3, 	(10-MAR-2025 11:38:38)	 (Not Deleted)
