

<<ROLLBACK_START>>,<<FMS_METER_MST()>>,,,, 	(03-MAR-2025 10:13:51)
 
COMPANY_CD,COUNTERPARTY_CD,PLANT_SEQ,METER_TYPE,METER_SEQ,TIMESTAMP
1,3,1,R,1, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
1,4,1,R,1, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
1,4,2,R,1, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
1,4,3,R,1, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
1,5,1,R,1, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
1,6,1,R,1, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,4,1,R,2, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,4,1,R,3, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,4,1,R,4, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,4,1,R,5, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,4,1,R,6, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,4,6,R,1, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,4,6,R,2, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,4,6,R,3, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,4,6,R,4, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,4,6,R,5, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,4,9,R,1, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,4,9,R,2, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,4,9,R,3, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,4,9,R,4, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,29,1,R,3, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,29,1,R,4, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,29,1,R,5, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,29,1,R,6, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,29,1,R,7, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,29,1,R,8, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,29,2,R,1, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,29,2,R,2, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,29,2,R,3, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,29,2,R,4, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,29,3,R,1, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,29,3,R,2, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,29,5,R,1, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,29,5,R,2, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,29,5,R,3, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,29,5,R,4, 	(03-MAR-2025 10:13:52)	 (Not Deleted)
2,29,5,R,5, 	(03-MAR-2025 10:13:52)	 (Not Deleted)

TOTAL DATA DELETED : ,0,,,, 	(03-MAR-2025 10:13:52)
 

<<ROLLBACK_END>>,<<FMS_METER_MST()>>,,,, 	(03-MAR-2025 10:13:52)
 
