

<<ROLLBACK_START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(26-FEB-2025 13:10:13)
 
COMPANY_CD,COUNTERPARTY_CD,SEQ_NO,ENTIY,TIMESTAMP
2,284,1,C, 	(26-FEB-2025 13:10:13)
2,291,1,T, 	(26-FEB-2025 13:10:13)
2,324,1,H, 	(26-FEB-2025 13:10:13)
2,325,1,H, 	(26-FEB-2025 13:10:13)
2,265,1,H, 	(26-FEB-2025 13:10:13)
2,232,1,V, 	(26-FEB-2025 13:10:13)
2,126,1,S, 	(26-FEB-2025 13:10:13)
2,264,1,S, 	(26-FEB-2025 13:10:13)
1,264,1,S, 	(26-FEB-2025 13:10:13)	 (Not Deleted)

TOTAL DATA DELETED : ,8,,, 	(26-FEB-2025 13:10:13)
 
<<ROLLBACK_END>>,<<FMS_ENTITY_REQ_DTL()>>,,, 	(26-FEB-2025 13:10:13)
 
