

<<ROLLBACK_START>>,<<FMS_SAC_MST()>>, 	(11-APR-2025 08:56:12)
 
SAC_CD,TIMESTAMP

TOTAL DATA DELETED : ,0, 	(11-APR-2025 08:56:12)
 
<<ROLLBACK_END>>,<<FMS_SAC_MST()>>, 	(11-APR-2025 08:56:12)
 

<<ROLLBACK_START>>,<<FMS_PRODUCT_MOLECULE_MST()>>, 	(11-APR-2025 08:56:12)
 
MOLE_NM,MOLE_ABBR,TIMESTAMP
D6,D6, 	(11-APR-2025 08:56:12)
D6,D6, 	(11-APR-2025 08:56:12)
D6,D6, 	(11-APR-2025 08:56:12)

TOTAL DATA DELETED : ,3, 	(11-APR-2025 08:56:12)
 
<<ROLLBACK_END>>,<<FMS_PRODUCT_MOLECULE_MST()>>, 	(11-APR-2025 08:56:12)
 

<<ROLLBACK_START>>,<<FMS_PRODUCT_MST()>>, 	(11-APR-2025 08:56:12)
 
PROD_NM,PROD_ABBR,PROD_DESC,TIMESTAMP
Domestic Gas (Capped),DOM GAS (CAPPED),Used to identify molecules supplied from DOM gas capped, 	(11-APR-2025 08:56:12)
Regassified LNG,RLNG,, 	(11-APR-2025 08:56:12)
Downstream LNG,DLNG,, 	(11-APR-2025 08:56:12)
Domestic Gas,DOMGAS,, 	(11-APR-2025 08:56:12)

TOTAL DATA DELETED : ,4, 	(11-APR-2025 08:56:12)
 
<<ROLLBACK_END>>,<<FMS_PRODUCT_MST()>>, 	(11-APR-2025 08:56:12)
 

11/08/2022 00:00:00,Raskhabandan,27, 	(11-APR-2025 08:56:12)
31/10/2022 00:00:00,Sardar Vallabhai Birthday,27, 	(11-APR-2025 08:56:12)
18/12/2022 00:00:00,Maha Shivratri,27, 	(11-APR-2025 08:56:12)
26/01/2023 00:00:00,Republic Holiday,27, 	(11-APR-2025 08:56:12)
18/02/2023 00:00:00,Mahashivratri,27, 	(11-APR-2025 08:56:12)
08/03/2023 00:00:00,Holi ,27, 	(11-APR-2025 08:56:12)
30/03/2023 00:00:00,Shree Ram Navmi,27, 	(11-APR-2025 08:56:12)
01/04/2023 00:00:00,Bank closing day,27, 	(11-APR-2025 08:56:12)
04/04/2023 00:00:00,Mahavir Janma Kalyank,27, 	(11-APR-2025 08:56:12)
14/04/2023 00:00:00,Ambedakar Jayanti,27, 	(11-APR-2025 08:56:12)
29/06/2023 00:00:00,Bakri Eid,27, 	(11-APR-2025 08:56:12)
15/08/2023 00:00:00,Indepenance Day,27, 	(11-APR-2025 08:56:12)
07/09/2023 00:00:00,Janmastami,27, 	(11-APR-2025 08:56:12)
19/09/2023 00:00:00,Samvatsari,27, 	(11-APR-2025 08:56:12)
28/09/2023 00:00:00,Eid ,27, 	(11-APR-2025 08:56:12)
02/10/2023 00:00:00,Gandhi Jayanti,27, 	(11-APR-2025 08:56:12)
24/10/2023 00:00:00,Dusshera,27, 	(11-APR-2025 08:56:12)
31/10/2023 00:00:00,Sardar Vallabhai Pate Jayanti,27, 	(11-APR-2025 08:56:12)
14/11/2023 00:00:00,Gujarat New year,27, 	(11-APR-2025 08:56:12)
25/12/2023 00:00:00,Chirstmas,27, 	(11-APR-2025 08:56:12)
26/01/2024 00:00:00,Republic Day,27, 	(11-APR-2025 08:56:12)
08/03/2024 00:00:00,Mahashivratri,27, 	(11-APR-2025 08:56:12)
25/03/2024 00:00:00,Holi,27, 	(11-APR-2025 08:56:12)
29/03/2024 00:00:00,Good Friday,27, 	(11-APR-2025 08:56:12)
01/04/2024 00:00:00,Bank Closing Day,27, 	(11-APR-2025 08:56:12)
11/04/2024 00:00:00,Ramjan,27, 	(11-APR-2025 08:56:12)
17/04/2024 00:00:00,Ram Navambi,27, 	(11-APR-2025 08:56:12)
17/06/2024 00:00:00,Eid,27, 	(11-APR-2025 08:56:12)
15/08/2024 00:00:00,Independence Day,27, 	(11-APR-2025 08:56:12)
19/08/2024 00:00:00,Raksha Bandhan,27, 	(11-APR-2025 08:56:12)
07/09/2024 00:00:00,Samvastari,27, 	(11-APR-2025 08:56:12)
16/09/2024 00:00:00,Eid,27, 	(11-APR-2025 08:56:12)
26/09/2024 00:00:00,Janmastami ,27, 	(11-APR-2025 08:56:12)
02/10/2024 00:00:00,Gandhi Jayanti,27, 	(11-APR-2025 08:56:12)
31/10/2024 00:00:00,Diwali,27, 	(11-APR-2025 08:56:12)
02/11/2024 00:00:00,Guj New Year,27, 	(11-APR-2025 08:56:12)
25/12/2024 00:00:00,Christmas,27, 	(11-APR-2025 08:56:12)
14/01/2025 00:00:00,Makar Sankrati,27, 	(11-APR-2025 08:56:12)
14/03/2025 00:00:00,Dhuleti,27, 	(11-APR-2025 08:56:12)
31/03/2025 00:00:00,Ramajan Eid,27, 	(11-APR-2025 08:56:12)
10/04/2025 00:00:00,Mahavir Jayanti,27, 	(11-APR-2025 08:56:12)
