

<<ROLLBACK_START>>,<<PURCHASE>>, 	(24-JUL-2025 16:24:01)
 

TOTAL DATA DELETED :, 0, 	(24-JUL-2025 16:24:01)
 
<<ROLLBACK_END>>,<<PURCHASE>>, 	(24-JUL-2025 16:24:01)
 

<<ROLLBACK_START>>,<<PURCHASE>>, 	(24-JUL-2025 16:24:18)
 

TOTAL DATA DELETED :, 0, 	(24-JUL-2025 16:24:18)
 
<<ROLLBACK_END>>,<<PURCHASE>>, 	(24-JUL-2025 16:24:18)
 

<<ROLLBACK_START>>,<<PURCHASE>>, 	(24-JUL-2025 16:24:30)
 

TOTAL DATA DELETED :, 0, 	(24-JUL-2025 16:24:30)
 
<<ROLLBACK_END>>,<<PURCHASE>>, 	(24-JUL-2025 16:24:30)
 
