

<<ROLLBACK_START>>,<<PURCHASE>>, 	(14-SEP-2025 14:08:32)
 

TOTAL DATA DELETED :, 0, 	(14-SEP-2025 14:08:33)
 
<<ROLLBACK_END>>,<<PURCHASE>>, 	(14-SEP-2025 14:08:33)
 
