

<<ROLLBACK_START>>,<<FMS_ENTITY_ADDR_MST()>>,,,, 	(26-FEB-2025 10:04:04)
 
COMPANY_CD,COUNTERPARTY_CD,ADRESS_TYPE,ENTITY,EFF_DT,TIMESTAMP
2,228,B,C,14/11/2016 00:00:00, 	(26-FEB-2025 10:04:05)
2,228,C,C,14/11/2016 00:00:00, 	(26-FEB-2025 10:04:05)
2,228,R,C,14/11/2016 00:00:00, 	(26-FEB-2025 10:04:05)
2,160,B,C,14/11/2016 00:00:00, 	(26-FEB-2025 10:04:05)
2,160,C,C,14/11/2016 00:00:00, 	(26-FEB-2025 10:04:05)
2,160,R,C,14/11/2016 00:00:00, 	(26-FEB-2025 10:04:05)
2,19,B,C,13/01/2017 00:00:00, 	(26-FEB-2025 10:04:05)
2,19,C,C,13/01/2017 00:00:00, 	(26-FEB-2025 10:04:05)
2,19,R,C,13/01/2017 00:00:00, 	(26-FEB-2025 10:04:05)
2,20,B,C,18/01/2012 00:00:00, 	(26-FEB-2025 10:04:05)
2,20,C,C,18/01/2012 00:00:00, 	(26-FEB-2025 10:04:05)
2,20,R,C,18/01/2012 00:00:00, 	(26-FEB-2025 10:04:05)
2,20,R,T,18/01/2012 00:00:00, 	(26-FEB-2025 10:04:05)
2,286,B,C,28/07/2017 00:00:00, 	(26-FEB-2025 10:04:05)
2,286,C,C,28/07/2017 00:00:00, 	(26-FEB-2025 10:04:05)
2,286,R,C,28/07/2017 00:00:00, 	(26-FEB-2025 10:04:05)
2,286,R,T,28/07/2017 00:00:00, 	(26-FEB-2025 10:04:05)
2,21,B,C,28/11/2018 00:00:00, 	(26-FEB-2025 10:04:05)
2,21,C,C,28/11/2017 00:00:00, 	(26-FEB-2025 10:04:05)
2,21,R,C,28/11/2017 00:00:00, 	(26-FEB-2025 10:04:05)
2,22,B,C,03/07/2019 00:00:00, 	(26-FEB-2025 10:04:05)
2,22,C,C,03/07/2019 00:00:00, 	(26-FEB-2025 10:04:05)
2,22,R,C,03/07/2019 00:00:00, 	(26-FEB-2025 10:04:05)
2,23,B,C,04/10/2019 00:00:00, 	(26-FEB-2025 10:04:05)
2,23,C,C,04/10/2019 00:00:00, 	(26-FEB-2025 10:04:05)
2,23,R,C,04/10/2019 00:00:00, 	(26-FEB-2025 10:04:05)
2,24,B,C,02/12/2019 00:00:00, 	(26-FEB-2025 10:04:05)
2,24,C,C,02/12/2019 00:00:00, 	(26-FEB-2025 10:04:05)
2,24,R,C,02/12/2019 00:00:00, 	(26-FEB-2025 10:04:05)
2,25,B,C,09/12/2019 00:00:00, 	(26-FEB-2025 10:04:05)
2,25,C,C,09/12/2019 00:00:00, 	(26-FEB-2025 10:04:05)
2,25,R,C,09/12/2019 00:00:00, 	(26-FEB-2025 10:04:05)
2,26,B,C,01/01/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,26,C,C,01/01/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,26,R,C,01/01/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,27,B,C,01/01/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,27,C,C,01/01/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,27,R,C,01/01/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,28,B,C,01/02/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,28,C,C,01/02/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,28,R,C,01/02/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,29,B,C,01/01/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,29,C,C,01/01/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,29,R,C,01/01/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,29,R,R,01/01/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,30,B,C,01/05/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,30,C,C,01/05/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,30,R,C,01/05/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,31,C,C,01/05/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,31,R,C,01/05/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,288,B,C,01/05/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,288,C,C,01/05/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,288,R,C,01/05/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,32,B,C,23/07/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,32,C,C,23/07/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,32,R,C,23/07/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,197,B,C,25/06/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,197,C,C,25/06/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,197,R,C,25/06/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,254,B,C,19/11/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,254,C,C,19/11/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,254,R,C,19/11/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,207,B,C,15/10/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,207,C,C,15/10/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,207,R,C,15/10/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,289,B,C,26/10/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,289,C,C,26/10/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,289,R,C,26/10/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,187,B,C,01/01/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,187,C,C,01/01/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,187,R,C,01/01/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,33,B,C,25/01/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,33,C,C,25/01/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,33,R,C,25/01/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,34,B,C,29/01/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,34,C,C,29/01/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,34,R,C,29/01/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,238,B,C,04/11/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,238,C,C,04/11/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,238,R,C,04/11/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,35,B,C,24/02/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,35,C,C,24/02/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,35,R,C,24/02/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,36,B,C,01/01/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,36,C,C,01/01/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,36,R,C,01/01/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,37,B,C,01/04/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,37,C,C,01/04/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,37,R,C,01/04/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,198,B,C,21/07/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,198,C,C,21/07/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,198,R,C,21/07/2020 00:00:00, 	(26-FEB-2025 10:04:05)
2,220,B,C,23/06/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,220,C,C,23/06/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,220,R,C,29/05/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,257,R,C,18/02/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,233,R,C,18/02/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,279,R,C,17/02/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,193,R,C,17/02/2021 00:00:00, 	(26-FEB-2025 10:04:05)
2,109,R,C,16/06/2021 00:00:00, 	(26-FEB-2025 10:04:05)
