

<<ROLLBACK_START>>,<<FMS_SECTOR_MST()>>, 	(26-FEB-2025 11:08:40)
 
CD,ABBR,TIMESTAMP
91 , MISC CHEM INDU, 	(26-FEB-2025 11:08:41)
92 , CEMENT/BUILD MAT, 	(26-FEB-2025 11:08:41)
93 , BITUMEN/BUILD.MAT, 	(26-FEB-2025 11:08:41)
94 , CIVIL MISCELLANEOUS, 	(26-FEB-2025 11:08:41)
95 , City or Local Natural Gas Distribution, 	(26-FEB-2025 11:08:41)
96 , LDC, 	(26-FEB-2025 11:08:41)

TOTAL DATA DELETED : ,96, 	(26-FEB-2025 11:08:41)
 
<<ROLLBACK_END>>,<<FMS_SECTOR_MST()>>, 	(26-FEB-2025 11:08:41)
 

<<ROLLBACK_START>>,<<FMS_SECTOR_DTL()>>, 	(26-FEB-2025 11:08:41)
 
CD,EFF_DT,TIMESTAMP
1 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
2 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
3 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
4 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
5 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
6 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
7 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
8 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
9 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
10 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
11 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
12 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
13 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
14 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
15 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
16 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
17 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
18 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
19 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
20 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
21 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
22 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
23 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
24 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
25 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
26 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
27 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
28 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
29 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
30 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
31 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
32 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
33 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
34 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
35 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
36 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
37 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
38 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
39 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
40 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
41 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
42 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
43 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
44 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
45 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
46 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
47 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
48 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
49 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
50 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
51 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
52 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
53 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
54 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
55 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
56 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
57 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
58 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
59 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
60 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
61 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
62 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
63 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
64 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
65 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
66 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
67 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
68 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
69 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
70 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
71 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
72 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
73 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
74 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
75 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
76 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
77 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
78 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
79 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
80 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
81 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
82 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
83 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
84 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
85 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
86 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
87 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
88 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
89 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
90 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
91 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
92 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
93 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
94 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
95 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)
96 , 27/08/2010 00:00:00 ,  	(26-FEB-2025 11:08:41)

TOTAL DATA DELETED : ,96, 	(26-FEB-2025 11:08:41)
 
<<ROLLBACK_END>>,<<FMS_SECTOR_DTL()>>, 	(26-FEB-2025 11:08:41)
 
