

<<ROLLBACK_START>>,<<FMS_TRADER_CONT_BU>>,,,,,,, 	(03-APR-2025 19:12:46)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,51,,0,0,,1,I,, 	(03-APR-2025 19:12:46)
2,51,,0,0,,0,I,, 	(03-APR-2025 19:12:46)
2,43,,0,0,,0,I,, 	(03-APR-2025 19:12:46)
2,43,,0,0,,1,I,, 	(03-APR-2025 19:12:46)
2,154,,0,0,,1,D,, 	(03-APR-2025 19:12:46)
2,154,,0,0,,2,D,, 	(03-APR-2025 19:12:46)
2,154,,0,0,,3,D,, 	(03-APR-2025 19:12:46)
2,154,,0,0,,4,D,, 	(03-APR-2025 19:12:46)
2,154,,0,0,,5,D,, 	(03-APR-2025 19:12:46)
2,154,,0,0,,0,D,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,1,D,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,2,D,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,3,D,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,4,D,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,5,D,, 	(03-APR-2025 19:12:46)
2,159,,0,0,,1,D,, 	(03-APR-2025 19:12:46)
2,64,,0,0,,0,D,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,2,I,, 	(03-APR-2025 19:12:46)
2,43,,0,0,,2,I,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,0,I,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,1,I,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,6,D,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,7,D,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,8,D,, 	(03-APR-2025 19:12:46)
2,186,,0,0,,1,D,, 	(03-APR-2025 19:12:46)
2,61,,0,0,,0,I,, 	(03-APR-2025 19:12:46)
2,14,,0,0,,0,I,, 	(03-APR-2025 19:12:46)
2,14,,0,0,,1,I,, 	(03-APR-2025 19:12:46)
2,43,,0,0,,3,I,, 	(03-APR-2025 19:12:46)
2,43,,0,0,,4,I,, 	(03-APR-2025 19:12:46)
2,20,,0,0,,2,D,, 	(03-APR-2025 19:12:46)
2,64,,0,0,,1,D,, 	(03-APR-2025 19:12:46)
2,124,,0,0,,0,I,, 	(03-APR-2025 19:12:46)
2,124,,0,0,,1,I,, 	(03-APR-2025 19:12:46)
2,124,,0,0,,2,I,, 	(03-APR-2025 19:12:46)
2,61,,0,0,,1,I,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,0,D,, 	(03-APR-2025 19:12:46)
2,211,,0,0,,1,I,, 	(03-APR-2025 19:12:46)
2,186,,0,0,,0,D,, 	(03-APR-2025 19:12:46)
2,159,,0,0,,0,D,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,9,D,, 	(03-APR-2025 19:12:46)
2,15,,0,0,,0,D,, 	(03-APR-2025 19:12:46)
2,51,,0,0,,2,I,, 	(03-APR-2025 19:12:46)
2,64,,0,0,,2,D,, 	(03-APR-2025 19:12:46)
2,81,,0,0,,0,I,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,11,D,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,12,D,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,13,D,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,10,D,, 	(03-APR-2025 19:12:46)
2,61,,0,0,,2,I,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,20,D,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,21,D,, 	(03-APR-2025 19:12:46)
2,181,,0,0,,0,I,, 	(03-APR-2025 19:12:46)
2,181,,0,0,,1,I,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,14,D,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,15,D,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,16,D,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,17,D,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,18,D,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,19,D,, 	(03-APR-2025 19:12:46)
2,1,,0,0,,4,I,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,1,,0,0,,4,I,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,15,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,15,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,15,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,20,,0,0,,0,T,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,20,,0,0,,0,T,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,20,,0,0,,1,T,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,20,,0,0,,0,T,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,20,,0,0,,0,T,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,20,,0,0,,1,T,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,20,,0,0,,1,T,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,20,,0,0,,0,T,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,20,,0,0,,0,T,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,20,,0,0,,0,T,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,20,,0,0,,1,T,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,20,,0,0,,0,T,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,20,,0,0,,1,T,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,20,,0,0,,0,T,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,20,,0,0,,0,T,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,20,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,20,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,20,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,20,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,20,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,20,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,43,,0,0,,0,D,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,43,,0,0,,1,D,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
2,110,,1,0,,0,N,,, 	(03-APR-2025 19:12:46)	 (Not Deleted)
