

<<ROLLBACK_START>>,<<FMS_ENTITY_CONTACT_MST()>>,,,,,, 	(01-MAR-2025 16:55:35)
 
COMPANY_CD,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,ADDR_FLAG,TYPE,TIMESTAMP
2,1,C,41,31/01/2018 00:00:00,P8,DLNG, 	(01-MAR-2025 16:55:37)
2,1,C,42,31/01/2018 00:00:00,P2,DLNG, 	(01-MAR-2025 16:55:37)
2,1,C,14,31/01/2018 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:37)
2,1,C,44,31/01/2018 00:00:00,P18,DLNG, 	(01-MAR-2025 16:55:37)
2,1,C,45,31/01/2018 00:00:00,P18,DLNG, 	(01-MAR-2025 16:55:37)
2,1,C,46,31/01/2018 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:37)
2,1,C,47,31/01/2018 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:37)
2,1,C,48,31/01/2018 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:37)
2,1,C,49,31/01/2018 00:00:00,P8,DLNG, 	(01-MAR-2025 16:55:37)
2,2,C,1,01/08/2022 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:37)
2,2,C,2,09/05/2022 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:37)
2,2,C,2,16/07/2009 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:37)
2,2,C,4,16/07/2009 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:37)
2,2,C,5,16/07/2009 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:37)
2,2,C,6,17/08/2011 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:37)
2,2,C,1,01/08/2022 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:37)
2,2,C,2,09/05/2022 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:37)
2,2,C,2,16/07/2009 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:37)
2,2,C,4,16/07/2009 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:37)
2,2,C,5,16/07/2009 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:37)
2,2,C,6,17/08/2011 00:00:00,B,DLNG, 	(01-MAR-2025 16:55:37)
2,3,C,1,01/04/2009 00:00:00,P2,RLNG, 	(01-MAR-2025 16:55:37)
2,3,C,1,21/04/2006 00:00:00,P1,RLNG, 	(01-MAR-2025 16:55:37)
2,3,C,3,21/04/2006 00:00:00,0,RLNG, 	(01-MAR-2025 16:55:37)
2,3,C,4,21/04/2006 00:00:00,0,RLNG, 	(01-MAR-2025 16:55:37)
2,3,C,5,24/03/2005 00:00:00,0,RLNG, 	(01-MAR-2025 16:55:37)
2,3,C,1,01/04/2009 00:00:00,P2,DLNG, 	(01-MAR-2025 16:55:37)
2,3,C,1,21/04/2006 00:00:00,P1,DLNG, 	(01-MAR-2025 16:55:37)
2,3,C,3,21/04/2006 00:00:00,0,DLNG, 	(01-MAR-2025 16:55:37)
2,3,C,4,21/04/2006 00:00:00,0,DLNG, 	(01-MAR-2025 16:55:37)
2,3,C,5,24/03/2005 00:00:00,0,DLNG, 	(01-MAR-2025 16:55:37)
2,4,C,1,01/05/2024 00:00:00,P7,RLNG, 	(01-MAR-2025 16:55:37)
2,4,C,2,01/05/2024 00:00:00,P7,RLNG, 	(01-MAR-2025 16:55:37)
2,4,C,3,01/05/2024 00:00:00,P6,RLNG, 	(01-MAR-2025 16:55:37)
2,4,C,4,01/05/2024 00:00:00,P6,RLNG, 	(01-MAR-2025 16:55:37)
2,4,C,5,01/05/2024 00:00:00,P6,RLNG, 	(01-MAR-2025 16:55:37)
2,4,C,4,01/06/2023 00:00:00,P4,RLNG, 	(01-MAR-2025 16:55:37)
2,4,C,7,01/06/2023 00:00:00,P4,RLNG, 	(01-MAR-2025 16:55:37)
2,4,C,5,01/06/2024 00:00:00,P8,RLNG, 	(01-MAR-2025 16:55:37)
2,4,C,9,01/07/2022 00:00:00,P2,RLNG, 	(01-MAR-2025 16:55:37)
2,4,C,5,01/07/2022 00:00:00,P2,RLNG, 	(01-MAR-2025 16:55:37)
2,4,C,11,01/07/2022 00:00:00,B,RLNG, 	(01-MAR-2025 16:55:37)
