

<<ROLLBACK_START>>,<<FMS_CONT_PRICE_DTL>>,,,,,,, 	(04-APR-2025 15:15:02)
 
,TIMESTAMP
**********AutomationEMS Error  (04-APR-2025 15:15:02) **********
java.lang.ArrayIndexOutOfBoundsException: 23

com.etrm.fms.migration.Purchase_SEIPL_Data_RollBack.FMS_CONT_PRICE_DTL(Purchase_SEIPL_Data_RollBack.java:1349)
com.etrm.fms.migration.Purchase_SEIPL_Data_RollBack.init(Purchase_SEIPL_Data_RollBack.java:109)
**************************************************

<<FUNCTION FMS_CONT_PRICE_DTL() ENDED WITH ERRORS>>


<<ROLLBACK_START>>,<<FMS_SECURITY_MST>>,, 	(04-APR-2025 15:15:42)
 
COMPANY_CD, COUNTERPARTY_CD, SEQ_NO, SEQ_REV_NO ,GX, TIMESTAMP
<<ROLLBACK_START>>,<<FMS_TRADER_CARGO_MST>>,, 	(04-APR-2025 15:15:56)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_TYPE, AGMT_NO, AGMT_REV,CONTRACT_TYPE, CONT_REV, CARGO_NO,CARGO_REF,TIMESTAMP
2,15,M,1,0,N,0,1,22019, 	(04-APR-2025 15:15:56)
2,20,M,1,0,N,0,1,22022, 	(04-APR-2025 15:15:56)
2,20,M,1,0,N,0,1,22028, 	(04-APR-2025 15:15:56)
2,154,M,1,0,N,0,1,22029, 	(04-APR-2025 15:15:56)
2,154,M,1,0,N,0,1,22030, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,5001, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,5003, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,6001, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,6002, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,6004, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,6005, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,6006, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,6007, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,6008, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,6009, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,6010, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,6011, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,6013, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,6014, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,7001, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,7002, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,7003, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,7005, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,7006, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,7008, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,7009, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,7010, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,7011, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,7013, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,7014, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,7015, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,7016, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,7017, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,7018, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,7021, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,7025, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,7026, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,7027, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,7028, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,7029, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,8002, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,8003, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,8004, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,8005, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,8006, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,8008, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,8009, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,8010, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,8011, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,8012, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,8016, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,8018, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,8020, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,8022, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,8023, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,8024, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,8027, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,21054, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,21056, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,21057, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,21058, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,21063, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,22013, 	(04-APR-2025 15:15:56)
2,116,M,1,0,N,0,1,22024, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,8029, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,8030, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,9001, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,9002, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,9006, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,9008, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,9009, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,9010, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,9015, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,9019, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,9020, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,9022, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,10001, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,10003, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,10006, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,10007, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,10008, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,10016, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,10017, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,11001, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,11003, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,11004, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,11005, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,11007, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,14001, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,14002, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,14003, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,14004, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,14005, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,14006, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,14007, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,14008, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,14009, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,2,14010, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,3,14011, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,4,14012, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,5,14013, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,6,14014, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,15001, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,16001, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,17001, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19001, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19002, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19003, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19004, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19005, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19006, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19007, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19008, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19009, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19010, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19011, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19012, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19013, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19014, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19015, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19016, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19017, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19018, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19020, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19019, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19021, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19022, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19023, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19024, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19025, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19026, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19027, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,2,19028, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19029, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,2,19030, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19031, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,19032, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,20001, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,20002, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,20003, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,20005, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,20007, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,20010, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,20011, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,20012, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,20013, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,2,20014, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,3,20015, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,4,20016, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,20017, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,20018, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,20019, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,20020, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,20021, 	(04-APR-2025 15:15:56)
2,256,M,1,0,N,0,1,20022, 	(04-APR-2025 15:15:56)
