

<<ROLLBACK_START>>,<<FMS_SUPPLY_ALLOC_REVISED>>,,,,,,,, 	(01-MAY-2025 13:14:00)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,MODIFICATION_SEQ_NO,PUR_CONT, TIMESTAMP
2,2,6,0,5,0,S,1,725136, 	(01-MAY-2025 13:14:01)
2,2,6,0,7,0,S,1,725146, 	(01-MAY-2025 13:14:01)
2,2,6,0,7,0,S,1,725153, 	(01-MAY-2025 13:14:01)
2,2,3,0,11,0,S,1,725089, 	(01-MAY-2025 13:14:01)
2,2,6,2,14,0,S,1,825056, 	(01-MAY-2025 13:14:01)
2,2,6,0,6,0,S,1,725157, 	(01-MAY-2025 13:14:01)
2,2,6,0,3,0,S,1,725118, 	(01-MAY-2025 13:14:01)
2,2,6,2,13,0,S,1,825056, 	(01-MAY-2025 13:14:01)
2,2,6,0,3,1,S,1,725118, 	(01-MAY-2025 13:14:01)
2,2,0,0,125002,0,X,1,825034, 	(01-MAY-2025 13:14:01)
2,2,0,0,125004,0,X,1,825034, 	(01-MAY-2025 13:14:01)
2,2,0,0,125004,0,X,1,825030, 	(01-MAY-2025 13:14:01)
2,2,0,0,125002,0,X,1,825035, 	(01-MAY-2025 13:14:01)
2,2,0,0,125007,0,X,1,725170, 	(01-MAY-2025 13:14:01)
2,2,0,0,125003,0,X,1,825030, 	(01-MAY-2025 13:14:01)
2,2,0,0,125008,0,X,1,725170, 	(01-MAY-2025 13:14:01)
2,2,0,0,125001,0,X,1,825034, 	(01-MAY-2025 13:14:01)
2,2,0,0,125009,0,X,1,725170, 	(01-MAY-2025 13:14:01)
2,2,0,0,125006,0,X,1,725170, 	(01-MAY-2025 13:14:01)
2,2,0,0,125005,0,X,1,725170, 	(01-MAY-2025 13:14:01)
2,3,1,3,23,0,S,1,725184, 	(01-MAY-2025 13:14:01)
2,3,1,3,23,0,S,1,725185, 	(01-MAY-2025 13:14:01)
2,3,1,3,89,0,S,1,725094, 	(01-MAY-2025 13:14:01)
2,3,1,3,38,0,S,1,725193, 	(01-MAY-2025 13:14:01)
2,3,1,3,39,0,S,1,725194, 	(01-MAY-2025 13:14:01)
2,3,1,3,43,0,S,1,725056, 	(01-MAY-2025 13:14:01)
2,3,1,3,46,0,S,1,725196, 	(01-MAY-2025 13:14:01)
