

<<ROLLBACK_START>>,<<FMS_METER_MST()>>,,,, 	(03-MAR-2025 10:12:47)
 
COMPANY_CD,COUNTERPARTY_CD,PLANT_SEQ,METER_TYPE,METER_SEQ,TIMESTAMP
2,29,1,R,1, 	(03-MAR-2025 10:12:47)
2,29,1,R,2, 	(03-MAR-2025 10:12:47)
2,45,1,R,1, 	(03-MAR-2025 10:12:47)
2,45,2,R,1, 	(03-MAR-2025 10:12:47)
2,45,3,R,1, 	(03-MAR-2025 10:12:47)
2,45,4,R,1, 	(03-MAR-2025 10:12:47)
2,45,4,R,2, 	(03-MAR-2025 10:12:47)
2,4,1,R,1, 	(03-MAR-2025 10:12:47)
2,4,10,R,1, 	(03-MAR-2025 10:12:47)
2,29,3,R,3, 	(03-MAR-2025 10:12:47)
2,53,1,R,1, 	(03-MAR-2025 10:12:47)
2,4,2,R,1, 	(03-MAR-2025 10:12:47)
2,4,2,R,2, 	(03-MAR-2025 10:12:47)
2,4,3,R,1, 	(03-MAR-2025 10:12:47)
2,4,3,R,2, 	(03-MAR-2025 10:12:47)
2,4,4,R,1, 	(03-MAR-2025 10:12:47)
2,4,4,R,2, 	(03-MAR-2025 10:12:47)
2,4,5,R,1, 	(03-MAR-2025 10:12:47)
2,4,7,R,1, 	(03-MAR-2025 10:12:47)
2,4,7,R,2, 	(03-MAR-2025 10:12:47)
2,4,8,R,1, 	(03-MAR-2025 10:12:47)
2,4,8,R,2, 	(03-MAR-2025 10:12:47)
2,53,1,R,2, 	(03-MAR-2025 10:12:47)
2,29,3,R,4, 	(03-MAR-2025 10:12:47)
2,29,3,R,5, 	(03-MAR-2025 10:12:47)
2,29,4,R,1, 	(03-MAR-2025 10:12:47)
2,29,4,R,2, 	(03-MAR-2025 10:12:47)
2,29,6,R,1, 	(03-MAR-2025 10:12:47)
2,29,6,R,2, 	(03-MAR-2025 10:12:47)
2,29,7,R,1, 	(03-MAR-2025 10:12:47)
2,29,8,R,1, 	(03-MAR-2025 10:12:47)
2,29,8,R,2, 	(03-MAR-2025 10:12:47)
2,168,1,R,1, 	(03-MAR-2025 10:12:47)
2,168,2,R,1, 	(03-MAR-2025 10:12:47)
2,134,1,R,1, 	(03-MAR-2025 10:12:47)
2,134,1,R,2, 	(03-MAR-2025 10:12:47)
1,3,1,R,1, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
1,4,1,R,1, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
1,4,2,R,1, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
1,4,3,R,1, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
1,5,1,R,1, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
1,6,1,R,1, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,4,1,R,2, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,4,1,R,3, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,4,1,R,4, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,4,1,R,5, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,4,1,R,6, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,4,6,R,1, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,4,6,R,2, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,4,6,R,3, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,4,6,R,4, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,4,6,R,5, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,4,9,R,1, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,4,9,R,2, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,4,9,R,3, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,4,9,R,4, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,29,1,R,3, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,29,1,R,4, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,29,1,R,5, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,29,1,R,6, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,29,1,R,7, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,29,1,R,8, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,29,2,R,1, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,29,2,R,2, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,29,2,R,3, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,29,2,R,4, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,29,3,R,1, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,29,3,R,2, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,29,5,R,1, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,29,5,R,2, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,29,5,R,3, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,29,5,R,4, 	(03-MAR-2025 10:12:47)	 (Not Deleted)
2,29,5,R,5, 	(03-MAR-2025 10:12:47)	 (Not Deleted)

TOTAL DATA DELETED : ,36,,,, 	(03-MAR-2025 10:12:47)
 

<<ROLLBACK_END>>,<<FMS_METER_MST()>>,,,, 	(03-MAR-2025 10:12:47)
 
