

<<ROLLBACK_START>>,<<FMS_METER_MST()>>,,,, 	(26-FEB-2025 11:46:17)
 
COMPANY_CD,COUNTERPARTY_CD,PLANT_SEQ,METER_TYPE,METER_SEQ,TIMESTAMP
1,3,1,R,1, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
1,4,1,R,1, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
1,4,2,R,1, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
1,4,3,R,1, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
1,5,1,R,1, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
1,6,1,R,1, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,4,1,R,4, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,4,1,R,5, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,4,1,R,6, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,4,6,R,2, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,4,6,R,3, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,4,6,R,4, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,4,6,R,5, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,4,9,R,3, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,4,9,R,4, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,4,10,R,1, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,4,11,R,1, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,4,11,R,2, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,4,12,R,1, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,4,13,R,1, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,29,1,R,4, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,29,1,R,5, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,29,1,R,6, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,29,1,R,7, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,29,1,R,8, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,29,2,R,2, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,29,2,R,3, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,29,2,R,4, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,29,3,R,3, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,29,3,R,4, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,29,3,R,5, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,29,5,R,3, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,29,5,R,4, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,29,5,R,5, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,29,9,R,1, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,29,9,R,2, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,29,10,R,1, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,29,11,R,1, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,29,12,R,1, 	(26-FEB-2025 11:46:17)	 (Not Deleted)
2,29,13,R,1, 	(26-FEB-2025 11:46:17)	 (Not Deleted)

TOTAL DATA DELETED : ,0,,,, 	(26-FEB-2025 11:46:17)
 

<<ROLLBACK_END>>,<<FMS_METER_MST()>>,,,, 	(26-FEB-2025 11:46:17)
 
