

<<ROLLBACK_START>>,<<FMS_ENTITY_CONTACT_MST()>>,,,,,, 	(14-APR-2025 13:06:05)
 
COMPANY_CD,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,ADDR_FLAG,TYPE,TIMESTAMP
2,1,C,6,14/09/2008 00:00:00,R,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,7,31/01/2018 00:00:00,P8,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,8,14/09/2008 00:00:00,P8,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,9,10/02/2012 00:00:00,P2,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,9,10/02/2012 00:00:00,R,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,10,01/01/2020 00:00:00,P15,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,11,14/09/2008 00:00:00,P4,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,12,31/01/2018 00:00:00,P2,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,13,31/01/2018 00:00:00,B,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,14,14/09/2008 00:00:00,R,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,15,31/01/2018 00:00:00,P3,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,15,31/01/2018 00:00:00,P6,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,15,31/01/2018 00:00:00,P10,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,15,31/01/2018 00:00:00,P11,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,15,31/01/2018 00:00:00,P7,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,15,31/01/2018 00:00:00,B,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,16,14/09/2008 00:00:00,P5,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,17,01/01/2020 00:00:00,P15,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,18,01/07/2021 00:00:00,P5,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,19,01/01/2020 00:00:00,P9,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,20,14/09/2008 00:00:00,R,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,21,31/01/2018 00:00:00,P14,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,21,31/01/2018 00:00:00,P13,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,21,31/01/2018 00:00:00,B,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,22,31/01/2018 00:00:00,P1,DLNG, 	(14-APR-2025 13:06:06)
2,1,C,23,01/06/2021 00:00:00,P8,DLNG, 	(14-APR-2025 13:06:06)
