

<<ROLLBACK_START>>,<<FMS_COUNTERPARTY_ADDR_MST>>,,, 	(28-FEB-2025 11:35:05)
 
COMPANY_CD,CD,ABBR,EFF_DT,TIMESTAMP>
2,6 , R , 05/12/2007 00:00:00, 	(28-FEB-2025 11:35:47)
2,7 , R , 03/12/2007 00:00:00, 	(28-FEB-2025 11:35:47)
2,8 , R , 22/07/2009 00:00:00, 	(28-FEB-2025 11:35:47)
2,218 , R , 04/04/2008 00:00:00, 	(28-FEB-2025 11:35:47)
2,242 , R , 16/04/2008 00:00:00, 	(28-FEB-2025 11:35:47)
2,249 , R , 28/02/2008 00:00:00, 	(28-FEB-2025 11:35:47)
2,9 , R , 01/04/2009 00:00:00, 	(28-FEB-2025 11:35:47)
2,225 , R , 12/12/2007 00:00:00, 	(28-FEB-2025 11:35:47)
2,10 , R , 11/05/2012 00:00:00, 	(28-FEB-2025 11:35:47)
2,11 , R , 20/12/2018 00:00:00, 	(28-FEB-2025 11:35:47)
2,280 , R , 31/05/2011 00:00:00, 	(28-FEB-2025 11:35:47)
2,12 , R , 20/06/2013 00:00:00, 	(28-FEB-2025 11:35:47)
2,13 , R , 04/02/2011 00:00:00, 	(28-FEB-2025 11:35:47)
2,14 , R , 16/12/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,269 , R , 06/08/2014 00:00:00, 	(28-FEB-2025 11:35:47)
2,15 , R , 15/06/2016 00:00:00, 	(28-FEB-2025 11:35:47)
2,16 , R , 25/11/2014 00:00:00, 	(28-FEB-2025 11:35:47)
2,17 , R , 28/07/2016 00:00:00, 	(28-FEB-2025 11:35:47)
2,18 , R , 14/03/2016 00:00:00, 	(28-FEB-2025 11:35:47)
2,228 , R , 14/11/2016 00:00:00, 	(28-FEB-2025 11:35:47)
2,160 , R , 14/11/2016 00:00:00, 	(28-FEB-2025 11:35:47)
2,19 , R , 04/04/2022 00:00:00, 	(28-FEB-2025 11:35:47)
2,20 , R , 18/01/2012 00:00:00, 	(28-FEB-2025 11:35:47)
2,21 , R , 28/11/2017 00:00:00, 	(28-FEB-2025 11:35:47)
2,22 , R , 03/07/2019 00:00:00, 	(28-FEB-2025 11:35:47)
2,23 , R , 28/04/2021 00:00:00, 	(28-FEB-2025 11:35:47)
2,24 , R , 02/12/2019 00:00:00, 	(28-FEB-2025 11:35:47)
2,25 , R , 09/12/2019 00:00:00, 	(28-FEB-2025 11:35:47)
2,26 , R , 01/01/2020 00:00:00, 	(28-FEB-2025 11:35:47)
2,27 , R , 01/01/2020 00:00:00, 	(28-FEB-2025 11:35:47)
2,28 , R , 01/02/2020 00:00:00, 	(28-FEB-2025 11:35:47)
2,29 , R , 01/01/2020 00:00:00, 	(28-FEB-2025 11:35:47)
2,30 , R , 01/05/2020 00:00:00, 	(28-FEB-2025 11:35:47)
2,31 , R , 01/05/2020 00:00:00, 	(28-FEB-2025 11:35:47)
2,32 , R , 23/07/2020 00:00:00, 	(28-FEB-2025 11:35:47)
2,197 , R , 25/06/2020 00:00:00, 	(28-FEB-2025 11:35:47)
2,254 , R , 19/11/2020 00:00:00, 	(28-FEB-2025 11:35:47)
2,207 , R , 15/10/2020 00:00:00, 	(28-FEB-2025 11:35:47)
2,187 , R , 01/01/2021 00:00:00, 	(28-FEB-2025 11:35:47)
2,33 , R , 25/01/2021 00:00:00, 	(28-FEB-2025 11:35:47)
2,34 , R , 29/01/2021 00:00:00, 	(28-FEB-2025 11:35:47)
2,238 , R , 04/11/2020 00:00:00, 	(28-FEB-2025 11:35:47)
2,35 , R , 24/02/2020 00:00:00, 	(28-FEB-2025 11:35:47)
2,36 , R , 01/01/2021 00:00:00, 	(28-FEB-2025 11:35:47)
2,37 , R , 01/04/2021 00:00:00, 	(28-FEB-2025 11:35:47)
2,198 , R , 21/07/2020 00:00:00, 	(28-FEB-2025 11:35:47)
2,220 , R , 23/06/2021 00:00:00, 	(28-FEB-2025 11:35:47)
2,257 , R , 18/02/2021 00:00:00, 	(28-FEB-2025 11:35:47)
2,233 , R , 18/02/2021 00:00:00, 	(28-FEB-2025 11:35:47)
2,279 , R , 17/02/2021 00:00:00, 	(28-FEB-2025 11:35:47)
2,193 , R , 17/02/2021 00:00:00, 	(28-FEB-2025 11:35:47)
2,109 , R , 16/06/2021 00:00:00, 	(28-FEB-2025 11:35:47)
2,192 , R , 16/06/2021 00:00:00, 	(28-FEB-2025 11:35:47)
2,38 , R , 30/11/2020 00:00:00, 	(28-FEB-2025 11:35:47)
2,222 , R , 07/05/2020 00:00:00, 	(28-FEB-2025 11:35:47)
2,39 , R , 09/06/2021 00:00:00, 	(28-FEB-2025 11:35:47)
2,40 , R , 17/12/2020 00:00:00, 	(28-FEB-2025 11:35:47)
2,41 , R , 28/07/2021 00:00:00, 	(28-FEB-2025 11:35:47)
2,234 , R , 02/08/2021 00:00:00, 	(28-FEB-2025 11:35:47)
2,263 , R , 25/08/2021 00:00:00, 	(28-FEB-2025 11:35:47)
2,273 , R , 03/09/2021 00:00:00, 	(28-FEB-2025 11:35:47)
2,206 , R , 01/12/2021 00:00:00, 	(28-FEB-2025 11:35:47)
2,204 , R , 20/12/2021 00:00:00, 	(28-FEB-2025 11:35:47)
