EFF_DT,SHIP_CD,SHIP_NAME,TIMESTAMP
01/01/2007 00:00:00 , 34 , Grace Emilia, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 35 , Asia Integrity, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 36 , Meridian Spirit, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 37 , GOLAR CRYSTAL, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 38 , Gaslog Westminster, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 39 , FLEX ARTEMIS, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 40 , GOLAR TUNDRA, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 41 , Milaha Qatar, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 42 , Orion Sun, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 43 , LNG Lagos II, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 44 , Cool Runner, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 45 , LNG Alliance, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 46 , Pan Europe, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 47 , BW Brussels, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 48 , Rioja Knutsen, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 49 , GOLAR PENGUIN, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 50 , BW Paris, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 51 , Methane Kari Elin, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 52 , Domestic Gas, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 53 , SCF Timmerman , 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 54 , GAIL Bhuwan, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 55 , Hoegh Gandria , 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 56 , Lusail, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 57 , British Mentor, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 58 , Pan Asia, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 59 , Methane Princess, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 60 , Gaslog Savannah, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 61 , LNG FUKUROKUJU, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 62 , Kita LNG, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 63 , GASLOG HONG KONG, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 64 , Maran Gas Pericles, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 65 , Cubal, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 66 , Seri Amanah, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 67 , Golar Bear, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 68 , Golar Snow, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 69 , Galicia Spirit , 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 70 , Sonangol Etosha, 	(12-MAR-2025 18:06:21)
01/01/2007 00:00:00 , 71 , LNG Lokoja, 	(12-MAR-2025 18:06:21)
