EFF_DT,SHIP_CD,SHIP_NAME,TIMESTAMP
01/01/2007 00:00:00 , 268 , HongKong Energy, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 269 , MARVEL HAWK, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 270 , ITL, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 271 , Lena River, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 272 , Energy Integrity, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 273 , LNG Enterprise, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 274 , WEN CHENG, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 275 , TANGGUH PALUNG, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 276 , EXTREMADURA KNUTSEN, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 277 , AMORE MIO I, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 278 , BW ENN SNOW LOTUS, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 279 , Energy Endeavour, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 280 , Wudang, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 281 , Kool Blizzard, 	(12-MAR-2025 18:06:22)

TOTAL DATA DELETED : ,281,, 	(12-MAR-2025 18:06:22)
 
<<ROLLBACK_END>>,<<FMS_SHIP_MST()>>,, 	(12-MAR-2025 18:06:22)
 

<<ROLLBACK_START>>,<<FMS_METER_MST()>>,,,, 	(12-MAR-2025 18:06:48)
 
COMPANY_CD,COUNTERPARTY_CD,PLANT_SEQ,METER_TYPE,METER_SEQ,TIMESTAMP
2,29,1,R,1, 	(12-MAR-2025 18:06:48)
2,29,1,R,2, 	(12-MAR-2025 18:06:48)
2,45,1,R,1, 	(12-MAR-2025 18:06:48)
2,45,2,R,1, 	(12-MAR-2025 18:06:48)
2,45,3,R,1, 	(12-MAR-2025 18:06:48)
2,45,4,R,1, 	(12-MAR-2025 18:06:48)
2,45,4,R,2, 	(12-MAR-2025 18:06:48)
2,4,1,R,1, 	(12-MAR-2025 18:06:48)
2,53,1,R,1, 	(12-MAR-2025 18:06:48)
2,4,2,R,1, 	(12-MAR-2025 18:06:48)
2,4,2,R,2, 	(12-MAR-2025 18:06:48)
2,4,3,R,1, 	(12-MAR-2025 18:06:48)
2,4,3,R,2, 	(12-MAR-2025 18:06:48)
2,4,4,R,1, 	(12-MAR-2025 18:06:48)
2,4,4,R,2, 	(12-MAR-2025 18:06:48)
2,4,5,R,1, 	(12-MAR-2025 18:06:48)
2,4,7,R,1, 	(12-MAR-2025 18:06:48)
2,4,7,R,2, 	(12-MAR-2025 18:06:48)
2,4,8,R,1, 	(12-MAR-2025 18:06:48)
2,4,8,R,2, 	(12-MAR-2025 18:06:48)
2,53,1,R,2, 	(12-MAR-2025 18:06:48)
2,29,4,R,1, 	(12-MAR-2025 18:06:48)
2,29,4,R,2, 	(12-MAR-2025 18:06:48)
2,29,6,R,1, 	(12-MAR-2025 18:06:48)
2,29,6,R,2, 	(12-MAR-2025 18:06:48)
2,29,7,R,1, 	(12-MAR-2025 18:06:48)
2,29,8,R,1, 	(12-MAR-2025 18:06:48)
2,29,8,R,2, 	(12-MAR-2025 18:06:48)
2,168,1,R,1, 	(12-MAR-2025 18:06:48)
2,168,2,R,1, 	(12-MAR-2025 18:06:48)
2,134,1,R,1, 	(12-MAR-2025 18:06:48)
2,134,1,R,2, 	(12-MAR-2025 18:06:48)
2,4,1,R,2, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,4,1,R,3, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,4,1,R,4, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,4,1,R,5, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,4,1,R,6, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,4,6,R,1, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,4,6,R,2, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,4,6,R,3, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,4,6,R,4, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,4,6,R,5, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,4,6,R,6, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,4,9,R,1, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,4,9,R,2, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,4,9,R,3, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,4,9,R,4, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,4,10,R,1, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,29,1,R,3, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,29,1,R,4, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,29,1,R,5, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,29,1,R,6, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,29,1,R,7, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,29,1,R,8, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,29,2,R,1, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,29,2,R,2, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,29,2,R,3, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,29,2,R,4, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,29,3,R,1, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,29,3,R,2, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,29,3,R,3, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,29,3,R,4, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,29,3,R,5, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,29,5,R,1, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,29,5,R,2, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,29,5,R,3, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,29,5,R,4, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,29,5,R,5, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,45,1,R,2, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,45,1,R,3, 	(12-MAR-2025 18:06:48)	 (Not Deleted)
2,45,2,R,2, 	(12-MAR-2025 18:06:48)	 (Not Deleted)

TOTAL DATA DELETED : ,32,,,, 	(12-MAR-2025 18:06:48)
 

<<ROLLBACK_END>>,<<FMS_METER_MST()>>,,,, 	(12-MAR-2025 18:06:48)
 

<<ROLLBACK_START>>,<<FMS_COUNTERPARTY_PLANT_TAX()>>,,,, 	(12-MAR-2025 18:06:48)
 
COMPANY_CD,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,STAT_CD,TIMESTAMP
2,1,C,1,1001, 	(12-MAR-2025 18:06:48)
2,1,C,1,1003, 	(12-MAR-2025 18:06:48)
2,1,C,2,1003, 	(12-MAR-2025 18:06:48)
2,1,C,2,1004, 	(12-MAR-2025 18:06:48)
2,1,C,2,1005, 	(12-MAR-2025 18:06:48)
2,1,C,2,1001, 	(12-MAR-2025 18:06:48)
2,1,C,3,1001, 	(12-MAR-2025 18:06:48)
2,1,C,3,1005, 	(12-MAR-2025 18:06:48)
2,1,C,3,1004, 	(12-MAR-2025 18:06:48)
2,1,C,3,1003, 	(12-MAR-2025 18:06:48)
2,1,C,4,1003, 	(12-MAR-2025 18:06:48)
2,1,C,4,1001, 	(12-MAR-2025 18:06:48)
2,1,C,5,1001, 	(12-MAR-2025 18:06:48)
2,1,C,5,1003, 	(12-MAR-2025 18:06:48)
2,1,C,6,1004, 	(12-MAR-2025 18:06:48)
2,1,C,6,1005, 	(12-MAR-2025 18:06:48)
2,1,C,6,1001, 	(12-MAR-2025 18:06:48)
2,1,C,7,1001, 	(12-MAR-2025 18:06:48)
2,1,C,7,1003, 	(12-MAR-2025 18:06:48)
2,1,C,8,1004, 	(12-MAR-2025 18:06:48)
2,1,C,8,1003, 	(12-MAR-2025 18:06:48)
2,1,C,8,1001, 	(12-MAR-2025 18:06:48)
2,1,C,9,1003, 	(12-MAR-2025 18:06:48)
2,1,C,9,1001, 	(12-MAR-2025 18:06:48)
2,1,C,10,1001, 	(12-MAR-2025 18:06:48)
2,1,C,11,1001, 	(12-MAR-2025 18:06:48)
2,1,C,12,1001, 	(12-MAR-2025 18:06:48)
2,1,C,13,1001, 	(12-MAR-2025 18:06:48)
2,1,C,13,1003, 	(12-MAR-2025 18:06:48)
2,1,C,14,1001, 	(12-MAR-2025 18:06:48)
2,1,C,14,1003, 	(12-MAR-2025 18:06:48)
2,1,C,15,1001, 	(12-MAR-2025 18:06:48)
2,1,C,15,1004, 	(12-MAR-2025 18:06:48)
2,1,C,16,1001, 	(12-MAR-2025 18:06:48)
2,1,C,16,1004, 	(12-MAR-2025 18:06:48)
2,1,C,17,1001, 	(12-MAR-2025 18:06:48)
2,1,C,17,1004, 	(12-MAR-2025 18:06:48)
2,2,C,1,1004, 	(12-MAR-2025 18:06:48)
2,2,C,1,1001, 	(12-MAR-2025 18:06:48)
2,3,C,1,1003, 	(12-MAR-2025 18:06:48)
2,3,C,1,1006, 	(12-MAR-2025 18:06:48)
2,3,C,1,1005, 	(12-MAR-2025 18:06:48)
2,3,C,1,1001, 	(12-MAR-2025 18:06:48)
2,3,C,1,1004, 	(12-MAR-2025 18:06:48)
2,3,C,2,1001, 	(12-MAR-2025 18:06:48)
2,3,C,2,1004, 	(12-MAR-2025 18:06:48)
2,3,C,2,1005, 	(12-MAR-2025 18:06:48)
2,3,C,3,1001, 	(12-MAR-2025 18:06:48)
2,3,C,3,1004, 	(12-MAR-2025 18:06:48)
2,3,C,3,1005, 	(12-MAR-2025 18:06:48)
2,4,C,1,1004, 	(12-MAR-2025 18:06:48)
2,4,C,1,1005, 	(12-MAR-2025 18:06:48)
2,4,C,1,1003, 	(12-MAR-2025 18:06:48)
2,4,C,1,1001, 	(12-MAR-2025 18:06:48)
2,4,C,2,1006, 	(12-MAR-2025 18:06:48)
2,4,C,2,1004, 	(12-MAR-2025 18:06:48)
2,4,C,2,1001, 	(12-MAR-2025 18:06:48)
2,4,C,3,1001, 	(12-MAR-2025 18:06:48)
2,4,C,3,1005, 	(12-MAR-2025 18:06:48)
2,4,C,4,1001, 	(12-MAR-2025 18:06:48)
2,4,C,4,1006, 	(12-MAR-2025 18:06:48)
2,4,C,4,1004, 	(12-MAR-2025 18:06:48)
2,4,C,4,1005, 	(12-MAR-2025 18:06:48)
2,4,C,5,1001, 	(12-MAR-2025 18:06:48)
2,4,C,5,1006, 	(12-MAR-2025 18:06:48)
2,4,C,6,1001, 	(12-MAR-2025 18:06:48)
2,4,C,6,1006, 	(12-MAR-2025 18:06:48)
2,4,C,6,1003, 	(12-MAR-2025 18:06:48)
2,4,C,6,1005, 	(12-MAR-2025 18:06:48)
2,4,C,7,1001, 	(12-MAR-2025 18:06:48)
2,4,C,7,1004, 	(12-MAR-2025 18:06:48)
2,4,C,8,1004, 	(12-MAR-2025 18:06:48)
2,4,C,8,1001, 	(12-MAR-2025 18:06:48)
2,217,C,1,1005, 	(12-MAR-2025 18:06:48)
2,217,C,1,1004, 	(12-MAR-2025 18:06:48)
2,5,C,1,1006, 	(12-MAR-2025 18:06:48)
2,5,C,1,1001, 	(12-MAR-2025 18:06:48)
2,5,C,1,1004, 	(12-MAR-2025 18:06:48)
2,5,C,1,1005, 	(12-MAR-2025 18:06:48)
2,5,C,2,1001, 	(12-MAR-2025 18:06:48)
2,5,C,2,1006, 	(12-MAR-2025 18:06:48)
2,5,C,2,1005, 	(12-MAR-2025 18:06:48)
2,5,C,2,1004, 	(12-MAR-2025 18:06:48)
2,5,C,3,1001, 	(12-MAR-2025 18:06:48)
2,5,C,3,1006, 	(12-MAR-2025 18:06:48)
2,5,C,3,1004, 	(12-MAR-2025 18:06:48)
2,5,C,4,1006, 	(12-MAR-2025 18:06:48)
2,5,C,4,1004, 	(12-MAR-2025 18:06:48)
2,5,C,4,1001, 	(12-MAR-2025 18:06:48)
2,5,C,5,1001, 	(12-MAR-2025 18:06:48)
2,5,C,5,1006, 	(12-MAR-2025 18:06:48)
2,5,C,5,1004, 	(12-MAR-2025 18:06:48)
2,5,C,6,1004, 	(12-MAR-2025 18:06:48)
2,5,C,6,1006, 	(12-MAR-2025 18:06:48)
2,5,C,6,1001, 	(12-MAR-2025 18:06:48)
2,6,C,1,1003, 	(12-MAR-2025 18:06:48)
2,6,C,1,1001, 	(12-MAR-2025 18:06:48)
2,6,C,1,1005, 	(12-MAR-2025 18:06:48)
2,7,C,1,1005, 	(12-MAR-2025 18:06:48)
2,7,C,1,1003, 	(12-MAR-2025 18:06:48)
2,7,C,1,1004, 	(12-MAR-2025 18:06:48)
2,7,C,1,1001, 	(12-MAR-2025 18:06:48)
2,8,C,1,1001, 	(12-MAR-2025 18:06:48)
2,8,C,1,1003, 	(12-MAR-2025 18:06:48)
2,8,C,1,1005, 	(12-MAR-2025 18:06:48)
2,8,C,1,1004, 	(12-MAR-2025 18:06:48)
2,249,C,1,1004, 	(12-MAR-2025 18:06:48)
2,9,C,1,1004, 	(12-MAR-2025 18:06:48)
2,225,C,1,1004, 	(12-MAR-2025 18:06:48)
2,11,C,1,1003, 	(12-MAR-2025 18:06:48)
2,11,C,1,1006, 	(12-MAR-2025 18:06:48)
2,11,C,1,1001, 	(12-MAR-2025 18:06:48)
2,11,C,1,1005, 	(12-MAR-2025 18:06:48)
2,11,C,1,1004, 	(12-MAR-2025 18:06:48)
2,12,C,1,1005, 	(12-MAR-2025 18:06:48)
2,12,C,1,1001, 	(12-MAR-2025 18:06:48)
2,12,C,1,1004, 	(12-MAR-2025 18:06:48)
2,13,C,1,1004, 	(12-MAR-2025 18:06:48)
2,13,C,1,1005, 	(12-MAR-2025 18:06:48)
2,13,C,1,1001, 	(12-MAR-2025 18:06:48)
2,13,C,1,1003, 	(12-MAR-2025 18:06:48)
2,13,C,2,1006, 	(12-MAR-2025 18:06:48)
2,13,C,2,1004, 	(12-MAR-2025 18:06:48)
2,13,C,2,1005, 	(12-MAR-2025 18:06:48)
2,13,C,2,1001, 	(12-MAR-2025 18:06:48)
2,13,C,3,1001, 	(12-MAR-2025 18:06:48)
2,13,C,3,1004, 	(12-MAR-2025 18:06:48)
2,13,C,3,1005, 	(12-MAR-2025 18:06:48)
2,13,C,4,1006, 	(12-MAR-2025 18:06:48)
2,13,C,4,1001, 	(12-MAR-2025 18:06:48)
2,13,C,4,1004, 	(12-MAR-2025 18:06:48)
2,13,C,5,1004, 	(12-MAR-2025 18:06:48)
2,13,C,5,1001, 	(12-MAR-2025 18:06:48)
2,13,C,5,1006, 	(12-MAR-2025 18:06:48)
2,13,C,6,1001, 	(12-MAR-2025 18:06:48)
2,13,C,6,1004, 	(12-MAR-2025 18:06:48)
2,14,C,1,1006, 	(12-MAR-2025 18:06:48)
2,14,C,1,1001, 	(12-MAR-2025 18:06:48)
2,14,C,1,1004, 	(12-MAR-2025 18:06:48)
2,14,C,1,1005, 	(12-MAR-2025 18:06:48)
2,14,C,2,1001, 	(12-MAR-2025 18:06:48)
2,14,C,2,1005, 	(12-MAR-2025 18:06:48)
2,14,C,2,1004, 	(12-MAR-2025 18:06:48)
2,14,C,3,1001, 	(12-MAR-2025 18:06:48)
2,14,C,3,1004, 	(12-MAR-2025 18:06:48)
2,14,C,3,1005, 	(12-MAR-2025 18:06:48)
2,14,C,3,1006, 	(12-MAR-2025 18:06:48)
2,14,C,4,1004, 	(12-MAR-2025 18:06:48)
2,14,C,4,1005, 	(12-MAR-2025 18:06:48)
2,14,C,4,1003, 	(12-MAR-2025 18:06:48)
2,14,C,4,1001, 	(12-MAR-2025 18:06:48)
2,14,C,4,1006, 	(12-MAR-2025 18:06:48)
2,15,C,1,1006, 	(12-MAR-2025 18:06:48)
2,15,C,1,1005, 	(12-MAR-2025 18:06:48)
2,15,C,1,1003, 	(12-MAR-2025 18:06:48)
2,15,C,1,1001, 	(12-MAR-2025 18:06:48)
2,15,C,1,1004, 	(12-MAR-2025 18:06:48)
2,15,C,2,1004, 	(12-MAR-2025 18:06:48)
2,15,C,2,1003, 	(12-MAR-2025 18:06:48)
2,15,C,2,1005, 	(12-MAR-2025 18:06:48)
2,15,C,2,1001, 	(12-MAR-2025 18:06:48)
2,15,C,3,1005, 	(12-MAR-2025 18:06:48)
2,15,C,3,1001, 	(12-MAR-2025 18:06:48)
2,15,C,4,1005, 	(12-MAR-2025 18:06:48)
2,15,C,4,1003, 	(12-MAR-2025 18:06:48)
2,15,C,4,1006, 	(12-MAR-2025 18:06:48)
2,15,C,4,1001, 	(12-MAR-2025 18:06:48)
2,15,C,4,1004, 	(12-MAR-2025 18:06:48)
2,15,C,5,1006, 	(12-MAR-2025 18:06:48)
2,15,C,5,1004, 	(12-MAR-2025 18:06:48)
2,15,C,5,1001, 	(12-MAR-2025 18:06:48)
2,18,C,1,1003, 	(12-MAR-2025 18:06:48)
2,18,C,1,1001, 	(12-MAR-2025 18:06:48)
2,18,C,1,1005, 	(12-MAR-2025 18:06:48)
2,18,C,2,1001, 	(12-MAR-2025 18:06:48)
2,18,C,2,1006, 	(12-MAR-2025 18:06:48)
2,18,C,2,1005, 	(12-MAR-2025 18:06:48)
2,228,C,1,1005, 	(12-MAR-2025 18:06:48)
2,228,C,1,1001, 	(12-MAR-2025 18:06:48)
2,228,C,1,1004, 	(12-MAR-2025 18:06:48)
2,228,C,2,1005, 	(12-MAR-2025 18:06:48)
2,228,C,2,1001, 	(12-MAR-2025 18:06:48)
2,228,C,2,1004, 	(12-MAR-2025 18:06:48)
2,160,C,1,1005, 	(12-MAR-2025 18:06:48)
2,160,C,1,1001, 	(12-MAR-2025 18:06:48)
2,160,C,1,1004, 	(12-MAR-2025 18:06:48)
2,160,C,2,1001, 	(12-MAR-2025 18:06:48)
2,19,C,2,1004, 	(12-MAR-2025 18:06:48)
2,19,C,2,1005, 	(12-MAR-2025 18:06:48)
2,19,C,2,1003, 	(12-MAR-2025 18:06:48)
2,19,C,2,1001, 	(12-MAR-2025 18:06:48)
2,19,C,2,1006, 	(12-MAR-2025 18:06:48)
2,20,C,1,1003, 	(12-MAR-2025 18:06:48)
2,20,C,1,1001, 	(12-MAR-2025 18:06:48)
2,20,C,1,1005, 	(12-MAR-2025 18:06:48)
2,20,C,2,1003, 	(12-MAR-2025 18:06:48)
2,20,C,2,1001, 	(12-MAR-2025 18:06:48)
2,20,C,2,1005, 	(12-MAR-2025 18:06:48)
2,20,C,4,1001, 	(12-MAR-2025 18:06:48)
2,20,C,4,1005, 	(12-MAR-2025 18:06:48)
2,20,C,4,1004, 	(12-MAR-2025 18:06:48)
2,20,T,1,1001, 	(12-MAR-2025 18:06:48)
2,20,T,2,1001, 	(12-MAR-2025 18:06:48)
2,154,C,1,1005, 	(12-MAR-2025 18:06:48)
2,154,C,1,1001, 	(12-MAR-2025 18:06:48)
2,154,C,2,1002, 	(12-MAR-2025 18:06:48)
2,154,C,2,1003, 	(12-MAR-2025 18:06:48)
2,154,C,2,1001, 	(12-MAR-2025 18:06:48)
2,154,C,2,1004, 	(12-MAR-2025 18:06:48)
2,154,C,2,1005, 	(12-MAR-2025 18:06:48)
2,154,C,3,1005, 	(12-MAR-2025 18:06:48)
2,154,C,3,1004, 	(12-MAR-2025 18:06:48)
2,154,C,3,1001, 	(12-MAR-2025 18:06:48)
2,154,C,3,1003, 	(12-MAR-2025 18:06:48)
2,154,C,4,1005, 	(12-MAR-2025 18:06:48)
2,154,C,4,1004, 	(12-MAR-2025 18:06:48)
2,154,C,4,1001, 	(12-MAR-2025 18:06:48)
2,154,C,5,1001, 	(12-MAR-2025 18:06:48)
2,154,C,5,1005, 	(12-MAR-2025 18:06:48)
2,154,C,6,1005, 	(12-MAR-2025 18:06:48)
2,154,C,6,1004, 	(12-MAR-2025 18:06:48)
2,154,C,6,1001, 	(12-MAR-2025 18:06:48)
2,154,C,7,1001, 	(12-MAR-2025 18:06:48)
2,154,C,7,1005, 	(12-MAR-2025 18:06:48)
2,154,C,7,1004, 	(12-MAR-2025 18:06:48)
2,154,C,8,1001, 	(12-MAR-2025 18:06:48)
2,154,C,8,1005, 	(12-MAR-2025 18:06:48)
2,154,C,8,1004, 	(12-MAR-2025 18:06:48)
2,154,C,9,1004, 	(12-MAR-2025 18:06:48)
2,154,C,9,1005, 	(12-MAR-2025 18:06:48)
2,154,C,9,1001, 	(12-MAR-2025 18:06:48)
2,154,C,10,1005, 	(12-MAR-2025 18:06:48)
2,154,C,10,1001, 	(12-MAR-2025 18:06:48)
2,154,C,10,1004, 	(12-MAR-2025 18:06:48)
2,154,C,11,1004, 	(12-MAR-2025 18:06:48)
2,154,C,11,1005, 	(12-MAR-2025 18:06:48)
2,154,C,11,1001, 	(12-MAR-2025 18:06:48)
2,154,C,11,1006, 	(12-MAR-2025 18:06:48)
2,154,T,1,1001, 	(12-MAR-2025 18:06:49)
2,154,T,2,1001, 	(12-MAR-2025 18:06:49)
2,154,T,3,1001, 	(12-MAR-2025 18:06:49)
2,154,T,4,1001, 	(12-MAR-2025 18:06:49)
2,21,C,1,1003, 	(12-MAR-2025 18:06:49)
2,21,C,1,1001, 	(12-MAR-2025 18:06:49)
2,21,C,1,1004, 	(12-MAR-2025 18:06:49)
2,21,C,1,1005, 	(12-MAR-2025 18:06:49)
2,21,C,3,1006, 	(12-MAR-2025 18:06:49)
2,21,C,3,1003, 	(12-MAR-2025 18:06:49)
2,21,C,3,1005, 	(12-MAR-2025 18:06:49)
2,21,C,3,1001, 	(12-MAR-2025 18:06:49)
2,21,C,5,1003, 	(12-MAR-2025 18:06:49)
2,21,C,5,1006, 	(12-MAR-2025 18:06:49)
2,21,C,5,1001, 	(12-MAR-2025 18:06:49)
2,21,C,5,1005, 	(12-MAR-2025 18:06:49)
2,22,C,1,1005, 	(12-MAR-2025 18:06:49)
2,22,C,1,1001, 	(12-MAR-2025 18:06:49)
2,22,C,2,1001, 	(12-MAR-2025 18:06:49)
2,22,C,2,1005, 	(12-MAR-2025 18:06:49)
2,22,C,3,1004, 	(12-MAR-2025 18:06:49)
2,22,C,3,1001, 	(12-MAR-2025 18:06:49)
2,22,C,3,1005, 	(12-MAR-2025 18:06:49)
2,22,C,3,1006, 	(12-MAR-2025 18:06:49)
2,23,C,1,1005, 	(12-MAR-2025 18:06:49)
2,23,C,1,1001, 	(12-MAR-2025 18:06:49)
2,23,C,1,1004, 	(12-MAR-2025 18:06:49)
2,23,C,1,1003, 	(12-MAR-2025 18:06:49)
2,23,C,2,1001, 	(12-MAR-2025 18:06:49)
2,23,C,2,1003, 	(12-MAR-2025 18:06:49)
2,23,C,2,1005, 	(12-MAR-2025 18:06:49)
2,23,C,2,1004, 	(12-MAR-2025 18:06:49)
2,23,C,3,1004, 	(12-MAR-2025 18:06:49)
2,23,C,3,1005, 	(12-MAR-2025 18:06:49)
2,23,C,3,1001, 	(12-MAR-2025 18:06:49)
2,23,C,4,1001, 	(12-MAR-2025 18:06:49)
2,23,C,4,1005, 	(12-MAR-2025 18:06:49)
2,23,C,4,1003, 	(12-MAR-2025 18:06:49)
2,23,C,4,1004, 	(12-MAR-2025 18:06:49)
2,24,C,1,1004, 	(12-MAR-2025 18:06:49)
2,24,C,1,1003, 	(12-MAR-2025 18:06:49)
2,24,C,1,1001, 	(12-MAR-2025 18:06:49)
2,25,C,1,1001, 	(12-MAR-2025 18:06:49)
2,25,C,1,1005, 	(12-MAR-2025 18:06:49)
2,25,C,1,1003, 	(12-MAR-2025 18:06:49)
2,26,C,1,1004, 	(12-MAR-2025 18:06:49)
2,26,C,1,1001, 	(12-MAR-2025 18:06:49)
2,26,C,1,1003, 	(12-MAR-2025 18:06:49)
2,26,C,2,1003, 	(12-MAR-2025 18:06:49)
2,26,C,2,1004, 	(12-MAR-2025 18:06:49)
2,26,C,2,1001, 	(12-MAR-2025 18:06:49)
2,26,C,3,1001, 	(12-MAR-2025 18:06:49)
2,26,C,3,1004, 	(12-MAR-2025 18:06:49)
2,26,C,3,1006, 	(12-MAR-2025 18:06:49)
2,27,C,1,1003, 	(12-MAR-2025 18:06:49)
2,27,C,1,1001, 	(12-MAR-2025 18:06:49)
2,27,C,1,1004, 	(12-MAR-2025 18:06:49)
2,27,C,2,1001, 	(12-MAR-2025 18:06:49)
2,27,C,2,1004, 	(12-MAR-2025 18:06:49)
2,27,C,2,1003, 	(12-MAR-2025 18:06:49)
2,27,C,3,1003, 	(12-MAR-2025 18:06:49)
2,27,C,3,1001, 	(12-MAR-2025 18:06:49)
2,27,C,3,1005, 	(12-MAR-2025 18:06:49)
2,28,C,1,1005, 	(12-MAR-2025 18:06:49)
2,28,C,1,1003, 	(12-MAR-2025 18:06:49)
2,28,C,1,1001, 	(12-MAR-2025 18:06:49)
2,29,C,1,1004, 	(12-MAR-2025 18:06:49)
2,29,C,1,1001, 	(12-MAR-2025 18:06:49)
2,29,C,2,1001, 	(12-MAR-2025 18:06:49)
2,29,C,2,1004, 	(12-MAR-2025 18:06:49)
2,29,C,3,1004, 	(12-MAR-2025 18:06:49)
2,29,C,3,1001, 	(12-MAR-2025 18:06:49)
2,29,C,4,1001, 	(12-MAR-2025 18:06:49)
2,29,C,4,1004, 	(12-MAR-2025 18:06:49)
2,29,C,5,1005, 	(12-MAR-2025 18:06:49)
2,29,C,5,1001, 	(12-MAR-2025 18:06:49)
2,29,C,6,1001, 	(12-MAR-2025 18:06:49)
2,29,C,6,1004, 	(12-MAR-2025 18:06:49)
2,29,C,7,1001, 	(12-MAR-2025 18:06:49)
2,29,C,7,1004, 	(12-MAR-2025 18:06:49)
2,29,C,8,1004, 	(12-MAR-2025 18:06:49)
2,29,C,8,1001, 	(12-MAR-2025 18:06:49)
2,29,C,9,1001, 	(12-MAR-2025 18:06:49)
2,29,C,9,1004, 	(12-MAR-2025 18:06:49)
2,29,C,10,1001, 	(12-MAR-2025 18:06:49)
2,29,C,10,1005, 	(12-MAR-2025 18:06:49)
2,29,C,10,1003, 	(12-MAR-2025 18:06:49)
2,29,C,11,1003, 	(12-MAR-2025 18:06:49)
2,29,C,11,1005, 	(12-MAR-2025 18:06:49)
2,29,C,11,1001, 	(12-MAR-2025 18:06:49)
2,30,C,1,1001, 	(12-MAR-2025 18:06:49)
2,30,C,1,1004, 	(12-MAR-2025 18:06:49)
2,30,C,1,1003, 	(12-MAR-2025 18:06:49)
2,30,C,2,1004, 	(12-MAR-2025 18:06:49)
2,30,C,2,1006, 	(12-MAR-2025 18:06:49)
2,30,C,2,1001, 	(12-MAR-2025 18:06:49)
2,30,C,3,1004, 	(12-MAR-2025 18:06:49)
2,30,C,3,1001, 	(12-MAR-2025 18:06:49)
2,30,C,3,1005, 	(12-MAR-2025 18:06:49)
2,30,C,3,1006, 	(12-MAR-2025 18:06:49)
2,31,C,1,1004, 	(12-MAR-2025 18:06:49)
2,31,C,1,1003, 	(12-MAR-2025 18:06:49)
2,31,C,1,1001, 	(12-MAR-2025 18:06:49)
2,32,C,1,1004, 	(12-MAR-2025 18:06:49)
2,32,C,1,1001, 	(12-MAR-2025 18:06:49)
2,32,C,1,1003, 	(12-MAR-2025 18:06:49)
2,32,C,2,1003, 	(12-MAR-2025 18:06:49)
2,32,C,2,1001, 	(12-MAR-2025 18:06:49)
2,32,C,2,1004, 	(12-MAR-2025 18:06:49)
2,197,C,1,1004, 	(12-MAR-2025 18:06:49)
