

<<ROLLBACK_START>>,<<PURCHASE>>, 	(26-JUN-2025 18:13:30)
 

TOTAL DATA DELETED :, 0, 	(26-JUN-2025 18:13:31)
 
<<ROLLBACK_END>>,<<PURCHASE>>, 	(26-JUN-2025 18:13:31)
 

<<ROLLBACK_START>>,<<SALES>>, 	(26-JUN-2025 18:13:39)
 

TOTAL DATA DELETED :, 0, 	(26-JUN-2025 18:13:59)
 
<<ROLLBACK_END>>,<<SALES>>, 	(26-JUN-2025 18:13:59)
 
