

<<START>>,<<FMS_CUSTOM_TAX_STRUCT_DTL>>,,, 	(18-FEB-2025 11:15:29)
 
COMPANY_CD,TAX_STRUCT_CD,TAX_STRUCT_DTL,EFF_DT,TIMESTAMP
2 , ,  , 09/07/2004 00:00:00, 	(18-FEB-2025 11:15:30)
2 , ,  , 01/03/2007 00:00:00, 	(18-FEB-2025 11:15:30)	 (Not Inserted)
2 , ,  , 02/02/2018 00:00:00, 	(18-FEB-2025 11:15:30)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,3,,, 	(18-FEB-2025 11:15:30)
 

TOTAL DATA INSERTED : ,1,,, 	(18-FEB-2025 11:15:30)
 

TOTAL SKIPPED DATA ,2,,, 	(18-FEB-2025 11:15:30)
 
<<END>>,<<FMS_CUSTOM_TAX_STRUCT_DTL>>,,, 	(18-FEB-2025 11:15:30)
 
