

<<START>>,<<FMS_COUNTERPARTY_ADDR_MST>>,,, 	(28-FEB-2025 11:35:40)
 
CD,ABBR,ADDRESS_TYPE,EFF_DT,TIMESTAMP
27 , IFFCO , R , 01/01/2020 00:00:00, 	(28-FEB-2025 11:35:40)
28 , HGL-RLNG , R , 01/02/2020 00:00:00, 	(28-FEB-2025 11:35:40)
29 , PipeInfra , R , 01/01/2020 00:00:00, 	(28-FEB-2025 11:35:40)
29 , PipeInfra , R , 01/01/2020 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
30 , NFL , R , 01/05/2020 00:00:00, 	(28-FEB-2025 11:35:40)
31 , HSIL , R , 01/05/2020 00:00:00, 	(28-FEB-2025 11:35:40)
 , VVF , R , 01/05/2020 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
32 , KFL , R , 23/07/2020 00:00:00, 	(28-FEB-2025 11:35:40)
197 , BIL , R , 25/06/2020 00:00:00, 	(28-FEB-2025 11:35:40)
254 , RIPL , R , 19/11/2020 00:00:00, 	(28-FEB-2025 11:35:40)
207 , CP , R , 15/10/2020 00:00:00, 	(28-FEB-2025 11:35:40)
 , HHFG DLNG , R , 26/10/2020 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
187 , VIDUWIL , R , 01/01/2021 00:00:00, 	(28-FEB-2025 11:35:40)
33 , AGP CGD , R , 25/01/2021 00:00:00, 	(28-FEB-2025 11:35:40)
34 , MINDA , R , 29/01/2021 00:00:00, 	(28-FEB-2025 11:35:40)
238 , LEIPL , R , 04/11/2020 00:00:00, 	(28-FEB-2025 11:35:40)
35 , SCHOTT , R , 24/02/2020 00:00:00, 	(28-FEB-2025 11:35:40)
36 , HIL , R , 01/01/2021 00:00:00, 	(28-FEB-2025 11:35:40)
37 , HCGD-B , R , 01/04/2021 00:00:00, 	(28-FEB-2025 11:35:40)
198 , BIPL , R , 21/07/2020 00:00:00, 	(28-FEB-2025 11:35:40)
220 , EXXARO , R , 23/06/2021 00:00:00, 	(28-FEB-2025 11:35:40)
220 , EXXARO , R , 23/06/2021 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
257 , STVPL , R , 18/02/2021 00:00:00, 	(28-FEB-2025 11:35:40)
257 , STVPL , R , 18/02/2021 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
233 , JGPL , R , 18/02/2021 00:00:00, 	(28-FEB-2025 11:35:40)
233 , JGPL , R , 18/02/2021 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
279 , WALLCERA , R , 17/02/2021 00:00:00, 	(28-FEB-2025 11:35:40)
193 , ASTIS , R , 17/02/2021 00:00:00, 	(28-FEB-2025 11:35:40)
193 , ASTIS , R , 17/02/2021 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
109 , PROTON , R , 16/06/2021 00:00:00, 	(28-FEB-2025 11:35:40)
109 , PROTON , R , 16/06/2021 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
109 , PROTON , R , 16/06/2021 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
192 , ANTIQUE , R , 16/06/2021 00:00:00, 	(28-FEB-2025 11:35:40)
192 , ANTIQUE , R , 16/06/2021 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
192 , ANTIQUE , R , 16/06/2021 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
 , ACER , R , 16/06/2021 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
 , ACER , R , 16/06/2021 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
 , ACER , R , 16/06/2021 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
38 , KAJARIA , R , 30/11/2020 00:00:00, 	(28-FEB-2025 11:35:40)
222 , GASGROWS , R , 07/05/2020 00:00:00, 	(28-FEB-2025 11:35:40)
222 , GASGROWS , R , 07/05/2020 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
39 , SISECAM , R , 09/06/2021 00:00:00, 	(28-FEB-2025 11:35:40)
40 , ATPL , R , 17/12/2020 00:00:00, 	(28-FEB-2025 11:35:40)
41 , OPAL , R , 28/07/2021 00:00:00, 	(28-FEB-2025 11:35:40)
234 , JKPAPER , R , 02/08/2021 00:00:00, 	(28-FEB-2025 11:35:40)
263 , STL , R , 25/08/2021 00:00:00, 	(28-FEB-2025 11:35:40)
273 , UEPL , R , 03/09/2021 00:00:00, 	(28-FEB-2025 11:35:40)
273 , UEPL , R , 03/09/2021 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
206 , CELLO , R , 01/12/2021 00:00:00, 	(28-FEB-2025 11:35:40)
204 , CALDERYS , R , 20/12/2021 00:00:00, 	(28-FEB-2025 11:35:40)
204 , CALDERYS , R , 20/12/2021 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
42 , RCF , R , 30/12/2021 00:00:00, 	(28-FEB-2025 11:35:40)
201 , BWRL , R , 25/01/2022 00:00:00, 	(28-FEB-2025 11:35:40)
235 , KRYO , R , 31/01/2022 00:00:00, 	(28-FEB-2025 11:35:40)
235 , KRYO , R , 31/01/2022 00:00:00, 	(28-FEB-2025 11:35:40)	 (Not Inserted)
276 , VIRGO , R , 12/02/2022 00:00:00, 	(28-FEB-2025 11:35:40)
196 , BLPL , R , 02/03/2022 00:00:00, 	(28-FEB-2025 11:35:40)
