

<<START>>,<<FMS_TRADER_CONT_PLANT>>,,,,,,, 	(16-MAY-2025 10:56:06)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,PLANT_SEQ_NO,CONTRACT_TYPE,TIMESTAMP
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,null, , ,,,1,, 	(16-MAY-2025 10:56:06)	 (Not Inserted)
2,1, 0, 0,823016,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823017,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823018,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823019,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823020,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823021,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823022,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823023,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823024,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823025,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823026,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823027,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823028,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823029,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823030,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823031,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823032,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823033,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823034,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823035,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823036,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823037,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823038,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823039,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823040,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823041,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823042,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823043,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823044,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823045,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823046,4,1,D, 	(16-MAY-2025 10:56:06)
2,1, 0, 0,823047,4,1,D, 	(16-MAY-2025 10:56:06)
