

<<START>>,<<FMS_BUY_CARGO_ALLOC>>,,,, 	(20-MAY-2025 11:30:02)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONTRACT_TYPE,CONT_NO,CONT_REV,CARGO_NO,ALLOC_REV,TIMESTAMP
2,116, M, 1 ,0, N, 721004 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 722002 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 721001 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 721003 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 722001 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710033 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710034 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710035 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710032 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710031 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710061 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710060 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710064 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710065 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710066 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710067 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710070 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710068 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710069 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710071 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710072 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710073 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710075 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710074 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710077 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710078 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710082 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710079 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710081 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710080 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710037 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710036 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710038 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710039 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710040 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710042 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710049 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710045 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710041 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710043 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710046 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710048 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710050 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710051 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710054 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710052 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,116, M, 1 ,0, N, 710053 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 710088 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 711005 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 711006 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 711008 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 715001 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 716001 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 715002 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M, 1 ,0, N, 714008 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
2,256, M ,, 0, N ,714008 ,0 ,1, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,256, M ,, 0, N ,714008 ,0 ,1, 0, 	(20-MAY-2025 11:30:02)	 (Not Inserted)
2,256, M, 1 ,0, N, 717001 ,0, 1, 0, 	(20-MAY-2025 11:30:02)
