

<<START>>,<<FMS_TRUCK_TRANSPORTER_LINK>>,,, 	(07-JUN-2025 09:45:17)
 
ENT_PROFILE,TRUCK_TRANS_CD,TRUCK_CD,EFF_DT,LINK_SEQ,TIMESTAMP,
2,12,47,11/10/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,6,28,12/10/2021 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,6,28,12/10/2021 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,1,5,13/10/2021 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,1,6,17/10/2021 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,6,13,20/10/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,1,26,24/10/2021 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,6,12,25/10/2021 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,6,12,09/11/2021 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,12,47,10/11/2021 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,1,30,11/11/2021 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,2,41,19/11/2021 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,12,47,25/11/2021 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,12,43,26/11/2021 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,12,43,26/11/2021 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,12,47,30/11/2021 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,1,6,04/12/2021 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,1,38,06/12/2021 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,2,10,09/12/2021 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,12,43,13/12/2021 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,1,22,15/12/2021 00:00:00,6, 	(07-JUN-2025 09:45:18)
2,12,42,15/12/2021 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,4,8,30/12/2021 00:00:00,10, 	(07-JUN-2025 09:45:18)
2,12,42,03/01/2022 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,12,43,09/01/2022 00:00:00,5, 	(07-JUN-2025 09:45:18)
