

<<START>>,<<FMS_PUR_SG_INV_MST>>,,,,,,,,,,,,,,,,,, 	(12-JUN-2025 09:28:28)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, PLANT_SEQ, BU_UNIT, FREQ, PERIOD_START_DT, PERIOD_END_DT, INVOICE_SEQ, FINANCIAL_YEAR, INV_FLAG,CONTACT_PERSON_CD,BU_CONTACT_PERSON_CD,INVOICE_NO,SALE_PRICE,TIMESTAMP
2,270, 1, 0, 710005,0, N, 1, 1,10,22/03/2007 00:00:00, 23/03/2007 00:00:00, 3, 2006-2007,P,1,1,T0012016,8.234,2PNS0003/06-07,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710005,0, N, 1, 1,10,22/03/2007 00:00:00, 23/03/2007 00:00:00, 3, 2006-2007,PF,1,1,T0012016,8.234,2PFNS0003/06-07,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710005,0, N, 1, 1,10,22/03/2007 00:00:00, 23/03/2007 00:00:00, 3, 2006-2007,F,1,1,T0012024,8.234,2NS0003/06-07,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710005,0, N, 1, 1,10,22/03/2007 00:00:00, 23/03/2007 00:00:00, 3, 2006-2007,CP,1,1,T0012016,8.234,2PNCD0003/06-07,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710002,0, N, 1, 1,10,26/04/2006 00:00:00, 27/04/2006 00:00:00, 4, 2006-2007,P,1,1,T0010045,8,2PNS0004/06-07,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710002,0, N, 1, 1,10,26/04/2006 00:00:00, 27/04/2006 00:00:00, 4, 2006-2007,PF,1,1,T0010045,8,2PFNS0004/06-07,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710002,0, N, 1, 1,10,26/04/2006 00:00:00, 27/04/2006 00:00:00, 4, 2006-2007,F,1,1,T0010567,8,2NS0004/06-07,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710002,0, N, 1, 1,10,26/04/2006 00:00:00, 27/04/2006 00:00:00, 4, 2006-2007,CP,1,1,T0010045,8,2PNCD0004/06-07,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710006,0, N, 1, 1,10,04/05/2007 00:00:00, 05/05/2007 00:00:00, 1, 2007-2008,P,1,1,T0012231,7.4,2PNS0001/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710006,0, N, 1, 1,10,04/05/2007 00:00:00, 05/05/2007 00:00:00, 1, 2007-2008,PF,1,1,T0012231,7.4,2PFNS0001/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710006,0, N, 1, 1,10,04/05/2007 00:00:00, 05/05/2007 00:00:00, 1, 2007-2008,F,1,1,T0012401,7.4,2NS0001/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710006,0, N, 1, 1,10,04/05/2007 00:00:00, 05/05/2007 00:00:00, 1, 2007-2008,CP,1,1,T0012231,7.4,2PNCD0001/07-08,1, 	(12-JUN-2025 09:28:29)
2,270, 1, 0, 710006,0, N, 1, 1,10,04/05/2007 00:00:00, 05/05/2007 00:00:00, 1, 2007-2008,CF,1,1,T0012401,7.4,2NCD0001/07-08,1, 	(12-JUN-2025 09:28:29)
