

<<START>>,<<FMS_TRADER_CARGO_MST>> 	(17-JUN-2025 12:04:08)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,CARGO_NO,CARGO_REF_NO,TIMESTAMP
2, 116, M, 1, 0, N, 710045, 0,1,6010, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710046, 0,1,6011, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710047, 0,1,6013, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710048, 0,1,6014, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710049, 0,1,7001, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710050, 0,1,7002, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710051, 0,1,7003, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710052, 0,1,7005, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710053, 0,1,7006, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710054, 0,1,7008, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710055, 0,1,7009, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710056, 0,1,7010, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710057, 0,1,7011, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710058, 0,1,7013, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710059, 0,1,7014, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710060, 0,1,7015, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710061, 0,1,7016, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710062, 0,1,7017, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710063, 0,1,7018, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710064, 0,1,7021, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710065, 0,1,7025, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710066, 0,1,7026, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710067, 0,1,7027, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710068, 0,1,7028, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710069, 0,1,7029, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710070, 0,1,8002, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710071, 0,1,8003, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710072, 0,1,8004, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710073, 0,1,8005, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710074, 0,1,8006, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710075, 0,1,8008, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710076, 0,1,8009, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710077, 0,1,8010, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710078, 0,1,8011, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710079, 0,1,8012, 	(17-JUN-2025 12:04:08)
2, 116, M, 1, 0, N, 710080, 0,1,8016, 	(17-JUN-2025 12:04:08)
