

<<START>>,<<FMS_GTA_AGMT_MST>>,, 	(13-MAY-2025 12:24:35)
 

TOTAL DATA IN EXCEL : ,6,, 	(13-MAY-2025 12:24:35)
 

TOTAL DATA INSERTED : ,6,, 	(13-MAY-2025 12:24:35)
 

TOTAL SKIPPED DATA ,0,, 	(13-MAY-2025 12:24:35)
 
<<END>>,<<FMS_GTA_AGMT_MST>>,, 	(13-MAY-2025 12:24:35)
 

<<START>>,<<FMS_GTA_ENTRY_POINT>>,, 	(13-MAY-2025 12:24:44)
 

TOTAL DATA IN EXCEL : ,392,, 	(13-MAY-2025 12:24:44)
 

TOTAL DATA INSERTED : ,15,, 	(13-MAY-2025 12:24:44)
 

TOTAL SKIPPED DATA ,377,, 	(13-MAY-2025 12:24:44)
 
<<END>>,<<FMS_GTA_ENTRY_POINT>>,, 	(13-MAY-2025 12:24:44)
 

<<START>>,<<FMS_GTA_EXIT_POINT>>,, 	(13-MAY-2025 12:24:44)
 

TOTAL DATA IN EXCEL : ,392,, 	(13-MAY-2025 12:24:44)
 

TOTAL DATA INSERTED : ,108,, 	(13-MAY-2025 12:24:44)
 

TOTAL SKIPPED DATA ,284,, 	(13-MAY-2025 12:24:44)
 
<<END>>,<<FMS_GTA_EXIT_POINT>>,, 	(13-MAY-2025 12:24:44)
 

<<START>>,<<FMS_GTA_CONT_MST>>,, 	(13-MAY-2025 12:24:44)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,CONT_NAME,CONT_REF,CUSTOMER_CD,ENT_PT,EXIT_PT,TIMESTAMP,
2,4 , 1,0,,0,C,Gail-SEIPL-GTA1-REV0 C-REV0,1-1-1604-333S1-0-26-0-3,20,4,1, 	(13-MAY-2025 12:24:45)
2,4 , 1,0,,0,C,Gail-SEIPL-GTA1-REV0 C-REV0,1-1-1603-701S1-0-4-0-1,39,3,1, 	(13-MAY-2025 12:24:45)
2,4 , 1,0,,0,C,Gail-SEIPL-GTA1-REV0 C-REV0,1-1-1603-861S1-0-1-2-1,48,3,1, 	(13-MAY-2025 12:24:45)
2,4 , 1,0,,0,C,Gail-SEIPL-GTA1-REV0 C-REV0,1-1-1604-101S2-0-5-0-1,7,4,1, 	(13-MAY-2025 12:24:45)
2,4 , 1,0,,0,C,Gail-SEIPL-GTA1-REV0 C-REV0,1-1-1602-101S2-0-5-0-1,7,2,1, 	(13-MAY-2025 12:24:45)
2,4 , 1,0,,0,C,Gail-SEIPL-GTA1-REV0 C-REV0,1-1-1604-101S2-0-6-0-1,7,4,1, 	(13-MAY-2025 12:24:45)
2,4 , 1,0,,0,C,Gail-SEIPL-GTA1-REV0 C-REV0,1-1-1604-542S1-0-3-0-2,34,4,2, 	(13-MAY-2025 12:24:45)
2,4 , 1,0,,0,C,Gail-SEIPL-GTA1-REV0 C-REV0,1-1-1604-1101S1-0-1-0-1,63,4,1, 	(13-MAY-2025 12:24:45)
2,4 , 1,0,,0,C,Gail-SEIPL-GTA1-REV0 C-REV0,1-1-1603-852S1-0-1-1-2,47,3,2, 	(13-MAY-2025 12:24:45)
2,4 , 1,0,,0,C,Gail-SEIPL-GTA1-REV0 C-REV0,1-1-1604-782L2-0-1-0-2,42,4,2, 	(13-MAY-2025 12:24:45)
