

<<START>>,<<FMS_SECURITY_DEAL_MAP>>,,,, 	(26-MAY-2025 11:41:49)
 
COMPANY_CD,CD,SEQ_NO,MAP_SEQ_NO,SEQ_REV_NO,GX,TIMESTAMP
2, 1, 10, 0, 0 ,null, 	(26-MAY-2025 11:41:49)
**********AutomationEMS Error  (26-MAY-2025 11:41:49) **********
java.sql.SQLIntegrityConstraintViolationException: ORA-00001: unique constraint (MIGRATE2EMS.PK_FMS_SECURITY_DEAL_MAP) violated


com.etrm.fms.migration.Purchase_SEIPL_Data_Reader.FMS_SECURITY_DEAL_MAP(Purchase_SEIPL_Data_Reader.java:2492)
com.etrm.fms.migration.Purchase_SEIPL_Data_Reader.init(Purchase_SEIPL_Data_Reader.java:151)
**************************************************

<<FUNCTION FMS_SECURITY_DEAL_MAP(P)() ENDED WITH ERRORS>>


<<START>>,<<FMS_SECURITY_MST>>,,,, 	(26-MAY-2025 11:41:49)
 
COMPANY_CD,CD,SEQ_NO,SEQ_REV_NO,GX,TIMESTAMP
2,1 ,10, 0 ,K, 	(26-MAY-2025 11:41:49)
2,1 ,11, 0 ,K, 	(26-MAY-2025 11:41:49)
2,1 ,12, 0 ,K, 	(26-MAY-2025 11:41:49)
2,1 ,13, 0 ,K, 	(26-MAY-2025 11:41:49)
2,116 ,2, 0 ,K, 	(26-MAY-2025 11:41:49)
2,116 ,1, 0 ,K, 	(26-MAY-2025 11:41:49)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,256 ,1, 0 ,K, 	(26-MAY-2025 11:41:49)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,1 ,8, 0 ,K, 	(26-MAY-2025 11:41:49)
2,1 ,9, 0 ,K, 	(26-MAY-2025 11:41:49)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,154 ,10, 0 ,K, 	(26-MAY-2025 11:41:49)
2,154 ,17, 0 ,K, 	(26-MAY-2025 11:41:49)
2,154 ,18, 0 ,K, 	(26-MAY-2025 11:41:49)
2,110 ,2, 0 ,K, 	(26-MAY-2025 11:41:49)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,154 ,13, 0 ,K, 	(26-MAY-2025 11:41:49)
2,154 ,9, 0 ,K, 	(26-MAY-2025 11:41:49)
2,154 ,11, 0 ,K, 	(26-MAY-2025 11:41:49)
2,20 ,19, 0 ,K, 	(26-MAY-2025 11:41:49)
2,20 ,20, 0 ,K, 	(26-MAY-2025 11:41:49)
2,154 ,19, 0 ,K, 	(26-MAY-2025 11:41:49)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,20 ,14, 0 ,K, 	(26-MAY-2025 11:41:49)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,154 ,14, 0 ,K, 	(26-MAY-2025 11:41:49)
2,154 ,20, 0 ,K, 	(26-MAY-2025 11:41:49)
2,154 ,25, 0 ,K, 	(26-MAY-2025 11:41:49)
2,110 ,1, 0 ,K, 	(26-MAY-2025 11:41:49)
2,116 ,3, 0 ,K, 	(26-MAY-2025 11:41:49)
2,116 ,4, 0 ,K, 	(26-MAY-2025 11:41:49)
2,116 ,5, 0 ,K, 	(26-MAY-2025 11:41:49)
2,154 ,6, 0 ,K, 	(26-MAY-2025 11:41:49)
2,154 ,12, 0 ,K, 	(26-MAY-2025 11:41:49)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,20 ,22, 0 ,K, 	(26-MAY-2025 11:41:49)
2,154 ,21, 0 ,K, 	(26-MAY-2025 11:41:49)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,15 ,20, 0 ,K, 	(26-MAY-2025 11:41:49)
2,110 ,3, 0 ,K, 	(26-MAY-2025 11:41:49)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,154 ,26, 0 ,K, 	(26-MAY-2025 11:41:49)
2,154 ,5, 0 ,K, 	(26-MAY-2025 11:41:49)
2,154 ,22, 0 ,K, 	(26-MAY-2025 11:41:49)
2,154 ,23, 0 ,K, 	(26-MAY-2025 11:41:49)
2,186 ,2, 0 ,K, 	(26-MAY-2025 11:41:49)
2,159 ,1, 0 ,K, 	(26-MAY-2025 11:41:49)
2,51 ,7, 0 ,K, 	(26-MAY-2025 11:41:49)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,20 ,36, 0 ,K, 	(26-MAY-2025 11:41:49)
2,110 ,4, 0 ,K, 	(26-MAY-2025 11:41:49)
2,154 ,28, 0 ,K, 	(26-MAY-2025 11:41:49)
2,154 ,29, 0 ,K, 	(26-MAY-2025 11:41:49)
2,110 ,6, 0 ,K, 	(26-MAY-2025 11:41:49)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,166 ,1, 0 ,K, 	(26-MAY-2025 11:41:49)
2,1 ,5, 0 ,K, 	(26-MAY-2025 11:41:49)
2,110 ,5, 0 ,K, 	(26-MAY-2025 11:41:49)
2,166 ,3, 0 ,K, 	(26-MAY-2025 11:41:49)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,null , ,, , 	(26-MAY-2025 11:41:49)	 (Not Inserted)
2,110 ,8, 0 ,K, 	(26-MAY-2025 11:41:49)
2,154 ,32, 0 ,K, 	(26-MAY-2025 11:41:49)
2,64 ,1, 0 ,K, 	(26-MAY-2025 11:41:49)
2,20 ,27, 0 ,K, 	(26-MAY-2025 11:41:49)
2,20 ,28, 0 ,K, 	(26-MAY-2025 11:41:49)
