

<<START>>,<<FMS_TRADER_CONT_BU>>,,,,,, 	(01-APR-2025 15:45:17)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1, 0, 0,825028, 1,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,43, 0, 0,825046, 0,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825046, 1,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825047, 0,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825047, 1,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825029, 0,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825029, 1,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825051, 0,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825051, 1,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825032, 1,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825054, 0,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825054, 1,, 	(01-APR-2025 15:45:17)
2,154, 0, 0,825097, 0,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825034, 0,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825035, 0,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825056, 0,, 	(01-APR-2025 15:45:17)
2,154, 0, 0,825100, 0,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825025, 2,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,1, 0, 0,825025, 2,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,1, 0, 0,825025, 3,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825025, 3,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825025, 4,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825025, 4,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825025, 5,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,1, 0, 0,825025, 5,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,1, 0, 0,825025, 6,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825025, 6,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825025, 7,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,1, 0, 0,825025, 7,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,1, 0, 0,825025, 8,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825025, 8,, 	(01-APR-2025 15:45:17)
2,186, 0, 0,825121, 1,, 	(01-APR-2025 15:45:17)
2,186, 0, 0,825121, 1,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825026, 6,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825026, 6,, 	(01-APR-2025 15:45:17)
2,166, 0, 0,825122, 0,, 	(01-APR-2025 15:45:17)
2,166, 0, 0,825122, 1,, 	(01-APR-2025 15:45:17)
2,61, 0, 0,825116, 0,, 	(01-APR-2025 15:45:17)
2,14, 0, 0,825085, 0,, 	(01-APR-2025 15:45:17)
2,14, 0, 0,825091, 0,, 	(01-APR-2025 15:45:17)
2,14, 0, 0,825091, 1,, 	(01-APR-2025 15:45:17)
2,20, 0, 0,825074, 0,, 	(01-APR-2025 15:45:17)
2,154, 0, 0,825093, 0,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825024, 2,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825024, 3,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825042, 2,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825042, 3,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825042, 4,, 	(01-APR-2025 15:45:17)
2,20, 0, 0,825075, 2,, 	(01-APR-2025 15:45:17)
2,20, 0, 0,825075, 2,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825048, 0,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825048, 1,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825049, 0,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825049, 1,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825050, 0,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825050, 1,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825030, 0,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825025, 1,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825025, 1,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,1, 0, 0,825025, 1,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,1, 0, 0,825025, 1,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,51, 0, 0,825065, 0,, 	(01-APR-2025 15:45:17)
2,51, 0, 0,825065, 0,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,51, 0, 0,825065, 0,, 	(01-APR-2025 15:45:17)
2,51, 0, 0,825065, 0,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,14, 0, 0,825092, 0,, 	(01-APR-2025 15:45:17)
2,14, 0, 0,825092, 1,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825036, 0,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825036, 1,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825037, 0,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825037, 1,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825058, 1,, 	(01-APR-2025 15:45:17)
2,43, 0, 0,825058, 2,, 	(01-APR-2025 15:45:17)
2,64, 0, 0,825124, 1,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,64, 0, 0,825124, 1,, 	(01-APR-2025 15:45:17)	 (Not Inserted)
2,1, 0, 0,825037, 2,, 	(01-APR-2025 15:45:17)
2,1, 0, 0,825037, 2,, 	(01-APR-2025 15:45:17)
